Date,price90smaUSD
2016/01/01,0.828
2016/01/02,0.831
2016/01/03,0.835
2016/01/04,0.839
2016/01/05,0.842
2016/01/06,0.847
2016/01/07,0.85
2016/01/08,0.854
2016/01/09,0.859
2016/01/10,0.864
2016/01/11,0.869
2016/01/12,0.876
2016/01/13,0.882
2016/01/14,0.889
2016/01/15,0.897
2016/01/16,0.905
2016/01/17,0.913
2016/01/18,0.923
2016/01/19,0.933
2016/01/20,0.945
2016/01/21,0.956
2016/01/22,0.966
2016/01/23,0.979
2016/01/24,0.996
2016/01/25,1.012
2016/01/26,1.031
2016/01/27,1.046
2016/01/28,1.061
2016/01/29,1.078
2016/01/30,1.095
2016/01/31,1.11
2016/02/01,1.124
2016/02/02,1.138
2016/02/03,1.155
2016/02/04,1.173
2016/02/05,1.191
2016/02/06,1.208
2016/02/07,1.227
2016/02/08,1.25
2016/02/09,1.28
2016/02/10,1.319
2016/02/11,1.364
2016/02/12,1.42
2016/02/13,1.465
2016/02/14,1.509
2016/02/15,1.559
2016/02/16,1.603
2016/02/17,1.637
2016/02/18,1.672
2016/02/19,1.711
2016/02/20,1.75
2016/02/21,1.788
2016/02/22,1.835
2016/02/23,1.889
2016/02/24,1.943
2016/02/25,2.003
2016/02/26,2.06
2016/02/27,2.119
2016/02/28,2.181
2016/02/29,2.243
2016/03/01,2.308
2016/03/02,2.388
2016/03/03,2.482
2016/03/04,2.575
2016/03/05,2.689
2016/03/06,2.804
2016/03/07,2.91
2016/03/08,3.008
2016/03/09,3.116
2016/03/10,3.236
2016/03/11,3.348
2016/03/12,3.481
2016/03/13,3.629
2016/03/14,3.767
2016/03/15,3.897
2016/03/16,4.034
2016/03/17,4.152
2016/03/18,4.256
2016/03/19,4.363
2016/03/20,4.466
2016/03/21,4.578
2016/03/22,4.697
2016/03/23,4.819
2016/03/24,4.936
2016/03/25,5.047
2016/03/26,5.157
2016/03/27,5.267
2016/03/28,5.382
2016/03/29,5.5
2016/03/30,5.62
2016/03/31,5.74
2016/04/01,5.859
2016/04/02,5.975
2016/04/03,6.092
2016/04/04,6.206
2016/04/05,6.315
2016/04/06,6.421
2016/04/07,6.526
2016/04/08,6.623
2016/04/09,6.718
2016/04/10,6.802
2016/04/11,6.883
2016/04/12,6.958
2016/04/13,7.032
2016/04/14,7.111
2016/04/15,7.19
2016/04/16,7.268
2016/04/17,7.355
2016/04/18,7.441
2016/04/19,7.525
2016/04/20,7.603
2016/04/21,7.68
2016/04/22,7.75
2016/04/23,7.815
2016/04/24,7.88
2016/04/25,7.938
2016/04/26,7.993
2016/04/27,8.05
2016/04/28,8.104
2016/04/29,8.159
2016/04/30,8.224
2016/05/01,8.296
2016/05/02,8.378
2016/05/03,8.458
2016/05/04,8.536
2016/05/05,8.614
2016/05/06,8.693
2016/05/07,8.767
2016/05/08,8.836
2016/05/09,8.902
2016/05/10,8.957
2016/05/11,9.01
2016/05/12,9.056
2016/05/13,9.118
2016/05/14,9.177
2016/05/15,9.229
2016/05/16,9.292
2016/05/17,9.376
2016/05/18,9.476
2016/05/19,9.58
2016/05/20,9.69
2016/05/21,9.792
2016/05/22,9.891
2016/05/23,9.984
2016/05/24,10.064
2016/05/25,10.132
2016/05/26,10.204
2016/05/27,10.261
2016/05/28,10.315
2016/05/29,10.378
2016/05/30,10.441
2016/05/31,10.5
2016/06/01,10.551
2016/06/02,10.602
2016/06/03,10.63
2016/06/04,10.657
2016/06/05,10.695
2016/06/06,10.742
2016/06/07,10.781
2016/06/08,10.812
2016/06/09,10.849
2016/06/10,10.861
2016/06/11,10.856
2016/06/12,10.869
2016/06/13,10.912
2016/06/14,10.967
2016/06/15,11.042
2016/06/16,11.144
2016/06/17,11.219
2016/06/18,11.249
2016/06/19,11.262
2016/06/20,11.263
2016/06/21,11.265
2016/06/22,11.296
2016/06/23,11.32
2016/06/24,11.354
2016/06/25,11.392
2016/06/26,11.423
2016/06/27,11.448
2016/06/28,11.463
2016/06/29,11.467
2016/06/30,11.476
2016/07/01,11.484
2016/07/02,11.489
2016/07/03,11.496
2016/07/04,11.505
2016/07/05,11.503
2016/07/06,11.505
2016/07/07,11.507
2016/07/08,11.516
2016/07/09,11.542
2016/07/10,11.569
2016/07/11,11.598
2016/07/12,11.629
2016/07/13,11.651
2016/07/14,11.682
2016/07/15,11.722
2016/07/16,11.75
2016/07/17,11.774
2016/07/18,11.8
2016/07/19,11.829
2016/07/20,11.87
2016/07/21,11.919
2016/07/22,11.979
2016/07/23,12.049
2016/07/24,12.111
2016/07/25,12.177
2016/07/26,12.235
2016/07/27,12.293
2016/07/28,12.352
2016/07/29,12.401
2016/07/30,12.445
2016/07/31,12.473
2016/08/01,12.495
2016/08/02,12.502
2016/08/03,12.503
2016/08/04,12.514
2016/08/05,12.532
2016/08/06,12.548
2016/08/07,12.564
2016/08/08,12.582
2016/08/09,12.604
2016/08/10,12.627
2016/08/11,12.641
2016/08/12,12.659
2016/08/13,12.676
2016/08/14,12.686
2016/08/15,12.68
2016/08/16,12.66
2016/08/17,12.627
2016/08/18,12.589
2016/08/19,12.557
2016/08/20,12.524
2016/08/21,12.491
2016/08/22,12.471
2016/08/23,12.456
2016/08/24,12.44
2016/08/25,12.439
2016/08/26,12.439
2016/08/27,12.429
2016/08/28,12.414
2016/08/29,12.388
2016/08/30,12.357
2016/08/31,12.33
2016/09/01,12.314
2016/09/02,12.296
2016/09/03,12.276
2016/09/04,12.252
2016/09/05,12.226
2016/09/06,12.194
2016/09/07,12.163
2016/09/08,12.134
2016/09/09,12.109
2016/09/10,12.075
2016/09/11,12.023
2016/09/12,11.952
2016/09/13,11.882
2016/09/14,11.798
2016/09/15,11.739
2016/09/16,11.732
2016/09/17,11.737
2016/09/18,11.749
2016/09/19,11.759
2016/09/20,11.753
2016/09/21,11.762
2016/09/22,11.754
2016/09/23,11.745
2016/09/24,11.735
2016/09/25,11.725
2016/09/26,11.723
2016/09/27,11.733
2016/09/28,11.742
2016/09/29,11.753
2016/09/30,11.766
2016/10/01,11.78
2016/10/02,11.798
2016/10/03,11.829
2016/10/04,11.861
2016/10/05,11.896
2016/10/06,11.923
2016/10/07,11.942
2016/10/08,11.958
2016/10/09,11.976
2016/10/10,11.991
2016/10/11,12.007
2016/10/12,12.016
2016/10/13,12.016
2016/10/14,12.018
2016/10/15,12.025
2016/10/16,12.032
2016/10/17,12.039
2016/10/18,12.043
2016/10/19,12.041
2016/10/20,12.026
2016/10/21,11.999
2016/10/22,11.985
2016/10/23,11.97
2016/10/24,11.96
2016/10/25,11.948
2016/10/26,11.934
2016/10/27,11.92
2016/10/28,11.904
2016/10/29,11.888
2016/10/30,11.877
2016/10/31,11.888
2016/11/01,11.9
2016/11/02,11.902
2016/11/03,11.901
2016/11/04,11.904
2016/11/05,11.906
2016/11/06,11.906
2016/11/07,11.897
2016/11/08,11.882
2016/11/09,11.868
2016/11/10,11.854
2016/11/11,11.84
2016/11/12,11.825
2016/11/13,11.813
2016/11/14,11.8
2016/11/15,11.79
2016/11/16,11.782
2016/11/17,11.773
