Date,sentbyaddress
2016/01/01,1536
2016/01/02,1619
2016/01/03,1618
2016/01/04,1629
2016/01/05,1631
2016/01/06,1677
2016/01/07,1728
2016/01/08,1646
2016/01/09,1684
2016/01/10,1842
2016/01/11,1873
2016/01/12,1998
2016/01/13,1772
2016/01/14,1727
2016/01/15,1968
2016/01/16,1545
2016/01/17,1433
2016/01/18,1665
2016/01/19,1547
2016/01/20,2036
2016/01/21,1545
2016/01/22,1599
2016/01/23,1878
2016/01/24,2112
2016/01/25,2226
2016/01/26,2350
2016/01/27,2080
2016/01/28,2090
2016/01/29,2021
2016/01/30,1992
2016/01/31,2100
2016/02/01,2063
2016/02/02,2011
2016/02/03,2027
2016/02/04,1991
2016/02/05,2046
2016/02/06,1949
2016/02/07,2142
2016/02/08,2318
2016/02/09,2479
2016/02/10,3265
2016/02/11,3390
2016/02/12,3304
2016/02/13,3071
2016/02/14,2653
2016/02/15,2765
2016/02/16,2749
2016/02/17,2698
2016/02/18,2726
2016/02/19,2653
2016/02/20,2526
2016/02/21,3466
2016/02/22,3034
2016/02/23,2987
2016/02/24,2886
2016/02/25,3283
2016/02/26,2993
2016/02/27,3068
2016/02/28,3407
2016/02/29,4015
2016/03/01,4322
2016/03/02,4494
2016/03/03,4818
2016/03/04,4846
2016/03/05,5758
2016/03/06,5361
2016/03/07,4490
2016/03/08,5372
2016/03/09,4937
2016/03/10,5459
2016/03/11,5184
2016/03/12,5114
2016/03/13,5033
2016/03/14,5044
2016/03/15,4864
2016/03/16,4550
2016/03/17,5014
2016/03/18,5359
2016/03/19,4440
2016/03/20,4571
2016/03/21,5090
2016/03/22,4498
2016/03/23,4591
2016/03/24,4445
2016/03/25,4275
2016/03/26,4094
2016/03/27,4678
2016/03/28,4772
2016/03/29,6025
2016/03/30,6119
2016/03/31,4856
2016/04/01,4607
2016/04/02,4354
2016/04/03,4315
2016/04/04,4934
2016/04/05,4977
2016/04/06,4939
2016/04/07,4808
2016/04/08,4650
2016/04/09,4944
2016/04/10,5396
2016/04/11,4779
2016/04/12,5043
2016/04/13,5412
2016/04/14,5026
2016/04/15,4603
2016/04/16,4514
2016/04/17,5092
2016/04/18,5037
2016/04/19,4905
2016/04/20,5024
2016/04/21,4975
2016/04/22,5084
2016/04/23,4906
2016/04/24,5054
2016/04/25,5296
2016/04/26,5401
2016/04/27,5356
2016/04/28,5127
2016/04/29,7572
2016/04/30,8108
2016/05/01,7003
2016/05/02,8040
2016/05/03,7336
2016/05/04,6873
2016/05/05,6954
2016/05/06,6964
2016/05/07,6651
2016/05/08,7108
2016/05/09,7431
2016/05/10,7553
2016/05/11,8714
2016/05/12,8878
2016/05/13,10443
2016/05/14,9197
2016/05/15,7912
2016/05/16,7676
2016/05/17,8305
2016/05/18,8916
2016/05/19,9178
2016/05/20,8604
2016/05/21,7746
2016/05/22,6923
2016/05/23,9050
2016/05/24,8614
2016/05/25,8385
2016/05/26,15526
2016/05/27,10181
2016/05/28,15936
2016/05/29,8730
2016/05/30,8560
2016/05/31,9019
2016/06/01,8269
2016/06/02,7750
2016/06/03,7788
2016/06/04,7140
2016/06/05,7142
2016/06/06,7645
2016/06/07,7946
2016/06/08,7920
2016/06/09,7516
2016/06/10,7726
2016/06/11,6860
2016/06/12,8032
2016/06/13,9846
2016/06/14,10026
2016/06/15,8709
2016/06/16,9481
2016/06/17,14035
2016/06/18,12578
2016/06/19,9786
2016/06/20,9011
2016/06/21,9567
2016/06/22,10424
2016/06/23,8468
2016/06/24,8086
2016/06/25,7431
2016/06/26,7304
2016/06/27,7521
2016/06/28,8614
2016/06/29,8361
2016/06/30,7569
2016/07/01,7672
2016/07/02,7835
2016/07/03,7822
2016/07/04,8322
2016/07/05,8508
2016/07/06,8198
2016/07/07,8159
2016/07/08,8147
2016/07/09,7870
2016/07/10,7462
2016/07/11,7842
2016/07/12,7855
2016/07/13,7644
2016/07/14,8201
2016/07/15,8093
2016/07/16,6947
2016/07/17,6395
2016/07/18,7364
2016/07/19,17576
2016/07/20,10739
2016/07/21,9739
2016/07/22,10693
2016/07/23,9679
2016/07/24,14526
2016/07/25,11796
2016/07/26,17544
2016/07/27,13810
2016/07/28,12498
2016/07/29,10422
2016/07/30,8869
2016/07/31,9959
2016/08/01,10417
2016/08/02,12767
2016/08/03,10646
2016/08/04,10180
2016/08/05,8872
2016/08/06,8603
2016/08/07,8686
2016/08/08,9553
2016/08/09,10442
2016/08/10,9383
2016/08/11,10899
2016/08/12,8698
2016/08/13,8018
2016/08/14,8625
2016/08/15,8765
2016/08/16,9739
2016/08/17,8748
2016/08/18,8694
2016/08/19,8731
2016/08/20,9032
2016/08/21,8761
2016/08/22,8207
2016/08/23,9997
2016/08/24,9029
2016/08/25,10088
2016/08/26,9270
2016/08/27,9602
2016/08/28,9020
2016/08/29,9858
2016/08/30,9348
2016/08/31,10071
2016/09/01,11066
2016/09/02,10322
2016/09/03,9134
2016/09/04,8927
2016/09/05,8977
2016/09/06,9099
2016/09/07,9238
2016/09/08,10872
2016/09/09,9202
