Date,sentbyaddress14mom
2016/01/01,57
2016/01/02,87
2016/01/03,124
2016/01/04,59
2016/01/05,51
2016/01/06,183
2016/01/07,236
2016/01/08,212
2016/01/09,185
2016/01/10,397
2016/01/11,255
2016/01/12,441
2016/01/13,303
2016/01/14,15
2016/01/15,432
2016/01/16,-74
2016/01/17,-185
2016/01/18,36
2016/01/19,-84
2016/01/20,359
2016/01/21,-183
2016/01/22,-47
2016/01/23,194
2016/01/24,270
2016/01/25,353
2016/01/26,352
2016/01/27,308
2016/01/28,363
2016/01/29,53
2016/01/30,447
2016/01/31,667
2016/02/01,398
2016/02/02,464
2016/02/03,-9
2016/02/04,446
2016/02/05,447
2016/02/06,71
2016/02/07,30
2016/02/08,92
2016/02/09,129
2016/02/10,1185
2016/02/11,1300
2016/02/12,1283
2016/02/13,1079
2016/02/14,553
2016/02/15,702
2016/02/16,738
2016/02/17,671
2016/02/18,735
2016/02/19,607
2016/02/20,577
2016/02/21,1324
2016/02/22,716
2016/02/23,508
2016/02/24,-379
2016/02/25,-107
2016/02/26,-311
2016/02/27,-3
2016/02/28,754
2016/02/29,1250
2016/03/01,1573
2016/03/02,1796
2016/03/03,2092
2016/03/04,2193
2016/03/05,3232
2016/03/06,1895
2016/03/07,1456
2016/03/08,2385
2016/03/09,2051
2016/03/10,2176
2016/03/11,2191
2016/03/12,2046
2016/03/13,1626
2016/03/14,1029
2016/03/15,542
2016/03/16,56
2016/03/17,196
2016/03/18,513
2016/03/19,-1318
2016/03/20,-790
2016/03/21,600
2016/03/22,-874
2016/03/23,-346
2016/03/24,-1014
2016/03/25,-909
2016/03/26,-1020
2016/03/27,-355
2016/03/28,-272
2016/03/29,1161
2016/03/30,1569
2016/03/31,-158
2016/04/01,-752
2016/04/02,-86
2016/04/03,-256
2016/04/04,-156
2016/04/05,479
2016/04/06,348
2016/04/07,363
2016/04/08,375
2016/04/09,850
2016/04/10,718
2016/04/11,7
2016/04/12,-982
2016/04/13,-707
2016/04/14,170
2016/04/15,-4
2016/04/16,160
2016/04/17,777
2016/04/18,103
2016/04/19,-72
2016/04/20,85
2016/04/21,167
2016/04/22,434
2016/04/23,-38
2016/04/24,-342
2016/04/25,517
2016/04/26,358
2016/04/27,-56
2016/04/28,101
2016/04/29,2969
2016/04/30,3594
2016/05/01,1911
2016/05/02,3003
2016/05/03,2431
2016/05/04,1849
2016/05/05,1979
2016/05/06,1880
2016/05/07,1745
2016/05/08,2054
2016/05/09,2135
2016/05/10,2152
2016/05/11,3358
2016/05/12,3751
2016/05/13,2871
2016/05/14,1089
2016/05/15,909
2016/05/16,-364
2016/05/17,969
2016/05/18,2043
2016/05/19,2224
2016/05/20,1640
2016/05/21,1095
2016/05/22,-185
2016/05/23,1619
2016/05/24,1061
2016/05/25,-329
2016/05/26,6648
2016/05/27,-262
2016/05/28,6739
2016/05/29,818
2016/05/30,884
2016/05/31,714
2016/06/01,-647
2016/06/02,-1428
2016/06/03,-816
2016/06/04,-606
2016/06/05,219
2016/06/06,-1405
2016/06/07,-668
2016/06/08,-465
2016/06/09,-8010
2016/06/10,-2455
2016/06/11,-9076
2016/06/12,-698
2016/06/13,1286
2016/06/14,1007
2016/06/15,440
2016/06/16,1731
2016/06/17,6247
2016/06/18,5438
2016/06/19,2644
2016/06/20,1366
2016/06/21,1621
2016/06/22,2504
2016/06/23,952
2016/06/24,360
2016/06/25,571
2016/06/26,-728
2016/06/27,-2325
2016/06/28,-1412
2016/06/29,-348
2016/06/30,-1912
2016/07/01,-6363
2016/07/02,-4743
2016/07/03,-1964
2016/07/04,-689
2016/07/05,-1059
2016/07/06,-2226
2016/07/07,-309
2016/07/08,61
2016/07/09,439
2016/07/10,158
2016/07/11,321
2016/07/12,-759
2016/07/13,-717
2016/07/14,632
2016/07/15,421
2016/07/16,-888
2016/07/17,-1427
2016/07/18,-958
2016/07/19,9068
2016/07/20,2541
2016/07/21,1580
2016/07/22,2546
2016/07/23,1809
2016/07/24,7064
2016/07/25,3954
2016/07/26,9689
2016/07/27,6166
2016/07/28,4297
2016/07/29,2329
2016/07/30,1922
2016/07/31,3564
2016/08/01,3053
2016/08/02,-4809
2016/08/03,-93
2016/08/04,441
2016/08/05,-1821
2016/08/06,-1076
2016/08/07,-5840
2016/08/08,-2243
2016/08/09,-7102
2016/08/10,-4427
2016/08/11,-1599
2016/08/12,-1724
2016/08/13,-851
2016/08/14,-1334
2016/08/15,-1652
2016/08/16,-3028
2016/08/17,-1898
2016/08/18,-1486
2016/08/19,-141
2016/08/20,429
2016/08/21,75
2016/08/22,-1346
2016/08/23,-445
2016/08/24,-354
2016/08/25,-811
2016/08/26,572
2016/08/27,1584
2016/08/28,395
2016/08/29,1093
2016/08/30,-391
2016/08/31,1323
2016/09/01,2372
2016/09/02,1591
2016/09/03,102
2016/09/04,166
2016/09/05,770
2016/09/06,-898
2016/09/07,209
2016/09/08,784
2016/09/09,-68
2016/09/10,-745
2016/09/11,250
2016/09/12,-411
2016/09/13,92
2016/09/14,-420
2016/09/15,-1673
2016/09/16,-1
2016/09/17,592
2016/09/18,-473
2016/09/19,-1133
2016/09/20,4588
2016/09/21,3084
2016/09/22,-2517
2016/09/23,-369
2016/09/24,364
2016/09/25,-272
2016/09/26,-508
2016/09/27,-294
2016/09/28,-604
2016/09/29,785
2016/09/30,70
2016/10/01,-1050
2016/10/02,2050
2016/10/03,1334
2016/10/04,-6542
2016/10/05,-5154
2016/10/06,-351
2016/10/07,573
2016/10/08,419
2016/10/09,1656
2016/10/10,1682
2016/10/11,203
2016/10/12,-3634
2016/10/13,-6492
2016/10/14,-2344
2016/10/15,-2234
2016/10/16,-2901
2016/10/17,-741
2016/10/18,4553
2016/10/19,-241
2016/10/20,3251
2016/10/21,2596
2016/10/22,404
2016/10/23,-1056
2016/10/24,-1657
2016/10/25,-312
2016/10/26,3750
2016/10/27,5674
2016/10/28,1504
2016/10/29,2347
2016/10/30,619
2016/10/31,2201
2016/11/01,-78
2016/11/02,1651
2016/11/03,-1328
2016/11/04,-5144
2016/11/05,-1797
2016/11/06,-2429
2016/11/07,-69
2016/11/08,-451
2016/11/09,-209
2016/11/10,-1905
2016/11/11,-823
2016/11/12,-463
2016/11/13,1241
2016/11/14,-3003
2016/11/15,-3249
2016/11/16,-741
2016/11/17,-2120
2016/11/18,1225
2016/11/19,-814
2016/11/20,595
2016/11/21,-915
2016/11/22,13227
2016/11/23,21109
2016/11/24,-2192
2016/11/25,14140
2016/11/26,-2527
2016/11/27,-3359
2016/11/28,-172
2016/11/29,-1456
2016/11/30,-690
2016/12/01,-1080
2016/12/02,-693
2016/12/03,1817
2016/12/04,1614
2016/12/05,-296
2016/12/06,-12067
2016/12/07,-23459
2016/12/08,1554
2016/12/09,-14328
2016/12/10,1216
2016/12/11,1582
2016/12/12,289
2016/12/13,185
2016/12/14,1751
2016/12/15,3271
2016/12/16,406
2016/12/17,-1565
2016/12/18,-1937
2016/12/19,360
2016/12/20,-1211
2016/12/21,2235
2016/12/22,1949
2016/12/23,-847
2016/12/24,144
