Date,sentbyaddress30roc
2016/01/01,63.753
2016/01/02,61.9
2016/01/03,67.668
2016/01/04,63.883
2016/01/05,24.125
2016/01/06,30
2016/01/07,54.286
2016/01/08,48.69
2016/01/09,54.071
2016/01/10,62.434
2016/01/11,24.04
2016/01/12,55.124
2016/01/13,17.273
2016/01/14,16.14
2016/01/15,31.551
2016/01/16,-7.596
2016/01/17,-3.11
2016/01/18,8.681
2016/01/19,3.548
2016/01/20,29.682
2016/01/21,-2.215
2016/01/22,7.028
2016/01/23,25.871
2016/01/24,47.28
2016/01/25,48.499
2016/01/26,62.63
2016/01/27,28.554
2016/01/28,34.232
2016/01/29,37.577
2016/01/30,16.355
2016/01/31,36.719
2016/02/01,27.424
2016/02/02,24.289
2016/02/03,24.432
2016/02/04,22.072
2016/02/05,22.004
2016/02/06,12.789
2016/02/07,30.134
2016/02/08,37.648
2016/02/09,34.582
2016/02/10,74.319
2016/02/11,69.67
2016/02/12,86.456
2016/02/13,77.823
2016/02/14,34.807
2016/02/15,78.964
2016/02/16,91.835
2016/02/17,62.042
2016/02/18,76.212
2016/02/19,30.305
2016/02/20,63.495
2016/02/21,116.76
2016/02/22,61.555
2016/02/23,41.43
2016/02/24,29.65
2016/02/25,39.702
2016/02/26,43.894
2016/02/27,46.794
2016/02/28,68.58
2016/02/29,101.556
2016/03/01,105.81
2016/03/02,117.838
2016/03/03,139.582
2016/03/04,139.073
2016/03/05,189.201
2016/03/06,162.023
2016/03/07,130.375
2016/03/08,150.794
2016/03/09,112.985
2016/03/10,120.21
2016/03/11,58.775
2016/03/12,50.855
2016/03/13,52.331
2016/03/14,64.246
2016/03/15,83.34
2016/03/16,64.557
2016/03/17,82.394
2016/03/18,98.629
2016/03/19,62.876
2016/03/20,72.296
2016/03/21,101.504
2016/03/22,29.775
2016/03/23,51.318
2016/03/24,48.812
2016/03/25,48.129
2016/03/26,24.703
2016/03/27,56.298
2016/03/28,55.541
2016/03/29,76.842
2016/03/30,52.403
2016/03/31,12.355
2016/04/01,2.514
2016/04/02,-9.631
2016/04/03,-10.957
2016/04/04,-14.311
2016/04/05,-7.163
2016/04/06,10
2016/04/07,-10.499
2016/04/08,-5.813
2016/04/09,-9.434
2016/04/10,4.09
2016/04/11,-6.551
2016/04/12,0.199
2016/04/13,7.296
2016/04/14,3.331
2016/04/15,1.165
2016/04/16,-9.972
2016/04/17,-4.982
2016/04/18,13.446
2016/04/19,7.307
2016/04/20,-1.297
2016/04/21,10.605
2016/04/22,10.738
2016/04/23,10.371
2016/04/24,18.222
2016/04/25,29.36
2016/04/26,15.455
2016/04/27,12.238
2016/04/28,-14.905
2016/04/29,23.746
2016/04/30,66.969
2016/05/01,52.008
2016/05/02,84.658
2016/05/03,70.012
2016/05/04,39.299
2016/05/05,39.723
2016/05/06,41
2016/05/07,38.332
2016/05/08,52.86
2016/05/09,50.303
2016/05/10,39.974
2016/05/11,82.339
2016/05/12,76.046
2016/05/13,92.96
2016/05/14,82.988
2016/05/15,71.888
2016/05/16,70.049
2016/05/17,63.099
2016/05/18,77.01
2016/05/19,87.115
2016/05/20,71.258
2016/05/21,55.698
2016/05/22,36.172
2016/05/23,84.468
2016/05/24,70.439
2016/05/25,58.327
2016/05/26,187.465
2016/05/27,90.086
2016/05/28,210.825
2016/05/29,15.293
2016/05/30,5.575
2016/05/31,28.788
2016/06/01,2.848
2016/06/02,5.643
2016/06/03,13.313
2016/06/04,2.675
2016/06/05,2.556
2016/06/06,14.945
2016/06/07,11.79
2016/06/08,6.581
2016/06/09,-0.49
2016/06/10,-11.338
2016/06/11,-22.73
2016/06/12,-23.087
2016/06/13,7.057
2016/06/14,26.719
2016/06/15,13.458
2016/06/16,14.16
2016/06/17,57.414
2016/06/18,37.045
2016/06/19,13.738
2016/06/20,16.331
2016/06/21,38.192
2016/06/22,15.182
2016/06/23,-1.695
2016/06/24,-3.566
2016/06/25,-52.138
2016/06/26,-28.259
2016/06/27,-52.805
2016/06/28,-1.329
2016/06/29,-2.325
2016/06/30,-16.077
2016/07/01,-7.22
2016/07/02,1.097
2016/07/03,0.437
2016/07/04,16.555
2016/07/05,19.126
2016/07/06,7.233
2016/07/07,2.681
2016/07/08,2.866
2016/07/09,4.71
2016/07/10,-3.417
2016/07/11,14.315
2016/07/12,-2.204
2016/07/13,-22.364
2016/07/14,-18.203
2016/07/15,-7.073
2016/07/16,-26.727
2016/07/17,-54.435
2016/07/18,-41.453
2016/07/19,79.604
2016/07/20,19.177
2016/07/21,1.798
2016/07/22,2.581
2016/07/23,14.301
2016/07/24,79.644
2016/07/25,58.74
2016/07/26,140.197
2016/07/27,83.619
2016/07/28,45.089
2016/07/29,24.65
2016/07/30,17.175
2016/07/31,29.81
2016/08/01,32.955
2016/08/02,63.219
2016/08/03,27.926
2016/08/04,19.652
2016/08/05,8.222
2016/08/06,5.442
2016/08/07,6.616
2016/08/08,21.385
2016/08/09,39.936
2016/08/10,19.651
2016/08/11,38.752
2016/08/12,13.789
2016/08/13,-2.231
2016/08/14,6.574
2016/08/15,26.17
2016/08/16,52.291
2016/08/17,18.794
2016/08/18,-50.535
2016/08/19,-18.698
2016/08/20,-7.259
2016/08/21,-18.068
2016/08/22,-15.208
2016/08/23,-31.179
2016/08/24,-23.457
2016/08/25,-42.499
2016/08/26,-32.875
2016/08/27,-23.172
2016/08/28,-13.452
2016/08/29,11.151
2016/08/30,-6.135
2016/08/31,-3.321
2016/09/01,-13.323
2016/09/02,-3.043
2016/09/03,-10.275
2016/09/04,0.62
2016/09/05,4.347
2016/09/06,4.755
2016/09/07,-3.297
2016/09/08,4.118
2016/09/09,-1.929
2016/09/10,-18.736
2016/09/11,6.576
2016/09/12,17.822
2016/09/13,9.449
2016/09/14,10.108
2016/09/15,-3.553
2016/09/16,17.981
2016/09/17,11.87
2016/09/18,-3.173
2016/09/19,-13.153
2016/09/20,56.226
2016/09/21,50.14
2016/09/22,-16.425
2016/09/23,-2.171
2016/09/24,-8.594
2016/09/25,-2.934
2016/09/26,-6.905
2016/09/27,1.397
2016/09/28,-8.227
2016/09/29,8.879
2016/09/30,3.177
2016/10/01,-21.598
2016/10/02,1.763
2016/10/03,0.482
2016/10/04,-19.962
2016/10/05,-20.151
2016/10/06,-12.034
2016/10/07,1.819
2016/10/08,-11.332
2016/10/09,15.779
2016/10/10,19.916
2016/10/11,0.852
2016/10/12,-42.701
2016/10/13,-60.953
2016/10/14,-16.62
2016/10/15,-31.417
2016/10/16,-26.335
2016/10/17,-13.253
2016/10/18,38.372
2016/10/19,-11.69
2016/10/20,-17.769
2016/10/21,-2.597
2016/10/22,20.215
2016/10/23,8.661
2016/10/24,-2.787
2016/10/25,0.433
2016/10/26,2.506
2016/10/27,2.34
2016/10/28,5.571
2016/10/29,-13.647
2016/10/30,-20.874
2016/10/31,22.614
2016/11/01,10.625
2016/11/02,-6.537
2016/11/03,38.936
2016/11/04,-4.325
2016/11/05,3.036
2016/11/06,-23.783
2016/11/07,-7.728
2016/11/08,-19.411
2016/11/09,-15.695
2016/11/10,-20.259
2016/11/11,61.241
2016/11/12,125.882
2016/11/13,17.597
2016/11/14,18.519
2016/11/15,10.101
2016/11/16,-7.112
2016/11/17,-33.262
2016/11/18,16.688
2016/11/19,-33.958
2016/11/20,-35.311
2016/11/21,-20.55
2016/11/22,127.266
2016/11/23,235.375
2016/11/24,-41.762
2016/11/25,149.569
2016/11/26,-38.045
2016/11/27,-36.09
2016/11/28,-15.087
2016/11/29,-15.896
2016/11/30,-32.816
2016/12/01,-42.108
2016/12/02,-13.849
2016/12/03,-6.82
2016/12/04,36.745
2016/12/05,-6.827
2016/12/06,35.946
2016/12/07,-25.756
2016/12/08,-20.603
2016/12/09,-4.624
2016/12/10,-5.902
2016/12/11,-11.939
2016/12/12,-6.894
2016/12/13,-24.971
2016/12/14,16.542
2016/12/15,19.436
2016/12/16,-0.523
2016/12/17,-1.563
2016/12/18,-7.943
2016/12/19,8.22
2016/12/20,9.93
2016/12/21,10.764
2016/12/22,-59.813
2016/12/23,-74.41
2016/12/24,36.025
2016/12/25,-72.066
2016/12/26,12.054
2016/12/27,17.235
2016/12/28,3.162
2016/12/29,23.442
2016/12/30,10.228
2016/12/31,27.025
2017/01/01,-11.894
2017/01/02,-16.886
2017/01/03,-9.234
2017/01/04,41.71
2017/01/05,5.11
2017/01/06,56.723
2017/01/07,28.282
2017/01/08,-7.354
2017/01/09,42.637
2017/01/10,9.042
2017/01/11,17.944
2017/01/12,31.831
2017/01/13,-3.484
2017/01/14,-21.114
2017/01/15,-6.439
2017/01/16,20.455
2017/01/17,13.614
2017/01/18,-1.156
2017/01/19,3.445
2017/01/20,4.989
2017/01/21,-5.236
2017/01/22,2.08
2017/01/23,16.944
2017/01/24,33.328
2017/01/25,20.206
2017/01/26,15.763
2017/01/27,2.728
2017/01/28,-9.056
2017/01/29,-6.169
2017/01/30,-1.533
2017/01/31,26.862
2017/02/01,8.936
2017/02/02,3.771
2017/02/03,-25.025
2017/02/04,-12.28
2017/02/05,-11.749
