Date,sentbyaddress30std
2016/01/01,417.455
2016/01/02,397.77
2016/01/03,366.697
2016/01/04,333.344
2016/01/05,334.262
2016/01/06,335.267
2016/01/07,318.001
2016/01/08,285.57
2016/01/09,242.922
2016/01/10,216.119
2016/01/11,241.6
2016/01/12,261.941
2016/01/13,266.736
2016/01/14,265.963
2016/01/15,290.114
2016/01/16,291.427
2016/01/17,295.028
2016/01/18,293.152
2016/01/19,290.434
2016/01/20,323.168
2016/01/21,324.409
2016/01/22,319.923
2016/01/23,324.254
2016/01/24,350.349
2016/01/25,392.978
2016/01/26,442.448
2016/01/27,456.153
2016/01/28,465.084
2016/01/29,458.919
2016/01/30,463.326
2016/01/31,464.358
2016/02/01,465.957
2016/02/02,462.811
2016/02/03,459.639
2016/02/04,453.627
2016/02/05,451.578
2016/02/06,448.192
2016/02/07,446.991
2016/02/08,461.878
2016/02/09,500.422
2016/02/10,685.971
2016/02/11,848.449
2016/02/12,954.259
2016/02/13,1005
2016/02/14,1020
2016/02/15,1015
2016/02/16,991.18
2016/02/17,979.365
2016/02/18,952.284
2016/02/19,953.293
2016/02/20,907.757
2016/02/21,941.566
2016/02/22,941.353
2016/02/23,948.557
2016/02/24,952.193
2016/02/25,987.243
2016/02/26,982.601
2016/02/27,979.069
2016/02/28,992.014
2016/02/29,1071
2016/03/01,1186
2016/03/02,1298
2016/03/03,1429
2016/03/04,1532
2016/03/05,1756
2016/03/06,1864
2016/03/07,1839
2016/03/08,1909
2016/03/09,1923
2016/03/10,1989
2016/03/11,2053
2016/03/12,2104
2016/03/13,2140
2016/03/14,2158
2016/03/15,2128
2016/03/16,2085
2016/03/17,2052
2016/03/18,2024
2016/03/19,1945
2016/03/20,1849
2016/03/21,1736
2016/03/22,1698
2016/03/23,1612
2016/03/24,1507
2016/03/25,1376
2016/03/26,1300
2016/03/27,1145
2016/03/28,969.597
2016/03/29,936.337
2016/03/30,989.222
2016/03/31,964.406
2016/04/01,958.297
2016/04/02,980.532
2016/04/03,1005
2016/04/04,954.022
2016/04/05,938.117
2016/04/06,927.741
2016/04/07,910.087
2016/04/08,912.882
2016/04/09,885.793
2016/04/10,899.986
2016/04/11,894.666
2016/04/12,894.97
2016/04/13,915.968
2016/04/14,918.221
2016/04/15,916.091
2016/04/16,922.001
2016/04/17,906.707
2016/04/18,897.913
2016/04/19,892.156
2016/04/20,890.193
2016/04/21,880.963
2016/04/22,877.698
2016/04/23,862.04
2016/04/24,830.966
2016/04/25,780.079
2016/04/26,787.048
2016/04/27,792.9
2016/04/28,700.438
2016/04/29,1097
2016/04/30,1553
2016/05/01,1676
2016/05/02,1926
2016/05/03,2014
2016/05/04,2068
2016/05/05,2121
2016/05/06,2165
2016/05/07,2171
2016/05/08,2191
2016/05/09,2245
2016/05/10,2317
2016/05/11,2479
2016/05/12,2643
2016/05/13,3032
2016/05/14,3153
2016/05/15,3110
2016/05/16,3031
2016/05/17,3020
2016/05/18,3034
2016/05/19,3037
2016/05/20,2982
2016/05/21,2867
2016/05/22,2750
2016/05/23,2655
2016/05/24,2520
2016/05/25,2378
2016/05/26,3545
2016/05/27,3475
2016/05/28,4264
2016/05/29,4248
2016/05/30,4243
2016/05/31,4201
2016/06/01,4197
2016/06/02,4181
2016/06/03,4139
2016/06/04,4129
2016/06/05,4119
2016/06/06,4066
2016/06/07,4030
2016/06/08,4011
2016/06/09,4013
2016/06/10,4033
2016/06/11,4094
2016/06/12,4052
2016/06/13,4070
2016/06/14,4087
2016/06/15,4067
2016/06/16,4070
2016/06/17,4477
2016/06/18,4657
2016/06/19,4659
2016/06/20,4629
2016/06/21,4552
2016/06/22,4569
2016/06/23,4573
2016/06/24,4582
2016/06/25,4007
2016/06/26,4032
2016/06/27,3118
2016/06/28,3118
2016/06/29,3120
2016/06/30,3141
2016/07/01,3158
2016/07/02,3155
2016/07/03,3154
2016/07/04,3109
2016/07/05,3059
2016/07/06,3040
2016/07/07,3034
2016/07/08,3027
2016/07/09,3011
2016/07/10,3025
2016/07/11,2964
2016/07/12,2970
2016/07/13,2967
2016/07/14,2929
2016/07/15,2934
2016/07/16,2973
2016/07/17,2260
2016/07/18,1614
2016/07/19,3737
2016/07/20,3828
2016/07/21,3836
2016/07/22,3856
2016/07/23,3883
2016/07/24,4448
2016/07/25,4561
2016/07/26,5494
2016/07/27,5705
2016/07/28,5806
2016/07/29,5799
2016/07/30,5758
2016/07/31,5714
2016/08/01,5678
2016/08/02,5729
2016/08/03,5703
2016/08/04,5675
2016/08/05,5651
2016/08/06,5633
2016/08/07,5611
2016/08/08,5553
2016/08/09,5461
2016/08/10,5397
2016/08/11,5321
2016/08/12,5261
2016/08/13,5271
2016/08/14,5243
2016/08/15,5119
2016/08/16,4894
2016/08/17,4794
2016/08/18,4106
2016/08/19,4147
2016/08/20,4168
2016/08/21,4202
2016/08/22,4261
2016/08/23,3946
2016/08/24,3907
2016/08/25,2709
2016/08/26,2242
2016/08/27,1958
2016/08/28,1930
2016/08/29,1926
2016/08/30,1916
2016/08/31,1896
2016/09/01,1564
2016/09/02,1532
2016/09/03,1502
2016/09/04,1500
2016/09/05,1482
2016/09/06,1466
2016/09/07,1464
2016/09/08,1515
2016/09/09,1516
2016/09/10,1408
2016/09/11,1392
2016/09/12,1311
2016/09/13,1285
2016/09/14,1269
2016/09/15,1263
2016/09/16,1284
2016/09/17,1258
2016/09/18,1283
2016/09/19,1401
2016/09/20,2057
2016/09/21,2215
2016/09/22,2265
2016/09/23,2273
2016/09/24,2273
2016/09/25,2281
2016/09/26,2294
2016/09/27,2290
2016/09/28,2296
2016/09/29,2305
2016/09/30,2316
2016/10/01,2275
2016/10/02,2284
2016/10/03,2283
2016/10/04,2432
2016/10/05,2565
2016/10/06,2613
2016/10/07,2612
2016/10/08,2556
2016/10/09,2597
2016/10/10,2626
2016/10/11,2625
2016/10/12,3000
2016/10/13,3618
2016/10/14,3633
2016/10/15,3751
2016/10/16,3749
2016/10/17,3739
2016/10/18,3873
2016/10/19,3921
2016/10/20,3612
2016/10/21,3573
2016/10/22,3594
2016/10/23,3603
2016/10/24,3601
2016/10/25,3602
2016/10/26,3603
2016/10/27,3605
2016/10/28,3612
2016/10/29,3583
2016/10/30,3546
2016/10/31,3605
2016/11/01,3693
2016/11/02,3694
2016/11/03,3652
2016/11/04,3675
2016/11/05,3667
2016/11/06,3721
2016/11/07,3711
2016/11/08,3654
2016/11/09,3594
2016/11/10,3617
2016/11/11,3404
2016/11/12,2831
2016/11/13,2815
2016/11/14,2700
2016/11/15,2659
2016/11/16,2687
2016/11/17,2537
2016/11/18,2447
