Date,sentbyaddress30var
2016/01/01,43567
2016/01/02,39555
2016/01/03,33617
2016/01/04,27780
2016/01/05,27933
2016/01/06,28101
2016/01/07,25281
2016/01/08,20388
2016/01/09,14753
2016/01/10,11677
2016/01/11,14593
2016/01/12,17153
2016/01/13,17787
2016/01/14,17684
2016/01/15,21042
2016/01/16,21232
2016/01/17,21760
2016/01/18,21485
2016/01/19,21088
2016/01/20,26109
2016/01/21,26310
2016/01/22,25588
2016/01/23,26285
2016/01/24,30686
2016/01/25,38608
2016/01/26,48940
2016/01/27,52019
2016/01/28,54076
2016/01/29,52652
2016/01/30,53668
2016/01/31,53907
2016/02/01,54279
2016/02/02,53549
2016/02/03,52817
2016/02/04,51444
2016/02/05,50981
2016/02/06,50219
2016/02/07,49950
2016/02/08,53333
2016/02/09,62606
2016/02/10,117639
2016/02/11,179967
2016/02/12,227653
2016/02/13,252738
2016/02/14,259937
2016/02/15,257530
2016/02/16,245609
2016/02/17,239789
2016/02/18,226711
2016/02/19,227192
2016/02/20,206006
2016/02/21,221637
2016/02/22,221536
2016/02/23,224940
2016/02/24,226668
2016/02/25,243662
2016/02/26,241376
2016/02/27,239644
2016/02/28,246023
2016/02/29,286714
2016/03/01,351666
2016/03/02,421098
2016/03/03,510382
2016/03/04,586561
2016/03/05,770788
2016/03/06,869034
2016/03/07,845818
2016/03/08,911337
2016/03/09,924830
2016/03/10,989490
2016/03/11,1053369
2016/03/12,1106939
2016/03/13,1144407
2016/03/14,1164446
2016/03/15,1132551
2016/03/16,1086857
2016/03/17,1052507
2016/03/18,1023665
2016/03/19,945849
2016/03/20,854740
2016/03/21,753678
2016/03/22,720849
2016/03/23,649246
2016/03/24,567932
2016/03/25,473525
2016/03/26,422260
2016/03/27,327587
2016/03/28,235029
2016/03/29,219182
2016/03/30,244640
2016/03/31,232520
2016/04/01,229583
2016/04/02,240361
2016/04/03,252302
2016/04/04,227540
2016/04/05,220016
2016/04/06,215176
2016/04/07,207064
2016/04/08,208338
2016/04/09,196157
2016/04/10,202494
2016/04/11,200107
2016/04/12,200243
2016/04/13,209749
2016/04/14,210783
2016/04/15,209806
2016/04/16,212521
2016/04/17,205529
2016/04/18,201562
2016/04/19,198986
2016/04/20,198111
2016/04/21,194024
2016/04/22,192588
2016/04/23,185778
2016/04/24,172626
2016/04/25,152131
2016/04/26,154861
2016/04/27,157173
2016/04/28,122653
2016/04/29,300583
2016/04/30,603005
2016/05/01,702646
2016/05/02,927353
2016/05/03,1014187
2016/05/04,1069317
2016/05/05,1125097
2016/05/06,1171336
2016/05/07,1178223
2016/05/08,1200159
2016/05/09,1259839
2016/05/10,1341740
2016/05/11,1535871
2016/05/12,1746673
2016/05/13,2297987
2016/05/14,2485510
2016/05/15,2418385
2016/05/16,2297252
2016/05/17,2280677
2016/05/18,2301990
2016/05/19,2305280
2016/05/20,2222503
2016/05/21,2055100
2016/05/22,1890814
2016/05/23,1762286
2016/05/24,1587221
2016/05/25,1413835
2016/05/26,3142386
2016/05/27,3019076
2016/05/28,4546087
2016/05/29,4510508
2016/05/30,4501326
2016/05/31,4411435
2016/06/01,4402844
2016/06/02,4370139
2016/06/03,4283542
2016/06/04,4262196
2016/06/05,4241767
2016/06/06,4132688
2016/06/07,4060195
2016/06/08,4022014
