Date,sentbyaddress3ema
2016/01/01,1573
2016/01/02,1596
2016/01/03,1607
2016/01/04,1618
2016/01/05,1625
2016/01/06,1651
2016/01/07,1689
2016/01/08,1668
2016/01/09,1676
2016/01/10,1759
2016/01/11,1816
2016/01/12,1907
2016/01/13,1839
2016/01/14,1783
2016/01/15,1876
2016/01/16,1710
2016/01/17,1572
2016/01/18,1618
2016/01/19,1583
2016/01/20,1809
2016/01/21,1677
2016/01/22,1638
2016/01/23,1758
2016/01/24,1935
2016/01/25,2081
2016/01/26,2215
2016/01/27,2148
2016/01/28,2119
2016/01/29,2070
2016/01/30,2031
2016/01/31,2065
2016/02/01,2064
2016/02/02,2038
2016/02/03,2032
2016/02/04,2012
2016/02/05,2029
2016/02/06,1989
2016/02/07,2065
2016/02/08,2192
2016/02/09,2335
2016/02/10,2800
2016/02/11,3095
2016/02/12,3200
2016/02/13,3135
2016/02/14,2894
2016/02/15,2830
2016/02/16,2789
2016/02/17,2744
2016/02/18,2735
2016/02/19,2694
2016/02/20,2610
2016/02/21,3038
2016/02/22,3036
2016/02/23,3011
2016/02/24,2949
2016/02/25,3116
2016/02/26,3054
2016/02/27,3061
2016/02/28,3234
2016/02/29,3625
2016/03/01,3973
2016/03/02,4234
2016/03/03,4526
2016/03/04,4686
2016/03/05,5222
2016/03/06,5291
2016/03/07,4891
2016/03/08,5131
2016/03/09,5034
2016/03/10,5247
2016/03/11,5215
2016/03/12,5165
2016/03/13,5099
2016/03/14,5071
2016/03/15,4968
2016/03/16,4759
2016/03/17,4886
2016/03/18,5123
2016/03/19,4781
2016/03/20,4676
2016/03/21,4883
2016/03/22,4691
2016/03/23,4641
2016/03/24,4543
2016/03/25,4409
2016/03/26,4251
2016/03/27,4465
2016/03/28,4618
2016/03/29,5322
2016/03/30,5720
2016/03/31,5288
2016/04/01,4948
2016/04/02,4651
2016/04/03,4483
2016/04/04,4708
2016/04/05,4843
2016/04/06,4891
2016/04/07,4849
2016/04/08,4750
2016/04/09,4847
2016/04/10,5121
2016/04/11,4950
2016/04/12,4997
2016/04/13,5204
2016/04/14,5115
2016/04/15,4859
2016/04/16,4687
2016/04/17,4889
2016/04/18,4963
2016/04/19,4934
2016/04/20,4979
2016/04/21,4977
2016/04/22,5031
2016/04/23,4968
2016/04/24,5011
2016/04/25,5154
2016/04/26,5277
2016/04/27,5317
2016/04/28,5222
2016/04/29,6397
2016/04/30,7252
2016/05/01,7128
2016/05/02,7584
2016/05/03,7460
2016/05/04,7166
2016/05/05,7060
2016/05/06,7012
2016/05/07,6832
2016/05/08,6970
2016/05/09,7200
2016/05/10,7377
2016/05/11,8045
2016/05/12,8462
2016/05/13,9452
2016/05/14,9325
2016/05/15,8618
2016/05/16,8147
2016/05/17,8226
2016/05/18,8571
2016/05/19,8875
2016/05/20,8739
2016/05/21,8243
2016/05/22,7583
2016/05/23,8316
2016/05/24,8465
2016/05/25,8425
2016/05/26,11976
2016/05/27,11078
2016/05/28,13507
2016/05/29,11119
2016/05/30,9839
2016/05/31,9429
2016/06/01,8849
2016/06/02,8300
2016/06/03,8044
2016/06/04,7592
2016/06/05,7367
2016/06/06,7506
2016/06/07,7726
2016/06/08,7823
2016/06/09,7669
2016/06/10,7698
2016/06/11,7279
2016/06/12,7655
2016/06/13,8751
2016/06/14,9388
2016/06/15,9049
2016/06/16,9265
2016/06/17,11650
2016/06/18,12114
2016/06/19,10950
2016/06/20,9980
2016/06/21,9774
2016/06/22,10099
2016/06/23,9283
2016/06/24,8685
2016/06/25,8058
2016/06/26,7681
2016/06/27,7601
2016/06/28,8107
2016/06/29,8234
2016/06/30,7902
2016/07/01,7787
2016/07/02,7811
2016/07/03,7816
2016/07/04,8069
2016/07/05,8289
2016/07/06,8243
2016/07/07,8201
2016/07/08,8174
2016/07/09,8022
2016/07/10,7742
2016/07/11,7792
2016/07/12,7824
2016/07/13,7734
2016/07/14,7967
2016/07/15,8030
2016/07/16,7489
2016/07/17,6942
2016/07/18,7153
2016/07/19,12364
2016/07/20,11552
2016/07/21,10645
2016/07/22,10669
2016/07/23,10174
2016/07/24,12350
2016/07/25,12073
2016/07/26,14809
2016/07/27,14309
2016/07/28,13404
2016/07/29,11913
2016/07/30,10391
2016/07/31,10175
2016/08/01,10296
2016/08/02,11531
2016/08/03,11089
2016/08/04,10634
2016/08/05,9753
2016/08/06,9178
2016/08/07,8932
2016/08/08,9243
2016/08/09,9842
2016/08/10,9613
2016/08/11,10256
2016/08/12,9477
2016/08/13,8747
2016/08/14,8686
2016/08/15,8726
2016/08/16,9232
2016/08/17,8990
2016/08/18,8842
2016/08/19,8787
2016/08/20,8909
2016/08/21,8835
2016/08/22,8521
2016/08/23,9259
2016/08/24,9144
2016/08/25,9616
2016/08/26,9443
2016/08/27,9523
2016/08/28,9271
2016/08/29,9565
2016/08/30,9456
2016/08/31,9764
2016/09/01,10415
2016/09/02,10368
2016/09/03,9751
2016/09/04,9339
2016/09/05,9158
2016/09/06,9129
2016/09/07,9183
2016/09/08,10028
2016/09/09,9615
2016/09/10,9236
2016/09/11,9253
2016/09/12,9350
2016/09/13,9395
2016/09/14,9523
2016/09/15,9458
2016/09/16,9889
2016/09/17,9808
2016/09/18,9131
2016/09/19,8487
2016/09/20,11087
2016/09/21,11705
2016/09/22,10030
2016/09/23,9431
2016/09/24,9326
2016/09/25,9162
2016/09/26,9051
2016/09/27,9098
2016/09/28,9073
2016/09/29,9625
2016/09/30,10008
2016/10/01,9342
