Date,sentbyaddress3rsi
2016/01/01,45.211
2016/01/02,57.064
2016/01/03,56.841
2016/01/04,59.447
2016/01/05,60.104
2016/01/06,74.408
2016/01/07,83.967
2016/01/08,44.173
2016/01/09,58.007
2016/01/10,83.503
2016/01/11,86.004
2016/01/12,92.699
2016/01/13,40.352
2016/01/14,34.529
2016/01/15,69.68
2016/01/16,28.871
2016/01/17,23.422
2016/01/18,51.727
2016/01/19,40.349
2016/01/20,74.802
2016/01/21,40.003
2016/01/22,44.279
2016/01/23,64.107
2016/01/24,75.206
2016/01/25,79.776
2016/01/26,84.452
2016/01/27,48.117
2016/01/28,49.328
2016/01/29,39.729
2016/01/30,35.387
2016/01/31,59.879
2016/02/01,50.117
2016/02/02,37.298
2016/02/03,43.918
2016/02/04,32.38
2016/02/05,57.792
2016/02/06,28.98
2016/02/07,71.454
2016/02/08,84.299
2016/02/09,90.293
2016/02/10,97.442
2016/02/11,97.825
2016/02/12,84.754
2016/02/13,54.927
2016/02/14,28.211
2016/02/15,39.95
2016/02/16,38.598
2016/02/17,33.221
2016/02/18,40.094
2016/02/19,28.587
2016/02/20,16.346
2016/02/21,85.462
2016/02/22,54.45
2016/02/23,51.405
2016/02/24,43.556
2016/02/25,70.298
2016/02/26,46.275
2016/02/27,52.564
2016/02/28,73.552
2016/02/29,87.925
2016/03/01,91.446
2016/03/02,93.13
2016/03/03,95.585
2016/03/04,95.78
2016/03/05,98.666
2016/03/06,68.209
2016/03/07,33.835
2016/03/08,62.523
2016/03/09,47.339
2016/03/10,63.357
2016/03/11,51.079
2016/03/12,47.56
2016/03/13,42.48
2016/03/14,43.705
2016/03/15,28.703
2016/03/16,15.121
2016/03/17,58.572
2016/03/18,73.629
2016/03/19,30.026
2016/03/20,37.89
2016/03/21,62.762
2016/03/22,37.244
2016/03/23,42.731
2016/03/24,35.435
2016/03/25,27.296
2016/03/26,19.97
2016/03/27,65.188
2016/03/28,69.367
2016/03/29,90.991
2016/03/30,91.654
2016/03/31,36.911
2016/04/01,31.37
2016/04/02,25.529
2016/04/03,24.475
2016/04/04,61.908
2016/04/05,63.778
2016/04/06,59.88
2016/04/07,45.5
2016/04/08,31.719
2016/04/09,62.999
2016/04/10,82.007
2016/04/11,39.967
2016/04/12,54.829
2016/04/13,70.264
2016/04/14,45.74
2016/04/15,29.065
2016/04/16,26.066
2016/04/17,63.128
2016/04/18,58.913
2016/04/19,47.496
2016/04/20,58.398
2016/04/21,51.76
2016/04/22,65.026
2016/04/23,38.853
2016/04/24,59.289
2016/04/25,77.628
2016/04/26,82.7
2016/04/27,72.18
2016/04/28,36.621
2016/04/29,92.871
2016/04/30,94.481
2016/05/01,55.623
2016/05/02,71.895
2016/05/03,52.348
2016/05/04,41.278
2016/05/05,44.365
2016/05/06,44.902
2016/05/07,30.908
2016/05/08,58.936
2016/05/09,71.285
2016/05/10,75.466
2016/05/11,92.029
2016/05/12,93.027
2016/05/13,97.502
2016/05/14,55.198
2016/05/15,33.029
2016/05/16,29.739
2016/05/17,49.751
2016/05/18,64.489
2016/05/19,70.125
2016/05/20,46.087
2016/05/21,26.059
2016/05/22,16.034
2016/05/23,66.298
2016/05/24,55.992
2016/05/25,49.883
2016/05/26,91.789
2016/05/27,47.343
2016/05/28,70.451
2016/05/29,38.62
2016/05/30,38.012
2016/05/31,41.726
2016/06/01,36.383
2016/06/02,32.115
2016/06/03,32.978
2016/06/04,24.882
2016/06/05,24.967
2016/06/06,47.467
2016/06/07,58.608
2016/06/08,57.041
2016/06/09,35.138
2016/06/10,50.083
2016/06/11,20.651
2016/06/12,63.817
2016/06/13,84.011
2016/06/14,85.237
2016/06/15,46.28
2016/06/16,61.68
2016/06/17,89.164
2016/06/18,66.332
2016/06/19,38.209
2016/06/20,32.476
2016/06/21,41.863
2016/06/22,56.004
