Date,sentbyaddress7sma
2016/01/01,1548
2016/01/02,1565
2016/01/03,1590
2016/01/04,1591
2016/01/05,1602
2016/01/06,1632
2016/01/07,1634
2016/01/08,1650
2016/01/09,1659
2016/01/10,1691
2016/01/11,1726
2016/01/12,1778
2016/01/13,1792
2016/01/14,1792
2016/01/15,1838
2016/01/16,1818
2016/01/17,1759
2016/01/18,1730
2016/01/19,1665
2016/01/20,1703
2016/01/21,1677
2016/01/22,1624
2016/01/23,1672
2016/01/24,1769
2016/01/25,1849
2016/01/26,1964
2016/01/27,1970
2016/01/28,2048
2016/01/29,2108
2016/01/30,2124
2016/01/31,2123
2016/02/01,2099
2016/02/02,2051
2016/02/03,2043
2016/02/04,2029
2016/02/05,2033
2016/02/06,2027
2016/02/07,2033
2016/02/08,2069
2016/02/09,2136
2016/02/10,2313
2016/02/11,2513
2016/02/12,2692
2016/02/13,2853
2016/02/14,2926
2016/02/15,2990
2016/02/16,3028
2016/02/17,2947
2016/02/18,2852
2016/02/19,2759
2016/02/20,2681
2016/02/21,2798
2016/02/22,2836
2016/02/23,2870
2016/02/24,2897
2016/02/25,2976
2016/02/26,3025
2016/02/27,3102
2016/02/28,3094
2016/02/29,3234
2016/03/01,3425
2016/03/02,3655
2016/03/03,3874
2016/03/04,4139
2016/03/05,4523
2016/03/06,4802
2016/03/07,4870
2016/03/08,5020
2016/03/09,5083
2016/03/10,5175
2016/03/11,5223
2016/03/12,5131
2016/03/13,5084
2016/03/14,5163
2016/03/15,5091
2016/03/16,5035
2016/03/17,4972
2016/03/18,4997
2016/03/19,4901
2016/03/20,4835
2016/03/21,4841
2016/03/22,4789
2016/03/23,4795
2016/03/24,4713
2016/03/25,4559
2016/03/26,4509
2016/03/27,4524
2016/03/28,4479
2016/03/29,4697
2016/03/30,4915
2016/03/31,4974
2016/04/01,5022
2016/04/02,5059
2016/04/03,5007
2016/04/04,5030
2016/04/05,4880
2016/04/06,4712
2016/04/07,4705
2016/04/08,4711
2016/04/09,4795
2016/04/10,4950
2016/04/11,4928
2016/04/12,4937
2016/04/13,5005
2016/04/14,5036
2016/04/15,5029
2016/04/16,4968
2016/04/17,4924
2016/04/18,4961
2016/04/19,4941
2016/04/20,4886
2016/04/21,4879
2016/04/22,4947
2016/04/23,5003
2016/04/24,4998
2016/04/25,5035
2016/04/26,5106
2016/04/27,5153
2016/04/28,5175
2016/04/29,5530
2016/04/30,5988
2016/05/01,6266
2016/05/02,6658
2016/05/03,6935
2016/05/04,7151
2016/05/05,7412
2016/05/06,7325
2016/05/07,7117
2016/05/08,7132
2016/05/09,7045
2016/05/10,7076
2016/05/11,7339
2016/05/12,7614
2016/05/13,8111
2016/05/14,8475
2016/05/15,8590
2016/05/16,8625
2016/05/17,8732
2016/05/18,8761
2016/05/19,8804
2016/05/20,8541
2016/05/21,8334
2016/05/22,8193
2016/05/23,8389
2016/05/24,8433
2016/05/25,8357
2016/05/26,9264
2016/05/27,9489
2016/05/28,10659
2016/05/29,10917
2016/05/30,10847
2016/05/31,10905
2016/06/01,10889
2016/06/02,9778
2016/06/03,9436
2016/06/04,8179
2016/06/05,7953
2016/06/06,7822
2016/06/07,7669
2016/06/08,7619
2016/06/09,7585
2016/06/10,7576
2016/06/11,7536
2016/06/12,7664
2016/06/13,7978
2016/06/14,8275
2016/06/15,8388
2016/06/16,8669
2016/06/17,9570
2016/06/18,10387
2016/06/19,10637
2016/06/20,10518
2016/06/21,10452
2016/06/22,10697
2016/06/23,10553
2016/06/24,9703
2016/06/25,8968
2016/06/26,8613
2016/06/27,8400
2016/06/28,8264
2016/06/29,7969
2016/06/30,7841
2016/07/01,7782
2016/07/02,7839
2016/07/03,7913
2016/07/04,8028
2016/07/05,8013
2016/07/06,7989
2016/07/07,8074
2016/07/08,8142
2016/07/09,8147
2016/07/10,8095
2016/07/11,8027
2016/07/12,7933
2016/07/13,7854
2016/07/14,7860
2016/07/15,7852
2016/07/16,7721
2016/07/17,7568
2016/07/18,7500
2016/07/19,8889
2016/07/20,9331
2016/07/21,9550
2016/07/22,9922
2016/07/23,10312
2016/07/24,11474
2016/07/25,12107
2016/07/26,12102
2016/07/27,12541
2016/07/28,12935
2016/07/29,12896
2016/07/30,12781
2016/07/31,12128
2016/08/01,11931
2016/08/02,11249
2016/08/03,10797
2016/08/04,10466
2016/08/05,10244
2016/08/06,10206
2016/08/07,10024
2016/08/08,9901
2016/08/09,9569
2016/08/10,9388
2016/08/11,9491
2016/08/12,9466
2016/08/13,9383
2016/08/14,9374
2016/08/15,9261
2016/08/16,9161
2016/08/17,9070
2016/08/18,8755
2016/08/19,8760
2016/08/20,8905
2016/08/21,8924
2016/08/22,8845
2016/08/23,8881
2016/08/24,8922
2016/08/25,9121
2016/08/26,9198
2016/08/27,9279
2016/08/28,9316
2016/08/29,9552
2016/08/30,9459
2016/08/31,9608
2016/09/01,9748
2016/09/02,9898
2016/09/03,9831
2016/09/04,9818
2016/09/05,9692
2016/09/06,9657
2016/09/07,9538
2016/09/08,9510
2016/09/09,9350
2016/09/10,9310
2016/09/11,9359
2016/09/12,9426
2016/09/13,9475
2016/09/14,9534
2016/09/15,9323
