Date,sentbyaddress7wma
2016/01/01,1566
2016/01/02,1583
2016/01/03,1597
2016/01/04,1606
2016/01/05,1616
2016/01/06,1635
2016/01/07,1659
2016/01/08,1662
2016/01/09,1671
2016/01/10,1717
2016/01/11,1762
2016/01/12,1830
2016/01/13,1828
2016/01/14,1812
2016/01/15,1856
2016/01/16,1783
2016/01/17,1687
2016/01/18,1663
2016/01/19,1618
2016/01/20,1710
2016/01/21,1671
2016/01/22,1651
2016/01/23,1715
2016/01/24,1825
2016/01/25,1939
2016/01/26,2064
2016/01/27,2093
2016/01/28,2123
2016/01/29,2117
2016/01/30,2088
2016/01/31,2082
2016/02/01,2067
2016/02/02,2045
2016/02/03,2039
2016/02/04,2025
2016/02/05,2030
2016/02/06,2009
2016/02/07,2037
2016/02/08,2109
2016/02/09,2211
2016/02/10,2493
2016/02/11,2763
2016/02/12,2961
2016/02/13,3055
2016/02/14,3005
2016/02/15,2965
2016/02/16,2905
2016/02/17,2822
2016/02/18,2767
2016/02/19,2717
2016/02/20,2659
2016/02/21,2855
2016/02/22,2914
2016/02/23,2952
2016/02/24,2956
2016/02/25,3053
2016/02/26,3057
2016/02/27,3067
2016/02/28,3144
2016/02/29,3374
2016/03/01,3646
2016/03/02,3913
2016/03/03,4204
2016/03/04,4447
2016/03/05,4852
2016/03/06,5061
2016/03/07,4983
2016/03/08,5109
2016/03/09,5088
2016/03/10,5182
2016/03/11,5184
2016/03/12,5157
2016/03/13,5133
2016/03/14,5123
2016/03/15,5048
2016/03/16,4913
2016/03/17,4907
2016/03/18,5004
2016/03/19,4865
2016/03/20,4783
2016/03/21,4846
2016/03/22,4761
2016/03/23,4711
2016/03/24,4624
2016/03/25,4514
2016/03/26,4398
2016/03/27,4440
2016/03/28,4502
2016/03/29,4889
2016/03/30,5244
2016/03/31,5229
2016/04/01,5137
2016/04/02,4970
2016/04/03,4785
2016/04/04,4766
2016/04/05,4753
2016/04/06,4768
2016/04/07,4792
2016/04/08,4778
2016/04/09,4836
2016/04/10,4987
2016/04/11,4944
2016/04/12,4973
2016/04/13,5091
2016/04/14,5097
2016/04/15,4989
2016/04/16,4860
2016/04/17,4891
2016/04/18,4919
2016/04/19,4905
2016/04/20,4926
2016/04/21,4948
2016/04/22,5000
2016/04/23,4989
2016/04/24,5002
2016/04/25,5076
2016/04/26,5168
2016/04/27,5231
2016/04/28,5224
2016/04/29,5823
2016/04/30,6468
2016/05/01,6722
2016/05/02,7165
2016/05/03,7334
2016/05/04,7319
2016/05/05,7270
2016/05/06,7158
2016/05/07,6989
2016/05/08,6987
2016/05/09,7061
2016/05/10,7188
