Date,sentinusd14emaUSD
2016/01/01,259337
2016/01/02,258149
2016/01/03,272214
2016/01/04,255899
2016/01/05,356529
2016/01/06,343012
2016/01/07,343728
2016/01/08,323829
2016/01/09,310511
2016/01/10,289467
2016/01/11,321809
2016/01/12,434196
2016/01/13,440048
2016/01/14,431913
2016/01/15,530750
2016/01/16,554521
2016/01/17,541694
2016/01/18,898900
2016/01/19,1006132
2016/01/20,989243
2016/01/21,958073
2016/01/22,1016460
2016/01/23,1146594
2016/01/24,1542391
2016/01/25,1992720
2016/01/26,2224712
2016/01/27,2317625
2016/01/28,2314575
2016/01/29,2294682
2016/01/30,2321520
2016/01/31,2360541
2016/02/01,2223580
2016/02/02,2111822
2016/02/03,2031076
2016/02/04,1871787
2016/02/05,1816308
2016/02/06,1652420
2016/02/07,1753909
2016/02/08,2130077
2016/02/09,2575664
2016/02/10,3358857
2016/02/11,4093723
2016/02/12,5204158
2016/02/13,5369981
2016/02/14,5254344
2016/02/15,5087900
2016/02/16,5252739
2016/02/17,4964326
2016/02/18,4908559
2016/02/19,4550397
2016/02/20,4649402
2016/02/21,4311263
2016/02/22,4288039
2016/02/23,4890716
2016/02/24,5861964
2016/02/25,5852356
2016/02/26,8274800
2016/02/27,8973981
2016/02/28,8447176
2016/02/29,7929947
2016/03/01,8045596
2016/03/02,10802955
2016/03/03,11949607
2016/03/04,12221774
2016/03/05,14845849
2016/03/06,15255927
2016/03/07,15258936
2016/03/08,15972522
2016/03/09,15427688
2016/03/10,14700426
2016/03/11,14132064
2016/03/12,14876001
2016/03/13,16679889
2016/03/14,17385382
2016/03/15,17262974
2016/03/16,16928216
2016/03/17,17369204
2016/03/18,18259640
2016/03/19,16941259
2016/03/20,15440418
2016/03/21,14686473
2016/03/22,13788884
2016/03/23,12855965
2016/03/24,12591340
2016/03/25,11709388
2016/03/26,10629979
2016/03/27,10884064
2016/03/28,10616541
2016/03/29,11193342
2016/03/30,11849800
2016/03/31,11677431
2016/04/01,10712720
2016/04/02,9858885
2016/04/03,8879020
2016/04/04,8355527
2016/04/05,8226082
2016/04/06,7960615
2016/04/07,7901521
2016/04/08,7572171
2016/04/09,8237016
2016/04/10,8495980
2016/04/11,8068279
2016/04/12,8136970
2016/04/13,8233893
2016/04/14,8190154
2016/04/15,7754789
2016/04/16,7199313
2016/04/17,7256223
2016/04/18,7060251
2016/04/19,6611163
2016/04/20,6501993
2016/04/21,6169077
2016/04/22,6150347
2016/04/23,6412428
2016/04/24,5966634
2016/04/25,5911798
2016/04/26,6258378
2016/04/27,6216133
2016/04/28,6157538
2016/04/29,5941288
2016/04/30,8131153
2016/05/01,9097317
2016/05/02,10333970
2016/05/03,10766739
2016/05/04,10730327
2016/05/05,10706577
2016/05/06,11921740
2016/05/07,12222503
2016/05/08,12355599
2016/05/09,13259718
2016/05/10,14063553
2016/05/11,16130813
2016/05/12,18390813
2016/05/13,27392830
2016/05/14,31778792
2016/05/15,29563199
2016/05/16,27709038
2016/05/17,26082578
2016/05/18,25754538
2016/05/19,27261688
2016/05/20,27951909
2016/05/21,26036773
2016/05/22,23824525
2016/05/23,22994954
2016/05/24,22985176
2016/05/25,22759158
2016/05/26,21850498
2016/05/27,22880234
2016/05/28,23175224
2016/05/29,21701482
2016/05/30,20487885
2016/05/31,19562095
2016/06/01,18412284
2016/06/02,16877725
2016/06/03,15766472
2016/06/04,14509556
2016/06/05,13407671
2016/06/06,12506129
2016/06/07,12711608
2016/06/08,15168275
2016/06/09,14031633
2016/06/10,13837900
2016/06/11,12962738
2016/06/12,13386789
2016/06/13,14214388
2016/06/14,15744383
2016/06/15,15887788
2016/06/16,17615815
2016/06/17,24984005
2016/06/18,30477914
2016/06/19,29359961
2016/06/20,29529967
2016/06/21,28442589
2016/06/22,28553053
2016/06/23,27826366
2016/06/24,26190777
2016/06/25,25073796
2016/06/26,22886083
2016/06/27,21040562
2016/06/28,20955906
2016/06/29,20215456
2016/06/30,18960228
2016/07/01,17822574
2016/07/02,16186195
2016/07/03,14840790
2016/07/04,14662236
2016/07/05,17726733
2016/07/06,16859557
2016/07/07,15931777
2016/07/08,14767034
2016/07/09,13662306
2016/07/10,12802030
2016/07/11,12229820
2016/07/12,11812917
2016/07/13,11548445
2016/07/14,11379206
2016/07/15,16054785
2016/07/16,15139277
2016/07/17,14268945
2016/07/18,16685832
2016/07/19,29109178
2016/07/20,47861966
2016/07/21,44387111
2016/07/22,43927076
2016/07/23,43125794
2016/07/24,60227339
2016/07/25,69618397
2016/07/26,95912231
2016/07/27,104132832
2016/07/28,103210394
2016/07/29,98478435
2016/07/30,91696059
2016/07/31,85342886
2016/08/01,82364613
2016/08/02,85192733
2016/08/03,85029064
2016/08/04,78949872
2016/08/05,74538633
2016/08/06,67184856
2016/08/07,61278521
2016/08/08,56215024
2016/08/09,53648451
2016/08/10,54323108
2016/08/11,53227929
2016/08/12,49745488
2016/08/13,46218565
2016/08/14,42515614
2016/08/15,38979991
2016/08/16,35169400
2016/08/17,33064080
2016/08/18,30374115
2016/08/19,27793711
2016/08/20,26379344
2016/08/21,28112472
2016/08/22,27700947
2016/08/23,30621845
2016/08/24,28013389
2016/08/25,25656220
2016/08/26,25186614
2016/08/27,23270205
2016/08/28,21389249
2016/08/29,20280233
2016/08/30,18847534
2016/08/31,17986521
2016/09/01,18802713
2016/09/02,19118135
2016/09/03,18554026
2016/09/04,18388534
2016/09/05,17204911
2016/09/06,16402966
2016/09/07,15577683
