Date,sentinusd14momUSD
2016/01/01,109304
2016/01/02,42605
2016/01/03,174315
2016/01/04,-62307
2016/01/05,795881
2016/01/06,129064
2016/01/07,239084
2016/01/08,134514
2016/01/09,98475
2016/01/10,85251
2016/01/11,153615
2016/01/12,920288
2016/01/13,284604
2016/01/14,7199
2016/01/15,842554
2016/01/16,458610
2016/01/17,94680
2016/01/18,3070886
2016/01/19,692513
2016/01/20,624323
2016/01/21,407082
2016/01/22,1201483
2016/01/23,1768520
2016/01/24,3962395
2016/01/25,4387829
2016/01/26,2567946
2016/01/27,2443472
2016/01/28,1915719
2016/01/29,992191
2016/01/30,1786925
2016/01/31,2155858
2016/02/01,-1887401
2016/02/02,-317740
2016/02/03,626755
2016/02/04,80943
2016/02/05,59725
2016/02/06,-1405316
2016/02/07,-1701487
2016/02/08,-344690
2016/02/09,1739318
2016/02/10,5528054
2016/02/11,6575597
2016/02/12,10256610
2016/02/13,3951868
2016/02/14,1888522
2016/02/15,2672686
2016/02/16,4938786
2016/02/17,1583423
2016/02/18,3709660
2016/02/19,766650
2016/02/20,4705782
2016/02/21,-300229
2016/02/22,-438083
2016/02/23,3336141
2016/02/24,3725461
2016/02/25,-3080444
2016/02/26,11598695
2016/02/27,7070826
2016/02/28,520246
2016/02/29,561940
2016/03/01,2473124
2016/03/02,25636146
2016/03/03,14856769
2016/03/04,11768520
2016/03/05,26609404
2016/03/06,15808072
2016/03/07,11141409
2016/03/08,11802713
2016/03/09,-288801
2016/03/10,4183311
2016/03/11,-13582974
2016/03/12,6192935
2016/03/13,23382220
2016/03/14,17403123
2016/03/15,7670014
2016/03/16,-13973503
2016/03/17,832782
2016/03/18,10056610
2016/03/19,-23530552
2016/03/20,-12236481
2016/03/21,-5492659
2016/03/22,-12656275
2016/03/23,-5094286
2016/03/24,898063
2016/03/25,-4461009
2016/03/26,-16097772
2016/03/27,-15869547
2016/03/28,-13093444
2016/03/29,-1524775
2016/03/30,1364486
2016/03/31,-9678587
2016/04/01,-19605380
2016/04/02,-4062822
2016/04/03,-3175055
2016/04/04,-4833009
2016/04/05,-569866
2016/04/06,-556911
2016/04/07,-3353871
2016/04/08,-545306
2016/04/09,8944691
2016/04/10,-2356373
2016/04/11,-3589418
2016/04/12,-6359085
2016/04/13,-7252885
2016/04/14,-2651184
2016/04/15,482827
2016/04/16,-720248
2016/04/17,5116245
