Date,sentinusd14stdUSD
2016/01/01,198090
2016/01/02,199644
2016/01/03,215247
2016/01/04,218081
2016/01/05,465065
2016/01/06,458347
2016/01/07,449464
2016/01/08,434332
2016/01/09,425508
2016/01/10,413546
2016/01/11,427181
2016/01/12,601762
2016/01/13,592196
2016/01/14,592053
2016/01/15,705290
2016/01/16,702774
2016/01/17,698835
2016/01/18,1532020
2016/01/19,1607201
2016/01/20,1580317
2016/01/21,1558647
2016/01/22,1534999
2016/01/23,1567681
2016/01/24,2131606
2016/01/25,2755106
2016/01/26,2932982
2016/01/27,2875691
2016/01/28,2727814
2016/01/29,2672335
2016/01/30,2536192
2016/01/31,2306875
2016/02/01,2346352
2016/02/02,2378032
2016/02/03,2286918
2016/02/04,2270589
2016/02/05,2263181
2016/02/06,2445997
2016/02/07,2235528
2016/02/08,2119304
2016/02/09,2617560
2016/02/10,4117640
2016/02/11,5192441
2016/02/12,7005359
2016/02/13,7076532
2016/02/14,7024628
2016/02/15,6833992
2016/02/16,6663248
2016/02/17,6483870
2016/02/18,6078530
2016/02/19,5954226
2016/02/20,5357894
2016/02/21,5411143
2016/02/22,5439371
2016/02/23,5688948
2016/02/24,6456161
2016/02/25,6266371
2016/02/26,10887044
2016/02/27,11439701
2016/02/28,11407983
2016/02/29,11366359
2016/03/01,11379606
2016/03/02,15498035
2016/03/03,16083207
2016/03/04,15521051
2016/03/05,18423101
2016/03/06,17514010
2016/03/07,16601691
2016/03/08,16457557
2016/03/09,16476580
2016/03/10,15879278
2016/03/11,15483653
2016/03/12,15625672
2016/03/13,15749658
2016/03/14,14219947
2016/03/15,13239499
2016/03/16,12240068
2016/03/17,12273820
2016/03/18,12401839
2016/03/19,11176436
2016/03/20,12618577
2016/03/21,13052075
2016/03/22,13366022
2016/03/23,13947556
2016/03/24,13869641
2016/03/25,14437978
2016/03/26,15098683
2016/03/27,12529346
2016/03/28,11332761
2016/03/29,11153790
2016/03/30,11304957
2016/03/31,10113831
2016/04/01,7196831
2016/04/02,7597289
2016/04/03,8120905
2016/04/04,8285600
2016/04/05,8295128
2016/04/06,8325782
2016/04/07,8184223
2016/04/08,8224701
2016/04/09,8209332
2016/04/10,7960637
2016/04/11,8098018
2016/04/12,7154648
2016/04/13,5454211
2016/04/14,5129558
2016/04/15,5069982
2016/04/16,5187490
2016/04/17,4600115
2016/04/18,4501868
2016/04/19,4863793
2016/04/20,4889300
2016/04/21,5109031
2016/04/22,5074791
2016/04/23,4037677
2016/04/24,3819316
2016/04/25,3808596
2016/04/26,3794559
2016/04/27,3437765
2016/04/28,3225176
2016/04/29,3254588
2016/04/30,9101427
2016/05/01,10095970
2016/05/02,11483016
2016/05/03,11462273
2016/05/04,11332852
2016/05/05,10935649
2016/05/06,11820553
2016/05/07,11830565
2016/05/08,10935540
2016/05/09,10878951
2016/05/10,11026515
2016/05/11,12811199
2016/05/12,14526867
2016/05/13,37008134
2016/05/14,41627339
2016/05/15,41643079
2016/05/16,41806540
2016/05/17,41658047
2016/05/18,40815899
2016/05/19,40080753
2016/05/20,39810035
2016/05/21,39876252
2016/05/22,40362149
2016/05/23,40479704
2016/05/24,40269319
2016/05/25,40485642
2016/05/26,40930888
2016/05/27,25307240
2016/05/28,15192757
2016/05/29,15605266
2016/05/30,15971011
2016/05/31,16181766
2016/06/01,16787505
2016/06/02,14897804
2016/06/03,12980103
2016/06/04,13829738
2016/06/05,14300606
2016/06/06,14829346
2016/06/07,14019305
2016/06/08,16302199
2016/06/09,16726460
2016/06/10,14186623
2016/06/11,12493941
2016/06/12,12755784
2016/06/13,13434570
2016/06/14,15200115
2016/06/15,15299648
2016/06/16,16824323
2016/06/17,33953224
2016/06/18,40721120
2016/06/19,39591242
2016/06/20,38365306
2016/06/21,37869903
2016/06/22,37823738
2016/06/23,36226679
2016/06/24,35894324
2016/06/25,34518968
2016/06/26,35515180
2016/06/27,36665216
2016/06/28,36849084
2016/06/29,36971679
2016/06/30,37903451
2016/07/01,28223495
2016/07/02,14936483
2016/07/03,15679243
2016/07/04,13436540
2016/07/05,17664494
2016/07/06,16157404
2016/07/07,15607963
2016/07/08,15917285
2016/07/09,16032283
2016/07/10,16143969
2016/07/11,16176173
2016/07/12,15567839
2016/07/13,15418375
2016/07/14,15422281
2016/07/15,23912165
2016/07/16,23638476
2016/07/17,23440145
2016/07/18,25287184
2016/07/19,54273930
2016/07/20,93690876
2016/07/21,93095928
2016/07/22,92079967
2016/07/23,90708808
2016/07/24,112065504
2016/07/25,117008209
2016/07/26,155407955
2016/07/27,156027799
2016/07/28,150179948
2016/07/29,148692268
2016/07/30,143630829
2016/07/31,138455494
2016/08/01,135060663
2016/08/02,134993317
2016/08/03,129716382
2016/08/04,127154140
2016/08/05,126562068
2016/08/06,129359323
2016/08/07,127092475
2016/08/08,128094354
2016/08/09,74392071
2016/08/10,51633789
2016/08/11,45739989
2016/08/12,46073379
2016/08/13,47697961
2016/08/14,49708303
2016/08/15,50389181
2016/08/16,38426562
2016/08/17,26988399
2016/08/18,27539667
2016/08/19,26623585
2016/08/20,26772872
2016/08/21,27807680
2016/08/22,27778883
2016/08/23,29905869
2016/08/24,25033332
2016/08/25,22382108
2016/08/26,22126297
2016/08/27,22595164
2016/08/28,23221759
2016/08/29,23374141
2016/08/30,23465770
2016/08/31,23675867
2016/09/01,23673581
2016/09/02,23280397
2016/09/03,23379551
2016/09/04,20611853
2016/09/05,20628613
2016/09/06,9834646
2016/09/07,9917340
2016/09/08,9838262
2016/09/09,9380462
2016/09/10,9744839
2016/09/11,9648995
2016/09/12,9726885
2016/09/13,9568917
2016/09/14,9820535
2016/09/15,8071451
2016/09/16,10545717
2016/09/17,10505345
2016/09/18,10976249
2016/09/19,10877860
2016/09/20,22373309
2016/09/21,30382727
2016/09/22,30547300
2016/09/23,30182125
2016/09/24,29439387
2016/09/25,29301162
2016/09/26,28684372
2016/09/27,28348928
2016/09/28,27553233
2016/09/29,25750230
2016/09/30,26798862
2016/10/01,26683486
2016/10/02,26533768
2016/10/03,27165822
2016/10/04,24493901
2016/10/05,16433806
2016/10/06,16592726
2016/10/07,16203344
2016/10/08,16379952
2016/10/09,16185080
2016/10/10,17594299
2016/10/11,18130322
2016/10/12,17708224
2016/10/13,17268768
2016/10/14,18318476
2016/10/15,17999909
2016/10/16,17830376
2016/10/17,16818494
2016/10/18,17546248
2016/10/19,17647207
2016/10/20,18223555
2016/10/21,19011738
2016/10/22,20157951
2016/10/23,20670714
2016/10/24,20302174
2016/10/25,19581010
2016/10/26,17881536
2016/10/27,17965055
2016/10/28,15481069
2016/10/29,15821478
2016/10/30,16790726
2016/10/31,16289434
2016/11/01,14555296
2016/11/02,22478643
2016/11/03,52265731
2016/11/04,51862070
2016/11/05,51555445
2016/11/06,51508082
2016/11/07,51581446
2016/11/08,51985669
2016/11/09,51530258
2016/11/10,51513785
2016/11/11,51910161
2016/11/12,52280554
2016/11/13,52666932
2016/11/14,53323813
2016/11/15,53573803
2016/11/16,52013587
2016/11/17,19330609
2016/11/18,19419527
2016/11/19,19513595
2016/11/20,19459125
2016/11/21,19528101
2016/11/22,20036482
2016/11/23,20285271
2016/11/24,20516683
2016/11/25,15626295
2016/11/26,16013544
2016/11/27,16356842
2016/11/28,16172069
2016/11/29,16157252
2016/11/30,16194876
2016/12/01,12120541
2016/12/02,14492168
2016/12/03,19501974
2016/12/04,19009261
2016/12/05,19299803
2016/12/06,23321158
2016/12/07,23056117
2016/12/08,22589126
2016/12/09,22549865
2016/12/10,21928799
2016/12/11,20935290
2016/12/12,20640501
2016/12/13,20840818
2016/12/14,20999351
2016/12/15,20235881
2016/12/16,20377981
2016/12/17,17698344
2016/12/18,17504465
2016/12/19,17259437
2016/12/20,9952034
2016/12/21,9710983
2016/12/22,10708477
2016/12/23,19129341
2016/12/24,18939516
2016/12/25,19537732
2016/12/26,19903451
2016/12/27,19823265
2016/12/28,19509638
2016/12/29,22088431
2016/12/30,22084589
2016/12/31,27320350
2017/01/01,27432415
2017/01/02,26780053
2017/01/03,28216290
2017/01/04,40303958
2017/01/05,49179559
2017/01/06,53190653
2017/01/07,52252260
2017/01/08,50126139
2017/01/09,46753453
2017/01/10,43387503
2017/01/11,41371093
2017/01/12,41108376
2017/01/13,41558294
2017/01/14,45673663
2017/01/15,47539067
2017/01/16,49985195
2017/01/17,51708918
2017/01/18,48139719
2017/01/19,40571607
2017/01/20,31931455
2017/01/21,31338878
2017/01/22,32006601
2017/01/23,29758117
2017/01/24,25842822
2017/01/25,20216497
2017/01/26,12331197
2017/01/27,10439145
2017/01/28,10687874
2017/01/29,10349178
2017/01/30,10393514
2017/01/31,10198923
2017/02/01,10201404
2017/02/02,10219496
2017/02/03,5617812
2017/02/04,7284853
2017/02/05,7451655
2017/02/06,7656857
2017/02/07,7538787
2017/02/08,7461218
2017/02/09,7527163
2017/02/10,7925791
2017/02/11,7130514
2017/02/12,6698946
2017/02/13,5643672
2017/02/14,15691956
2017/02/15,24663902
2017/02/16,25032944
2017/02/17,25758447
2017/02/18,26117330
2017/02/19,25159854
2017/02/20,24956180
2017/02/21,26754029
2017/02/22,25794353
2017/02/23,24656019
2017/02/24,30007284
2017/02/25,27388174
2017/02/26,25691991
2017/02/27,52676198
2017/02/28,85066027
2017/03/01,108335750
2017/03/02,164689485
2017/03/03,201947895
2017/03/04,203187422
2017/03/05,198305044
2017/03/06,207683700
2017/03/07,200977058
2017/03/08,189116857
2017/03/09,176836036
2017/03/10,165365935
2017/03/11,149555049
2017/03/12,195796410
2017/03/13,223714053
2017/03/14,218744787
2017/03/15,213816058
2017/03/16,551297128
2017/03/17,584595398
2017/03/18,635065580
2017/03/19,631304599
2017/03/20,632108846
2017/03/21,620194933
2017/03/22,602701820
2017/03/23,589347513
2017/03/24,582676988
2017/03/25,570394064
2017/03/26,571558598
2017/03/27,571082006
2017/03/28,540639104
2017/03/29,508119764
2017/03/30,395093250
2017/03/31,394871809
2017/04/01,351087907
2017/04/02,306022791
2017/04/03,266421541
2017/04/04,297736799
2017/04/05,288936393
2017/04/06,286777980
2017/04/07,353502557
2017/04/08,386591047
2017/04/09,411537404
2017/04/10,423862713
2017/04/11,434214341
2017/04/12,436316831
2017/04/13,392705357
2017/04/14,369284538
2017/04/15,394606493
2017/04/16,384176207
2017/04/17,335379302
2017/04/18,338309289
2017/04/19,326518334
2017/04/20,252604860
2017/04/21,249645263
2017/04/22,249430857
2017/04/23,248986023
2017/04/24,253448359
2017/04/25,254565420
2017/04/26,284380456
2017/04/27,390092866
2017/04/28,486069951
2017/04/29,535741175
2017/04/30,586177975
2017/05/01,860648320
2017/05/02,948878596
2017/05/03,1052485148
2017/05/04,1168551962
2017/05/05,1262988842
2017/05/06,1197294093
2017/05/07,1146609351
2017/05/08,1061764965
2017/05/09,916152757
2017/05/10,775302957
2017/05/11,713699691
2017/05/12,615733550
2017/05/13,567285190
2017/05/14,584171437
2017/05/15,570349800
2017/05/16,585269692
2017/05/17,625617468
2017/05/18,709064600
2017/05/19,633808013
2017/05/20,652461069
2017/05/21,636625117
2017/05/22,1572853417
2017/05/23,1648757340
2017/05/24,1751513187
2017/05/25,1824305912
2017/05/26,1887131779
2017/05/27,1832604328
2017/05/28,1772222873
2017/05/29,1750589316
2017/05/30,1757418587
2017/05/31,2281044633
2017/06/01,2193992259
2017/06/02,2180677070
2017/06/03,2016507032
2017/06/04,1904186542
2017/06/05,1889869754
2017/06/06,2176709452
2017/06/07,2288287946
2017/06/08,2290134755
2017/06/09,2309968030
2017/06/10,2106906678
2017/06/11,1807650958
2017/06/12,3250493977
2017/06/13,3627257822
2017/06/14,3621088045
2017/06/15,3708554841
2017/06/16,3691531928
2017/06/17,3658418312
2017/06/18,3637189898
2017/06/19,3657217146
2017/06/20,3657257436
2017/06/21,4023968342
2017/06/22,4162098458
2017/06/23,4230627112
2017/06/24,4205222437
2017/06/25,4600675171
2017/06/26,3762832113
2017/06/27,3048576380
2017/06/28,2993685207
2017/06/29,2441104435
2017/06/30,1808568178
2017/07/01,1820188531
2017/07/02,1901686563
2017/07/03,2746299075
2017/07/04,2822948747
2017/07/05,2831646523
2017/07/06,2867407725
2017/07/07,2895603312
2017/07/08,2946632279
2017/07/09,3014321824
2017/07/10,3024384197
2017/07/11,3030395235
2017/07/12,3030972215
2017/07/13,3145303990
2017/07/14,3312466116
2017/07/15,3373452573
2017/07/16,3312470713
2017/07/17,2712420307
2017/07/18,2653880573
2017/07/19,2745290613
2017/07/20,2719949038
2017/07/21,2692398814
2017/07/22,2873671496
2017/07/23,2685856330
2017/07/24,2634382383
2017/07/25,2571521504
2017/07/26,2455753873
2017/07/27,2446178638
2017/07/28,2436081631
2017/07/29,2424621844
2017/07/30,2506958567
2017/07/31,2763760940
2017/08/01,2764276116
2017/08/02,2729746266
2017/08/03,2782137163
2017/08/04,2732985040
2017/08/05,2560789477
2017/08/06,2473203326
2017/08/07,2306978884
2017/08/08,2041921890
2017/08/09,1989351420
2017/08/10,2873390010
2017/08/11,6359520930
2017/08/12,6875403200
2017/08/13,7309528734
2017/08/14,7291860290
2017/08/15,7142474848
2017/08/16,6950703983
2017/08/17,6685441783
2017/08/18,6388077928
2017/08/19,6223729177
2017/08/20,6122563545
2017/08/21,5958867672
2017/08/22,5900594883
2017/08/23,5811172425
2017/08/24,5880258455
2017/08/25,3771056319
2017/08/26,3502330936
2017/08/27,2760416509
2017/08/28,3629505135
2017/08/29,3938266282
2017/08/30,6054215926
2017/08/31,6067712762
2017/09/01,6064088400
2017/09/02,5966460251
2017/09/03,5883149828
2017/09/04,5817645835
2017/09/05,5718316101
2017/09/06,5650387120
2017/09/07,5651116308
2017/09/08,5564271607
2017/09/09,5053919554
2017/09/10,5091351798
2017/09/11,4766276111
2017/09/12,4692764762
2017/09/13,1946653996
2017/09/14,1795910612
2017/09/15,1605024026
2017/09/16,1855936904
2017/09/17,1954008493
2017/09/18,1975734368
2017/09/19,1955257631
2017/09/20,1982208694
2017/09/21,2123765786
2017/09/22,2297428052
2017/09/23,2122235069
2017/09/24,2112768424
2017/09/25,2057745643
2017/09/26,1920630439
2017/09/27,1920364328
2017/09/28,1870645914
2017/09/29,1751011336
2017/09/30,1807512037
2017/10/01,1943062696
2017/10/02,1280782698
2017/10/03,2359098722
2017/10/04,2532246680
2017/10/05,2530914656
2017/10/06,2514513716
2017/10/07,2496779932
2017/10/08,2446478486
2017/10/09,2437867450
2017/10/10,2435968463
2017/10/11,2431379643
2017/10/12,2437899316
2017/10/13,2533173396
2017/10/14,2441883701
2017/10/15,2207067807
2017/10/16,2148574441
2017/10/17,1240106049
2017/10/18,1259085768
2017/10/19,1271488126
2017/10/20,1249250718
2017/10/21,1126143433
2017/10/22,1109438370
2017/10/23,1105872562
2017/10/24,1120426052
2017/10/25,1114390850
2017/10/26,1152260104
2017/10/27,1983436222
2017/10/28,2536078364
2017/10/29,2928740543
2017/10/30,3232057279
2017/10/31,3399278724
2017/11/01,3348981128
2017/11/02,3454089675
2017/11/03,3480209732
2017/11/04,3452380427
2017/11/05,3441431312
2017/11/06,3369372572
2017/11/07,3243785500
2017/11/08,3284727297
2017/11/09,3815850147
2017/11/10,3714880060
2017/11/11,3475766829
2017/11/12,3308006642
2017/11/13,2783376789
2017/11/14,2009328450
2017/11/15,2219108561
2017/11/16,2283249231
2017/11/17,2369692166
2017/11/18,2232354171
2017/11/19,2019165586
2017/11/20,2066382115
2017/11/21,1835273367
2017/11/22,1803167895
2017/11/23,1907504835
2017/11/24,1916722132
2017/11/25,2161408181
2017/11/26,2354258216
2017/11/27,2844199521
2017/11/28,3732656695
2017/11/29,4980454949
2017/11/30,5292204936
2017/12/01,5220845743
2017/12/02,5004429594
2017/12/03,4628208717
2017/12/04,4432285773
2017/12/05,4745769826
2017/12/06,4721658031
2017/12/07,5047796195
2017/12/08,5406237764
2017/12/09,6055469965
2017/12/10,6636500544
2017/12/11,7007670477
2017/12/12,6645910126
2017/12/13,5787391866
2017/12/14,5344363273
2017/12/15,5092855273
2017/12/16,4559769038
2017/12/17,3997285963
2017/12/18,3409166878
2017/12/19,3889365363
2017/12/20,4557411114
2017/12/21,5057111701
2017/12/22,5127864964
2017/12/23,4683861026
2017/12/24,4236493509
2017/12/25,3870947403
2017/12/26,3895143272
2017/12/27,3892526286
