Date,sentinusd30rsiUSD
2016/01/01,49.281
2016/01/02,48.677
2016/01/03,49.579
2016/01/04,47.934
2016/01/05,54.257
2016/01/06,48.869
2016/01/07,49.509
2016/01/08,48.472
2016/01/09,48.685
2016/01/10,48.187
2016/01/11,50.949
2016/01/12,55.08
2016/01/13,50.322
2016/01/14,49.682
2016/01/15,54.486
2016/01/16,51.512
2016/01/17,49.988
2016/01/18,62.603
2016/01/19,54.754
2016/01/20,51.153
2016/01/21,50.634
2016/01/22,53.171
2016/01/23,55.38
2016/01/24,61.982
2016/01/25,64.067
2016/01/26,59.119
2016/01/27,56.059
2016/01/28,53.831
2016/01/29,53.378
2016/01/30,54.393
2016/01/31,54.757
2016/02/01,50.259
2016/02/02,50.43
2016/02/03,50.837
2016/02/04,48.555
2016/02/05,50.672
2016/02/06,47.817
2016/02/07,53.516
2016/02/08,58.998
2016/02/09,60.974
2016/02/10,66.515
2016/02/11,67.196
2016/02/12,72.142
2016/02/13,57.148
2016/02/14,53.409
2016/02/15,52.502
2016/02/16,56.102
2016/02/17,50.569
2016/02/18,52.74
2016/02/19,49.175
2016/02/20,53.474
2016/02/21,49.031
2016/02/22,51.675
2016/02/23,57
2016/02/24,60.265
2016/02/25,52.452
2016/02/26,65.618
2016/02/27,56.324
2016/02/28,50.355
2016/02/29,50.061
2016/03/01,52.715
2016/03/02,62.444
2016/03/03,56.789
2016/03/04,53.86
2016/03/05,60.785
2016/03/06,54.215
2016/03/07,53.093
2016/03/08,55.035
2016/03/09,51.43
2016/03/10,50.677
2016/03/11,50.858
2016/03/12,54.315
2016/03/13,57.233
2016/03/14,54.565
2016/03/15,52.403
2016/03/16,51.742
2016/03/17,53.674
2016/03/18,54.971
2016/03/19,49.122
2016/03/20,48.213
2016/03/21,49.684
2016/03/22,49.04
2016/03/23,48.627
2016/03/24,50.153
2016/03/25,48.369
2016/03/26,47.525
2016/03/27,50.874
2016/03/28,49.533
2016/03/29,51.715
2016/03/30,52.13
2016/03/31,50.026
2016/04/01,47.83
2016/04/02,47.783
2016/04/03,47.132
2016/04/04,48.124
2016/04/05,49.108
2016/04/06,48.657
2016/04/07,49.196
2016/04/08,48.342
2016/04/09,51.327
2016/04/10,50.323
2016/04/11,48.313
2016/04/12,49.713
2016/04/13,49.832
2016/04/14,49.417
2016/04/15,48.125
2016/04/16,47.549
2016/04/17,49.441
2016/04/18,48.615
2016/04/19,47.676
2016/04/20,48.703
2016/04/21,47.876
2016/04/22,48.893
2016/04/23,49.936
2016/04/24,47.511
2016/04/25,48.779
2016/04/26,50.256
2016/04/27,48.985
2016/04/28,48.903
2016/04/29,48.274
2016/04/30,56.583
2016/05/01,53.123
2016/05/02,54.36
2016/05/03,52.084
2016/05/04,50.671
2016/05/05,50.698
2016/05/06,54.65
2016/05/07,52.023
2016/05/08,51.588
2016/05/09,54.045
2016/05/10,54.107
2016/05/11,58.061
2016/05/12,59.3
2016/05/13,72.118
2016/05/14,62.278
2016/05/15,49.877
2016/05/16,49.99
2016/05/17,49.956
2016/05/18,51.858
2016/05/19,54.801
2016/05/20,53.635
2016/05/21,49.213
2016/05/22,48.308
2016/05/23,50.175
2016/05/24,51.36
2016/05/25,50.975
2016/05/26,49.713
2016/05/27,52.796
2016/05/28,51.718
2016/05/29,48.737
2016/05/30,48.849
2016/05/31,49.078
2016/06/01,48.46
2016/06/02,47.504
2016/06/03,47.936
2016/06/04,47.393
2016/06/05,47.37
2016/06/06,47.485
2016/06/07,49.6
2016/06/08,54.022
2016/06/09,47.803
2016/06/10,49.267
2016/06/11,48.022
2016/06/12,50.199
2016/06/13,51.025
2016/06/14,52.465
2016/06/15,50.241
2016/06/16,53.034
2016/06/17,61.266
2016/06/18,59.624
2016/06/19,50.408
2016/06/20,51.898
2016/06/21,50.206
2016/06/22,51.598
2016/06/23,50.458
2016/06/24,49.087
2016/06/25,49.511
2016/06/26,47.838
2016/06/27,47.913
2016/06/28,50.149
2016/06/29,49.187
2016/06/30,48.306
2016/07/01,48.233
2016/07/02,47.273
2016/07/03,47.394
2016/07/04,49.038
2016/07/05,53.897
2016/07/06,48.646
2016/07/07,48.402
2016/07/08,47.894
2016/07/09,47.756
2016/07/10,47.914
2016/07/11,48.202
2016/07/12,48.336
2016/07/13,48.506
2016/07/14,48.614
2016/07/15,56.256
2016/07/16,48.56
2016/07/17,48.454
2016/07/18,52.851
2016/07/19,63.377
2016/07/20,68.925
2016/07/21,49.688
2016/07/22,51.499
2016/07/23,51.198
2016/07/24,61.486
2016/07/25,57.65
2016/07/26,65.167
2016/07/27,56.799
2016/07/28,52.916
2016/07/29,51.148
2016/07/30,49.971
2016/07/31,49.761
2016/08/01,50.896
2016/08/02,53.236
2016/08/03,51.997
2016/08/04,49.302
2016/08/05,49.691
2016/08/06,48.116
2016/08/07,48.34
2016/08/08,48.367
2016/08/09,49.281
2016/08/10,50.717
2016/08/11,49.871
2016/08/12,48.606
2016/08/13,48.351
2016/08/14,48.02
2016/08/15,47.849
2016/08/16,47.449
2016/08/17,48.168
2016/08/18,47.68
2016/08/19,47.537
2016/08/20,48.069
2016/08/21,49.962
2016/08/22,48.773
2016/08/23,50.846
2016/08/24,47.713
2016/08/25,47.656
2016/08/26,48.691
2016/08/27,47.754
2016/08/28,47.616
2016/08/29,47.985
2016/08/30,47.671
2016/08/31,47.955
2016/09/01,49.129
2016/09/02,48.843
2016/09/03,48.223
2016/09/04,48.484
2016/09/05,47.683
2016/09/06,47.875
2016/09/07,47.77
2016/09/08,48.626
2016/09/09,47.572
2016/09/10,47.548
2016/09/11,47.837
2016/09/12,47.957
2016/09/13,48.03
2016/09/14,47.706
2016/09/15,47.496
2016/09/16,50.396
2016/09/17,48.015
2016/09/18,49.408
2016/09/19,48.311
2016/09/20,53.387
2016/09/21,54.039
2016/09/22,49.876
2016/09/23,50.191
2016/09/24,48.928
2016/09/25,50.871
2016/09/26,49.105
2016/09/27,48.598
2016/09/28,51.022
2016/09/29,50.306
2016/09/30,48.243
2016/10/01,48.086
2016/10/02,49.886
2016/10/03,47.81
2016/10/04,47.996
2016/10/05,48.631
2016/10/06,48.386
2016/10/07,48.369
2016/10/08,48.531
2016/10/09,51.419
2016/10/10,51.259
2016/10/11,50.753
2016/10/12,51.332
2016/10/13,48.268
2016/10/14,51.332
2016/10/15,48.599
2016/10/16,49.44
2016/10/17,49.875
2016/10/18,52.03
2016/10/19,48.495
2016/10/20,47.868
2016/10/21,47.672
2016/10/22,47.45
2016/10/23,47.314
2016/10/24,47.783
2016/10/25,48.686
2016/10/26,48.334
2016/10/27,48.307
2016/10/28,49.614
2016/10/29,50.11
2016/10/30,51.256
2016/10/31,48.908
2016/11/01,52.127
2016/11/02,54.898
2016/11/03,63.335
2016/11/04,48.737
2016/11/05,48.305
2016/11/06,47.827
2016/11/07,48.007
2016/11/08,48.055
2016/11/09,50.048
2016/11/10,48.589
2016/11/11,52.361
2016/11/12,48.884
2016/11/13,48.908
2016/11/14,47.958
2016/11/15,48.662
2016/11/16,48.744
2016/11/17,51.656
2016/11/18,48.723
2016/11/19,48.434
2016/11/20,48.143
2016/11/21,48.174
2016/11/22,50.982
2016/11/23,50.739
2016/11/24,48.421
2016/11/25,49.364
2016/11/26,48.249
2016/11/27,48.234
2016/11/28,48.322
2016/11/29,48.954
2016/11/30,48.817
2016/12/01,48.62
2016/12/02,51.618
2016/12/03,53.475
2016/12/04,49.264
2016/12/05,51.38
2016/12/06,53.826
2016/12/07,50.045
2016/12/08,50.396
2016/12/09,50.374
2016/12/10,48.885
2016/12/11,49.577
2016/12/12,48.443
2016/12/13,48.515
2016/12/14,48.436
2016/12/15,49.884
2016/12/16,48.866
2016/12/17,51.113
2016/12/18,49.891
2016/12/19,48.782
2016/12/20,48.768
2016/12/21,49.816
2016/12/22,51.553
2016/12/23,55.097
2016/12/24,49.797
2016/12/25,48.228
2016/12/26,47.958
2016/12/27,48.716
2016/12/28,50.634
2016/12/29,53.388
2016/12/30,51.536
2016/12/31,55.298
2017/01/01,49.338
2017/01/02,50.628
2017/01/03,53.712
2017/01/04,58.442
2017/01/05,58.745
2017/01/06,57.015
2017/01/07,52.27
2017/01/08,49.79
2017/01/09,52.505
2017/01/10,52.721
2017/01/11,52.518
2017/01/12,52.068
2017/01/13,49.306
2017/01/14,47.306
2017/01/15,46.868
2017/01/16,47.178
2017/01/17,48.375
2017/01/18,47.428
2017/01/19,47.647
2017/01/20,50.46
2017/01/21,47.785
2017/01/22,47.852
2017/01/23,47.686
2017/01/24,47.523
2017/01/25,47.792
2017/01/26,48.021
2017/01/27,47.936
2017/01/28,47.181
2017/01/29,47.721
2017/01/30,47.398
2017/01/31,48.633
2017/02/01,48.631
2017/02/02,48.548
2017/02/03,49.501
2017/02/04,49.98
2017/02/05,47.599
2017/02/06,49.139
2017/02/07,48.948
2017/02/08,48.737
2017/02/09,49.042
2017/02/10,49.809
2017/02/11,48.073
2017/02/12,48.843
2017/02/13,48.819
2017/02/14,55.373
2017/02/15,57.474
2017/02/16,52.049
2017/02/17,52.551
2017/02/18,51.971
2017/02/19,51.874
2017/02/20,52.157
2017/02/21,55.57
2017/02/22,52.383
2017/02/23,52.174
2017/02/24,58.446
2017/02/25,53.232
2017/02/26,55.005
2017/02/27,65.583
2017/02/28,69.556
2017/03/01,70.372
2017/03/02,78.012
2017/03/03,78.549
2017/03/04,62.741
2017/03/05,59.104
2017/03/06,66.4
2017/03/07,57.898
2017/03/08,58.084
2017/03/09,61.013
2017/03/10,60.119
2017/03/11,63.497
2017/03/12,71.526
2017/03/13,69.665
2017/03/14,53.758
2017/03/15,54.273
2017/03/16,75.547
2017/03/17,60.52
2017/03/18,63.089
2017/03/19,49.841
2017/03/20,51.04
2017/03/21,54.888
2017/03/22,53.446
2017/03/23,53.607
2017/03/24,56.913
2017/03/25,54.925
2017/03/26,52.961
2017/03/27,53.917
2017/03/28,53.801
2017/03/29,55.748
2017/03/30,58.476
2017/03/31,55.637
2017/04/01,51.868
2017/04/02,55.242
2017/04/03,55.482
2017/04/04,49.871
2017/04/05,52.22
2017/04/06,54.575
2017/04/07,48.087
2017/04/08,49.008
2017/04/09,48.964
2017/04/10,49.87
2017/04/11,49.881
2017/04/12,49.602
2017/04/13,48.774
2017/04/14,49.537
2017/04/15,47.363
2017/04/16,46.346
2017/04/17,46.748
2017/04/18,50.863
2017/04/19,51.703
2017/04/20,52.347
2017/04/21,50.213
2017/04/22,49.638
2017/04/23,49.668
2017/04/24,50.894
2017/04/25,50.381
2017/04/26,52.959
2017/04/27,56.694
2017/04/28,57.665
2017/04/29,57.887
2017/04/30,59.982
2017/05/01,67.031
2017/05/02,61.572
2017/05/03,63.156
2017/05/04,64.766
