Date,sentinusd3trxUSD
2016/01/01,13.151
2016/01/02,5.706
2016/01/03,6.492
2016/01/04,-2.748
2016/01/05,30.55
2016/01/06,11.214
2016/01/07,1.999
2016/01/08,-6.585
2016/01/09,-9.864
2016/01/10,-12.837
2016/01/11,1.951
2016/01/12,37.929
2016/01/13,18.628
2016/01/14,3.849
2016/01/15,16.041
2016/01/16,10.383
2016/01/17,0.388
2016/01/18,46.594
2016/01/19,28.984
2016/01/20,7.133
2016/01/21,-4.01
2016/01/22,-2.599
2016/01/23,5.975
2016/01/24,29.548
2016/01/25,36.475
2016/01/26,21.718
2016/01/27,8.513
2016/01/28,-0.528
2016/01/29,-5.161
2016/01/30,-5.311
2016/01/31,-3.651
2016/02/01,-7.98
2016/02/02,-10.45
2016/02/03,-10.138
2016/02/04,-12.709
2016/02/05,-9.58
2016/02/06,-12.468
2016/02/07,1.907
2016/02/08,30.96
2016/02/09,39.124
2016/02/10,44.049
2016/02/11,34.122
2016/02/12,31.823
2016/02/13,12.489
2016/02/14,-0.599
2016/02/15,-7.431
2016/02/16,-5.767
2016/02/17,-9.211
2016/02/18,-8.194
2016/02/19,-11.477
2016/02/20,-5.297
2016/02/21,-8.363
2016/02/22,-4.79
2016/02/23,13.842
2016/02/24,29.999
2016/02/25,13.318
2016/02/26,38.301
2016/02/27,22.466
2016/02/28,1.818
2016/02/29,-8.563
2016/03/01,-7.913
2016/03/02,21.286
2016/03/03,20.453
2016/03/04,8.922
2016/03/05,17.112
2016/03/06,8.441
2016/03/07,0.652
2016/03/08,0.302
2016/03/09,-4.709
2016/03/10,-8.862
2016/03/11,-10.13
2016/03/12,-1.866
2016/03/13,11.721
2016/03/14,10.868
2016/03/15,3.665
2016/03/16,-1.776
2016/03/17,-0.538
2016/03/18,3.569
2016/03/19,-4.843
2016/03/20,-12.252
2016/03/21,-12.888
2016/03/22,-12.639
2016/03/23,-12.482
2016/03/24,-6.648
2016/03/25,-7.562
2016/03/26,-11.758
2016/03/27,-0.439
2016/03/28,2.577
2016/03/29,11.569
2016/03/30,15.399
2016/03/31,7.034
2016/04/01,-5.109
2016/04/02,-11.781
2016/04/03,-16.815
2016/04/04,-15.374
2016/04/05,-7.209
2016/04/06,-2.479
2016/04/07,2.274
2016/04/08,0.056
2016/04/09,12.344
2016/04/10,12.46
2016/04/11,1.565
2016/04/12,0.461
2016/04/13,1.331
2016/04/14,0.354
2016/04/15,-4.938
2016/04/16,-10.041
2016/04/17,-5.165
2016/04/18,-3.56
2016/04/19,-6.908
2016/04/20,-4.519
2016/04/21,-5.708
2016/04/22,-1.641
2016/04/23,6.408
2016/04/24,-1.724
2016/04/25,-1.807
2016/04/26,6.163
2016/04/27,4.226
2016/04/28,1.354
2016/04/29,-2.856
2016/04/30,32.741
2016/05/01,27.667
2016/05/02,21.533
2016/05/03,10.275
2016/05/04,1.076
2016/05/05,-3.276
2016/05/06,4.104
2016/05/07,3.328
2016/05/08,0.73
2016/05/09,4.357
2016/05/10,6.253
2016/05/11,14.102
2016/05/12,17.54
2016/05/13,46.238
2016/05/14,30.329
2016/05/15,3.709
2016/05/16,-8.392
2016/05/17,-13.656
2016/05/18,-12.137
2016/05/19,-2.954
2016/05/20,1.745
2016/05/21,-5.139
2016/05/22,-11.777
2016/05/23,-10.919
2016/05/24,-4.903
2016/05/25,-1.038
2016/05/26,-2.611
2016/05/27,4.801
2016/05/28,5.938
2016/05/29,-2.581
2016/05/30,-7.453
2016/05/31,-8.554
2016/06/01,-9.632
2016/06/02,-12.551
2016/06/03,-12.422
2016/06/04,-12.94
2016/06/05,-12.539
2016/06/06,-10.558
2016/06/07,2.87
2016/06/08,35.375
2016/06/09,10.619
2016/06/10,2.605
2016/06/11,-5.287
2016/06/12,-0.4
2016/06/13,7.355
2016/06/14,15.528
2016/06/15,8.59
2016/06/16,12.111
2016/06/17,41.172
2016/06/18,35.524
2016/06/19,8.767
2016/06/20,-0.818
2016/06/21,-7.239
2016/06/22,-7.238
2016/06/23,-7.792
2016/06/24,-10.492
2016/06/25,-10.674
2016/06/26,-13.987
2016/06/27,-15.659
2016/06/28,-7.602
2016/06/29,-3.619
2016/06/30,-5.404
2016/07/01,-7.026
2016/07/02,-11.562
2016/07/03,-13.526
2016/07/04,-4.82
2016/07/05,31.989
2016/07/06,13.427
2016/07/07,0.238
2016/07/08,-8.019
2016/07/09,-12.293
2016/07/10,-12.804
2016/07/11,-9.903
2016/07/12,-5.739
2016/07/13,-1.567
2016/07/14,1.387
2016/07/15,51.432
2016/07/16,16.829
2016/07/17,-0.541
2016/07/18,10.275
2016/07/19,70.036
2016/07/20,82.214
2016/07/21,17.783
2016/07/22,-0.025
2016/07/23,-7.152
2016/07/24,17.99
2016/07/25,20.654
2016/07/26,35.224
2016/07/27,19.057
2016/07/28,3.506
2016/07/29,-6.436
2016/07/30,-12.834
2016/07/31,-16.026
2016/08/01,-14.249
2016/08/02,-4.79
2016/08/03,-0.425
2016/08/04,-5.985
2016/08/05,-8.814
2016/08/06,-14.143
2016/08/07,-16.539
2016/08/08,-16.502
2016/08/09,-10.647
2016/08/10,2.793
2016/08/11,5.91
2016/08/12,-0.86
2016/08/13,-6.403
2016/08/14,-10.446
2016/08/15,-12.819
2016/08/16,-15.53
2016/08/17,-11.918
2016/08/18,-10.874
2016/08/19,-11.058
2016/08/20,-5.985
2016/08/21,15.81
2016/08/22,13.532
2016/08/23,22.8
2016/08/24,3.22
2016/08/25,-7.974
2016/08/26,-7.111
2016/08/27,-10.213
2016/08/28,-12.97
2016/08/29,-11.045
2016/08/30,-10.675
2016/08/31,-7.334
2016/09/01,7.048
2016/09/02,11.309
2016/09/03,4.969
2016/09/04,2.387
2016/09/05,-4.571
2016/09/06,-7.108
2016/09/07,-8.098
2016/09/08,-1.167
2016/09/09,-4.741
2016/09/10,-7.907
2016/09/11,-6.652
2016/09/12,-3.496
2016/09/13,-0.467
2016/09/14,-1.822
2016/09/15,-4.77
2016/09/16,19.298
2016/09/17,8.72
2016/09/18,9.966
2016/09/19,2.68
2016/09/20,31.137
2016/09/21,38.471
2016/09/22,14.377
2016/09/23,3.524
2016/09/24,-4.957
2016/09/25,-2.695
2016/09/26,-5.512
2016/09/27,-9.056
2016/09/28,-1.382
2016/09/29,1.951
2016/09/30,-5.153
2016/10/01,-10.479
2016/10/02,-5.167
2016/10/03,-9.367
2016/10/04,-11.809
2016/10/05,-8.785
2016/10/06,-6.518
2016/10/07,-4.803
2016/10/08,-2.456
2016/10/09,17.376
2016/10/10,22.429
2016/10/11,16.083
2016/10/12,12.366
2016/10/13,-0.826
2016/10/14,2.099
2016/10/15,-4.04
2016/10/16,-5.167
2016/10/17,-3.013
2016/10/18,7.036
2016/10/19,-0.952
2016/10/20,-9.106
2016/10/21,-14.108
2016/10/22,-17.048
2016/10/23,-18.466
2016/10/24,-15.402
2016/10/25,-4.863
2016/10/26,0.561
2016/10/27,2.071
2016/10/28,10.534
2016/10/29,15.907
2016/10/30,20.452
2016/10/31,7.991
2016/11/01,13.486
2016/11/02,25.35
2016/11/03,56.623
2016/11/04,12.937
2016/11/05,-6.471
2016/11/06,-16.539
2016/11/07,-21.163
2016/11/08,-22.563
2016/11/09,-12.772
2016/11/10,-9.68
2016/11/11,14.136
2016/11/12,5.226
2016/11/13,-2.37
2016/11/14,-11.001
2016/11/15,-11.908
2016/11/16,-9.638
2016/11/17,13.567
2016/11/18,5.019
2016/11/19,-4.252
2016/11/20,-10.737
2016/11/21,-13.417
2016/11/22,7.463
2016/11/23,17.941
2016/11/24,3.13
2016/11/25,-0.543
2016/11/26,-7.71
2016/11/27,-11.766
2016/11/28,-12.427
2016/11/29,-6.725
2016/11/30,-2.518
2016/12/01,-1.809
2016/12/02,21.442
2016/12/03,39.971
2016/12/04,13.828
2016/12/05,9.903
2016/12/06,18.258
2016/12/07,6.12
2016/12/08,-0.22
2016/12/09,-2.909
2016/12/10,-8.378
2016/12/11,-8.945
2016/12/12,-11.965
2016/12/13,-13.154
2016/12/14,-12.964
2016/12/15,-4.121
2016/12/16,-2.612
2016/12/17,9.691
2016/12/18,8.497
2016/12/19,0.196
2016/12/20,-4.616
2016/12/21,-1.651
2016/12/22,9.37
2016/12/23,29.902
2016/12/24,11.611
2016/12/25,-4.346
2016/12/26,-13.222
2016/12/27,-14.588
2016/12/28,-4.635
2016/12/29,17.208
2016/12/30,16.101
2016/12/31,25.257
2017/01/01,5.929
2017/01/02,-0.754
2017/01/03,6.771
2017/01/04,26.774
2017/01/05,28.738
2017/01/06,18.915
2017/01/07,4.608
2017/01/08,-6.368
2017/01/09,-6.955
2017/01/10,-4.683
2017/01/11,-2.804
2017/01/12,-2.347
2017/01/13,-7.222
2017/01/14,-14.438
2017/01/15,-19.987
2017/01/16,-22.214
2017/01/17,-17.904
2017/01/18,-15.911
2017/01/19,-13.021
2017/01/20,6.497
2017/01/21,1.667
2017/01/22,-3.415
2017/01/23,-6.769
2017/01/24,-8.811
2017/01/25,-7.453
2017/01/26,-3.9
2017/01/27,-1.743
2017/01/28,-5.775
2017/01/29,-4.865
2017/01/30,-5.435
2017/01/31,3.108
2017/02/01,8.032
2017/02/02,7.894
2017/02/03,11.286
2017/02/04,13.371
2017/02/05,1.291
2017/02/06,0.602
2017/02/07,0.588
2017/02/08,-0.277
2017/02/09,0.38
2017/02/10,3.722
2017/02/11,-1.347
2017/02/12,-2.013
2017/02/13,-1.661
2017/02/14,24.972
2017/02/15,38.57
2017/02/16,18.778
2017/02/17,8.755
2017/02/18,2.825
2017/02/19,-0.149
2017/02/20,-0.798
2017/02/21,5.723
2017/02/22,3.627
2017/02/23,0.911
2017/02/24,11.316
2017/02/25,7.301
2017/02/26,6.271
2017/02/27,27.843
2017/02/28,39.351
2017/03/01,32.627
2017/03/02,37.291
2017/03/03,30.261
2017/03/04,13.136
2017/03/05,2.285
2017/03/06,4.552
2017/03/07,0.802
2017/03/08,-1.599
2017/03/09,0.549
2017/03/10,1.509
2017/03/11,5.373
2017/03/12,18.094
2017/03/13,18.757
2017/03/14,3.941
2017/03/15,-3.675
2017/03/16,31.159
2017/03/17,23.299
2017/03/18,17.684
2017/03/19,-1.164
2017/03/20,-9.575
2017/03/21,-6.84
2017/03/22,-4.788
2017/03/23,-2.967
2017/03/24,4.604
2017/03/25,5.22
2017/03/26,1.074
2017/03/27,0.029
2017/03/28,-0.303
2017/03/29,2.907
2017/03/30,9.224
2017/03/31,7.206
2017/04/01,-0.232
2017/04/02,0.661
2017/04/03,2.37
2017/04/04,-4.464
2017/04/05,-5.089
2017/04/06,0.084
2017/04/07,-7.355
2017/04/08,-10.974
2017/04/09,-11.884
2017/04/10,-8.906
2017/04/11,-5.456
2017/04/12,-3.578
2017/04/13,-4.61
2017/04/14,-3.102
2017/04/15,-7.751
2017/04/16,-13.921
2017/04/17,-16.159
2017/04/18,0.597
2017/04/19,16.427
2017/04/20,21.068
2017/04/21,11.455
2017/04/22,3.546
2017/04/23,-0.352
2017/04/24,1.039
2017/04/25,1.071
2017/04/26,6.817
2017/04/27,18.011
2017/04/28,21.089
2017/04/29,17.632
2017/04/30,16.021
2017/05/01,24.446
2017/05/02,17.817
2017/05/03,13.359
2017/05/04,11.404
2017/05/05,10.584
2017/05/06,2.998
2017/05/07,1.713
2017/05/08,0.668
2017/05/09,-0.56
2017/05/10,-1.218
2017/05/11,1.342
2017/05/12,0
2017/05/13,-4.366
2017/05/14,-7.025
2017/05/15,-4.248
2017/05/16,1.99
2017/05/17,-0.559
2017/05/18,-5.804
2017/05/19,-1.378
2017/05/20,-1.752
2017/05/21,2.254
2017/05/22,27.472
2017/05/23,19.34
2017/05/24,12.557
2017/05/25,7.512
2017/05/26,4.798
2017/05/27,-2.132
2017/05/28,-6.563
2017/05/29,-7.226
2017/05/30,-2.812
2017/05/31,16.07
2017/06/01,14.517
2017/06/02,9.301
2017/06/03,4.612
2017/06/04,1.451
2017/06/05,3.207
2017/06/06,7.725
2017/06/07,6.933
2017/06/08,2.919
2017/06/09,1.242
2017/06/10,-2.195
2017/06/11,-1.599
2017/06/12,16.269
2017/06/13,18.148
2017/06/14,6.704
2017/06/15,3.77
2017/06/16,1.842
2017/06/17,-4.546
2017/06/18,-8.578
2017/06/19,-8.707
2017/06/20,-4.189
2017/06/21,-9.005
2017/06/22,-10.3
2017/06/23,-7.717
2017/06/24,-3.684
2017/06/25,-9.491
2017/06/26,-7.628
2017/06/27,-4.037
2017/06/28,-0.459
2017/06/29,3.033
2017/06/30,2.026
2017/07/01,-1.305
2017/07/02,-5.43
2017/07/03,15.437
2017/07/04,18.463
2017/07/05,2.017
2017/07/06,-5.939
2017/07/07,-8.653
2017/07/08,-10.682
2017/07/09,-15.087
2017/07/10,-9.713
2017/07/11,-2.771
2017/07/12,2.054
2017/07/13,14.511
2017/07/14,19.31
2017/07/15,14.819
2017/07/16,8.081
2017/07/17,3.662
2017/07/18,5.774
2017/07/19,6.05
2017/07/20,3.107
2017/07/21,1.602
2017/07/22,-9.111
2017/07/23,-14.271
2017/07/24,-5.028
2017/07/25,4.27
2017/07/26,4.041
2017/07/27,3.822
2017/07/28,5.015
2017/07/29,2.931
2017/07/30,-2.802
2017/07/31,-9.349
2017/08/01,-11.475
2017/08/02,-11.488
2017/08/03,-11.438
2017/08/04,-10.172
2017/08/05,-5.892
2017/08/06,-1.75
2017/08/07,2.613
2017/08/08,7.069
2017/08/09,9.25
2017/08/10,26.523
2017/08/11,54.444
2017/08/12,29.768
2017/08/13,15.944
2017/08/14,5.835
2017/08/15,-1.83
2017/08/16,-7.047
2017/08/17,-8.973
2017/08/18,-8.653
2017/08/19,-9.892
2017/08/20,-11.183
2017/08/21,-8.443
2017/08/22,-6.425
2017/08/23,-2.871
2017/08/24,-1.488
2017/08/25,-2.133
2017/08/26,-7.91
2017/08/27,5.744
2017/08/28,24.222
2017/08/29,19.579
2017/08/30,26.231
2017/08/31,10.25
2017/09/01,0.809
2017/09/02,-5.223
2017/09/03,-9.768
2017/09/04,-8.836
2017/09/05,-7.231
2017/09/06,-4.108
2017/09/07,-5.352
2017/09/08,-5.106
2017/09/09,0.274
2017/09/10,1.209
2017/09/11,-0.508
2017/09/12,-1.271
2017/09/13,-6.328
2017/09/14,-6.09
2017/09/15,-3.296
2017/09/16,-5.995
2017/09/17,-6.324
2017/09/18,2.438
2017/09/19,4.081
2017/09/20,-1.46
2017/09/21,-5.523
2017/09/22,-8.306
2017/09/23,-9.594
2017/09/24,-10.058
2017/09/25,-6.77
2017/09/26,-3.072
2017/09/27,0.28
2017/09/28,3.113
