Date,sentinusd3wmaUSD
2016/01/01,321510
2016/01/02,297398
2016/01/03,320402
2016/01/04,237875
2016/01/05,615870
2016/01/06,489424
2016/01/07,427679
2016/01/08,255897
2016/01/09,234866
2016/01/10,183403
2016/01/11,354231
2016/01/12,785145
2016/01/13,715952
2016/01/14,542999
2016/01/15,792620
2016/01/16,808754
2016/01/17,661037
2016/01/18,1881313
2016/01/19,2001534
2016/01/20,1544237
2016/01/21,954747
2016/01/22,1096386
2016/01/23,1587467
2016/01/24,2954354
2016/01/25,4163697
2016/01/26,4192127
2016/01/27,3524975
2016/01/28,2743340
2016/01/29,2334534
2016/01/30,2352234
2016/01/31,2499973
2016/02/01,1954053
2016/02/02,1572840
2016/02/03,1437134
2016/02/04,1151180
2016/02/05,1257689
2016/02/06,918208
2016/02/07,1645126
2016/02/08,3189971
2016/02/09,4663309
2016/02/10,6811326
2016/02/11,8163710
2016/02/12,10576047
2016/02/13,8842971
2016/02/14,6470958
2016/02/15,4578548
2016/02/16,5247882
2016/02/17,4320555
2016/02/18,4356948
2016/02/19,3141471
2016/02/20,4144926
2016/02/21,3191380
2016/02/22,3655150
2016/02/23,6135313
2016/02/24,9713090
2016/02/25,8421332
2016/02/26,15969490
2016/02/27,15731208
2016/02/28,11021139
2016/02/29,6211404
2016/03/01,6758466
2016/03/02,18056660
2016/03/03,20742903
2016/03/04,18250678
2016/03/05,23848596
2016/03/06,21926638
2016/03/07,18930113
2016/03/08,18385152
2016/03/09,15359829
2016/03/10,12383839
2016/03/11,10524307
2016/03/12,14997236
2016/03/13,22512732
2016/03/14,23739195
2016/03/15,20291550
2016/03/16,16527100
2016/03/17,17779795
2016/03/18,21227660
2016/03/19,15574320
2016/03/20,9640982
2016/03/21,8183198
2016/03/22,8186714
2016/03/23,7678484
2016/03/24,9025396
2016/03/25,7744109
2016/03/26,5611024
2016/03/27,8468533
2016/03/28,9219662
2016/03/29,12519756
2016/03/30,14518843
2016/03/31,13141201
2016/04/01,8426188
2016/04/02,5394685
2016/04/03,3431617
2016/04/04,4031204
2016/04/05,5761603
2016/04/06,6404572
2016/04/07,7067846
2016/04/08,6260680
2016/04/09,9342622
2016/04/10,10181026
2016/04/11,8130277
2016/04/12,7751012
2016/04/13,8174470
2016/04/14,8338133
2016/04/15,6575059
2016/04/16,4753639
2016/04/17,5830128
2016/04/18,6033381
2016/04/19,5045882
2016/04/20,5091296
2016/04/21,4548706
2016/04/22,5314739
2016/04/23,6735031
2016/04/24,5244574
2016/04/25,5153332
2016/04/26,6618858
2016/04/27,6733712
2016/04/28,6287374
2016/04/29,5183646
2016/04/30,13657303
2016/05/01,15899726
2016/05/02,18039447
2016/05/03,15476839
2016/05/04,12835440
2016/05/05,11037272
2016/05/06,15176492
2016/05/07,15454198
2016/05/08,14639567
2016/05/09,16338063
2016/05/10,18226526
2016/05/11,24402908
2016/05/12,29611155
2016/05/13,58907907
2016/05/14,64292556
2016/05/15,41994428
2016/05/16,22930368
2016/05/17,15501266
2016/05/18,19590835
2016/05/19,28988272
2016/05/20,32508940
2016/05/21,23783336
2016/05/22,14658309
2016/05/23,14214409
2016/05/24,18902544
2016/05/25,21219349
2016/05/26,18889055
2016/05/27,23649835
2016/05/28,25061536
2016/05/29,19354218
2016/05/30,14522582
2016/05/31,12992425
2016/06/01,12083992
2016/06/02,9355127
2016/06/03,8395779
2016/06/04,7168093
2016/06/05,6659797
2016/06/06,6461459
2016/06/07,10279885
2016/06/08,21358399
2016/06/09,16041803
2016/06/10,13693240
2016/06/11,8937214
2016/06/12,12592727
2016/06/13,16390296
2016/06/14,22066457
2016/06/15,20238707
2016/06/16,24312194
2016/06/17,48857936
2016/06/18,62194572
2016/06/19,45255614
2016/06/20,33713313
2016/06/21,24581197
2016/06/22,26866248
2016/06/23,24870910
2016/06/24,20359203
2016/06/25,17943676
2016/06/26,12864022
2016/06/27,10379891
2016/06/28,14662038
2016/06/29,16010591
2016/06/30,13935740
2016/07/01,11381415
2016/07/02,8051014
2016/07/03,6635712
2016/07/04,9707659
2016/07/05,24339471
2016/07/06,20410382
2016/07/07,14965903
2016/07/08,8768989
2016/07/09,7289724
2016/07/10,6965009
2016/07/11,7738901
2016/07/12,8590050
2016/07/13,9367446
2016/07/14,9933210
2016/07/15,28287639
2016/07/16,21789447
2016/07/17,15109724
2016/07/18,20599806
2016/07/19,67164293
2016/07/20,126897121
2016/07/21,85795459
2016/07/22,56027790
2016/07/23,36237772
2016/07/24,105155655
2016/07/25,128778842
2016/07/26,205529064
2016/07/27,189500799
2016/07/28,145599876
2016/07/29,92526323
2016/07/30,62581300
2016/07/31,49180618
2016/08/01,54120441
2016/08/02,80130911
2016/08/03,87008753
2016/08/04,64968553
2016/08/05,50072035
2016/08/06,31553701
2016/08/07,25549703
2016/08/08,22511147
2016/08/09,30064851
2016/08/10,45559812
2016/08/11,48785046
2016/08/12,38709298
2016/08/13,28368202
2016/08/14,21506008
2016/08/15,18030291
2016/08/16,13607498
2016/08/17,15823009
2016/08/18,14637932
2016/08/19,13036907
2016/08/20,14414896
2016/08/21,27254404
2016/08/22,28503278
2016/08/23,39708820
2016/08/24,26236110
2016/08/25,17121401
2016/08/26,16355033
2016/08/27,14507269
2016/08/28,11875060
2016/08/29,11392419
2016/08/30,10651877
2016/08/31,11551904
2016/09/01,17773125
2016/09/02,20685167
2016/09/03,18517778
2016/09/04,17146918
2016/09/05,13007843
2016/09/06,11651088
2016/09/07,10422006
2016/09/08,13952616
2016/09/09,11501083
2016/09/10,9473563
2016/09/11,8962108
2016/09/12,10124263
2016/09/13,11064389
2016/09/14,10145215
2016/09/15,8612942
2016/09/16,17821877
2016/09/17,15515471
2016/09/18,17986970
2016/09/19,14292838
2016/09/20,32514655
2016/09/21,46701550
2016/09/22,39394495
2016/09/23,31170907
2016/09/24,21923801
2016/09/25,26504667
2016/09/26,23038819
2016/09/27,19016418
2016/09/28,24580948
2016/09/29,27349642
2016/09/30,20763265
2016/10/01,14031195
2016/10/02,17458620
2016/10/03,13745948
2016/10/04,11339122
2016/10/05,11345250
2016/10/06,12141731
2016/10/07,12226877
2016/10/08,12406794
2016/10/09,22054588
2016/10/10,27941233
2016/10/11,29163485
2016/10/12,29771274
2016/10/13,21012136
2016/10/14,24948043
2016/10/15,19380476
2016/10/16,19366868
2016/10/17,19568701
2016/10/18,28280817
2016/10/19,22018885
2016/10/20,14661387
2016/10/21,8829599
2016/10/22,6979103
2016/10/23,5856329
2016/10/24,6629041
2016/10/25,9825346
2016/10/26,10900134
2016/10/27,10975998
2016/10/28,13970188
2016/10/29,17481956
2016/10/30,22431016
2016/10/31,18843995
2016/11/01,24341468
2016/11/02,36028878
2016/11/03,75009671
2016/11/04,50538790
2016/11/05,27232528
2016/11/06,8198471
2016/11/07,6964185
2016/11/08,6925585
2016/11/09,14388178
2016/11/10,13802259
2016/11/11,26746370
2016/11/12,21116479
2016/11/13,17081169
2016/11/14,9018226
2016/11/15,9107366
2016/11/16,9845353
2016/11/17,21405682
2016/11/18,17737213
2016/11/19,12961659
2016/11/20,7559745
2016/11/21,6580190
2016/11/22,15909602
2016/11/23,21532746
2016/11/24,16213129
2016/11/25,13764894
2016/11/26,9359213
2016/11/27,7794400
2016/11/28,6750069
2016/11/29,8820718
2016/11/30,9757359
2016/12/01,9518774
2016/12/02,17767231
2016/12/03,29234771
2016/12/04,23529241
2016/12/05,23810035
2016/12/06,32300390
2016/12/07,28089382
2016/12/08,24042749
2016/12/09,20777326
2016/12/10,16417099
2016/12/11,15369379
2016/12/12,11683363
2016/12/13,10244628
2016/12/14,8973477
2016/12/15,12921316
2016/12/16,12639513
2016/12/17,18353503
2016/12/18,18196063
2016/12/19,14914081
2016/12/20,11664502
2016/12/21,13335925
2016/12/22,19791090
2016/12/23,34029486
2016/12/24,28009163
2016/12/25,17122716
2016/12/26,8375791
2016/12/27,8339466
2016/12/28,14797859
2016/12/29,27219956
2016/12/30,29361699
2016/12/31,40618851
2017/01/01,28936482
2017/01/02,25155205
2017/01/03,32612607
2017/01/04,59830340
2017/01/05,77162537
2017/01/06,79038672
2017/01/07,60382623
2017/01/08,39212098
2017/01/09,38507057
2017/01/10,43364089
2017/01/11,46736035
2017/01/12,45020832
2017/01/13,34094514
2017/01/14,19684920
2017/01/15,9835107
2017/01/16,7263142
2017/01/17,11293006
2017/01/18,10908536
2017/01/19,10679298
2017/01/20,19082683
2017/01/21,16230668
2017/01/22,13382357
2017/01/23,9924553
2017/01/24,9086165
2017/01/25,9324011
2017/01/26,10315239
2017/01/27,10753395
2017/01/28,8587912
2017/01/29,8431266
2017/01/30,7724668
2017/01/31,10695212
2017/02/01,12458941
2017/02/02,13279393
2017/02/03,15394933
2017/02/04,17958572
2017/02/05,13708747
2017/02/06,13784397
2017/02/07,13769869
2017/02/08,14156307
2017/02/09,14334270
2017/02/10,16237315
2017/02/11,13765947
2017/02/12,13367412
2017/02/13,13108755
2017/02/14,28198617
2017/02/15,43357268
2017/02/16,40201145
2017/02/17,35511553
2017/02/18,31167672
2017/02/19,30508546
2017/02/20,30586427
2017/02/21,39192032
2017/02/22,38109253
2017/02/23,35866658
2017/02/24,50073759
2017/02/25,48992165
2017/02/26,51682028
2017/02/27,91626004
2017/02/28,142120773
2017/03/01,175149386
2017/03/02,248606416
2017/03/03,298088769
2017/03/04,264142841
2017/03/05,209499135
2017/03/06,241263238
2017/03/07,227344983
2017/03/08,216610210
2017/03/09,228617708
2017/03/10,241897558
2017/03/11,281959514
2017/03/12,414673701
2017/03/13,487470452
2017/03/14,371995061
2017/03/15,278541171
2017/03/16,753342600
2017/03/17,833747302
2017/03/18,918670098
2017/03/19,532770074
2017/03/20,365133184
2017/03/21,411790810
2017/03/22,471718103
2017/03/23,493153045
2017/03/24,607900718
2017/03/25,632038304
2017/03/26,569229460
2017/03/27,541841588
2017/03/28,540755852
2017/03/29,622502518
2017/03/30,778391355
2017/03/31,787952633
2017/04/01,640049968
2017/04/02,662575232
2017/04/03,721057423
2017/04/04,568465179
2017/04/05,531582248
2017/04/06,630247209
2017/04/07,458807896
2017/04/08,351662870
2017/04/09,285678539
2017/04/10,335767593
2017/04/11,360927580
2017/04/12,362626353
2017/04/13,322206403
2017/04/14,325377955
2017/04/15,247412161
2017/04/16,157840613
2017/04/17,115468240
2017/04/18,264115715
2017/04/19,404192161
2017/04/20,502878877
2017/04/21,452520422
2017/04/22,387202048
2017/04/23,347774974
2017/04/24,385226170
2017/04/25,397129962
2017/04/26,493215133
2017/04/27,699100553
