Date,sentinusd90rocUSD
2016/01/01,288.319
2016/01/02,33.65
2016/01/03,235.901
2016/01/04,-52.432
2016/01/05,415.046
2016/01/06,35.258
2016/01/07,136.964
2016/01/08,136.786
2016/01/09,133.324
2016/01/10,-10.983
2016/01/11,111.55
2016/01/12,106.349
2016/01/13,10.943
2016/01/14,92.068
2016/01/15,793.341
2016/01/16,630.405
2016/01/17,77.884
2016/01/18,1211
2016/01/19,450.754
2016/01/20,211.863
2016/01/21,78.792
2016/01/22,2456
2016/01/23,1124
2016/01/24,799.335
2016/01/25,218.903
2016/01/26,333.491
2016/01/27,427.043
2016/01/28,66.983
2016/01/29,713.773
2016/01/30,1701
2016/01/31,601.961
2016/02/01,125.198
2016/02/02,84.305
2016/02/03,369.216
2016/02/04,-0.7
2016/02/05,275.451
2016/02/06,-31.398
2016/02/07,146.745
2016/02/08,421.536
2016/02/09,2042
2016/02/10,3432
2016/02/11,2060
2016/02/12,4812
2016/02/13,3971
2016/02/14,1031
2016/02/15,264.594
2016/02/16,3147
2016/02/17,1052
2016/02/18,2425
2016/02/19,1649
2016/02/20,2031
2016/02/21,222.713
2016/02/22,1023
2016/02/23,5222
2016/02/24,1348
2016/02/25,869.939
2016/02/26,22007
2016/02/27,7903
2016/02/28,2348
2016/02/29,2251
2016/03/01,3430
2016/03/02,15868
2016/03/03,14006
2016/03/04,11391
2016/03/05,15469
2016/03/06,4793
2016/03/07,10722
2016/03/08,10495
2016/03/09,6620
2016/03/10,3557
2016/03/11,2124
2016/03/12,6177
2016/03/13,9195
2016/03/14,3953
2016/03/15,1026
2016/03/16,3374
2016/03/17,9043
2016/03/18,11471
2016/03/19,4322
2016/03/20,2580
2016/03/21,4457
2016/03/22,6209
2016/03/23,6114
2016/03/24,18027
2016/03/25,4663
2016/03/26,5259
2016/03/27,3213
2016/03/28,3532
2016/03/29,7623
2016/03/30,4234
2016/03/31,3093
2016/04/01,1674
2016/04/02,1085
2016/04/03,1575
2016/04/04,390.074
2016/04/05,2794
2016/04/06,1690
2016/04/07,3765
2016/04/08,2325
2016/04/09,8125
2016/04/10,1813
2016/04/11,354.036
2016/04/12,1695
2016/04/13,2239
2016/04/14,573.878
2016/04/15,594.592
2016/04/16,683.016
2016/04/17,136.783
2016/04/18,239.751
2016/04/19,319.81
2016/04/20,666.728
2016/04/21,186.906
2016/04/22,202.57
2016/04/23,97.225
2016/04/24,-37.621
2016/04/25,48.831
2016/04/26,191.322
2016/04/27,158.918
2016/04/28,166.774
2016/04/29,81.72
2016/04/30,755.538
2016/05/01,1053
2016/05/02,1226
2016/05/03,801.575
2016/05/04,1155
2016/05/05,624.89
2016/05/06,3276
2016/05/07,487.402
2016/05/08,188.967
2016/05/09,249.718
2016/05/10,128.277
2016/05/11,233.335
2016/05/12,166.309
2016/05/13,1232
2016/05/14,1239
2016/05/15,278.477
2016/05/16,147.573
2016/05/17,402.018
2016/05/18,419.62
2016/05/19,1568
2016/05/20,512.862
2016/05/21,542.976
2016/05/22,128.299
2016/05/23,99.847
2016/05/24,88.267
2016/05/25,267.709
2016/05/26,-33.623
2016/05/27,118.761
2016/05/28,399.561
2016/05/29,165.374
2016/05/30,43.22
2016/05/31,-52.849
2016/06/01,-43.624
2016/06/02,-50.66
2016/06/03,-73.22
2016/06/04,-64.626
2016/06/05,-59.123
2016/06/06,-67.754
2016/06/07,18.18
2016/06/08,212.202
2016/06/09,-36.351
2016/06/10,-36.187
2016/06/11,-74.391
2016/06/12,-26.526
2016/06/13,18.986
2016/06/14,74.138
2016/06/15,-16.88
2016/06/16,19.963
2016/06/17,770.51
2016/06/18,1064
2016/06/19,125.768
2016/06/20,285.125
2016/06/21,214.704
2016/06/22,169.251
2016/06/23,286.549
2016/06/24,330.554
2016/06/25,42.102
2016/06/26,-2.385
2016/06/27,-39.47
2016/06/28,26.611
2016/06/29,45.898
2016/06/30,143.157
2016/07/01,142.003
2016/07/02,121.114
2016/07/03,23.074
2016/07/04,82.833
2016/07/05,503.777
2016/07/06,49.292
2016/07/07,82.296
2016/07/08,-42.699
2016/07/09,-36.326
2016/07/10,36.345
2016/07/11,-0.851
2016/07/12,2.698
2016/07/13,24.33
2016/07/14,108.717
2016/07/15,1194
2016/07/16,20.487
2016/07/17,48.827
2016/07/18,777.431
2016/07/19,1797
2016/07/20,4138
2016/07/21,261.619
2016/07/22,404.4
2016/07/23,1136
2016/07/24,2985
2016/07/25,1435
2016/07/26,4391
2016/07/27,2628
2016/07/28,2043
2016/07/29,202.794
2016/07/30,209.615
2016/07/31,139.749
2016/08/01,363.969
2016/08/02,887.031
2016/08/03,695.713
2016/08/04,98.963
2016/08/05,223.511
2016/08/06,46.628
2016/08/07,19.601
2016/08/08,20.809
2016/08/09,25.019
2016/08/10,77.47
2016/08/11,-46.326
2016/08/12,-55.033
2016/08/13,53.633
2016/08/14,17.816
2016/08/15,3.145
2016/08/16,-55.971
2016/08/17,-47.705
2016/08/18,-60.265
2016/08/19,-18.893
2016/08/20,81.96
2016/08/21,123.703
2016/08/22,9.181
2016/08/23,133.009
2016/08/24,-30.643
2016/08/25,-65.054
2016/08/26,-11.79
2016/08/27,-10.795
2016/08/28,-27.275
2016/08/29,-3.491
2016/08/30,-12.831
2016/08/31,79.484
2016/09/01,182.185
2016/09/02,233.907
2016/09/03,138.372
2016/09/04,160.496
2016/09/05,-32.29
2016/09/06,-64.061
2016/09/07,53.735
2016/09/08,38.061
2016/09/09,10.256
2016/09/10,-51.611
2016/09/11,-48.743
2016/09/12,-57.378
2016/09/13,-31.738
2016/09/14,-68.849
2016/09/15,-89.835
2016/09/16,-58.135
2016/09/17,-54.337
2016/09/18,-34.677
2016/09/19,-44.412
2016/09/20,72.312
2016/09/21,141.604
2016/09/22,59.163
2016/09/23,52.84
2016/09/24,101.27
2016/09/25,257.183
2016/09/26,-8.23
2016/09/27,-4.042
2016/09/28,206.136
2016/09/29,165.907
2016/09/30,116.566
2016/10/01,77.291
2016/10/02,75.581
2016/10/03,-78.523
2016/10/04,-16.368
2016/10/05,38.752
2016/10/06,66.7
2016/10/07,83.242
2016/10/08,78.869
2016/10/09,270.747
2016/10/10,235.587
2016/10/11,179.202
2016/10/12,202.202
2016/10/13,-73.804
2016/10/14,242.06
2016/10/15,59.687
2016/10/16,-41.075
2016/10/17,-80.132
2016/10/18,-79.001
2016/10/19,-40.381
2016/10/20,-78.563
2016/10/21,-80.282
2016/10/22,-96.471
2016/10/23,-96.029
2016/10/24,-97.083
2016/10/25,-91.919
2016/10/26,-88.975
2016/10/27,-84.402
2016/10/28,-63.609
2016/10/29,-54.839
2016/10/30,-59.011
2016/10/31,-86.637
2016/11/01,-63.261
2016/11/02,18.877
2016/11/03,136.526
2016/11/04,-32.276
2016/11/05,-58.268
2016/11/06,-75.74
2016/11/07,-81.129
2016/11/08,-87.538
2016/11/09,-53.212
2016/11/10,-60.223
2016/11/11,67.912
2016/11/12,-31.892
2016/11/13,-20.31
2016/11/14,-48.568
2016/11/15,-46.341
2016/11/16,-14.852
2016/11/17,190.61
2016/11/18,-39.114
2016/11/19,-78.995
2016/11/20,-75.556
2016/11/21,-87.25
2016/11/22,131.167
2016/11/23,131.405
2016/11/24,-64.029
2016/11/25,31.781
2016/11/26,-28.361
2016/11/27,-50.561
2016/11/28,-26.547
2016/11/29,-12.686
2016/11/30,-58.652
2016/12/01,-58.494
2016/12/02,77.026
2016/12/03,119.324
2016/12/04,36.253
2016/12/05,135.233
2016/12/06,318.395
2016/12/07,8.926
2016/12/08,164.713
2016/12/09,170.055
2016/12/10,16.435
2016/12/11,45.317
2016/12/12,-22.821
2016/12/13,3.245
2016/12/14,18.899
2016/12/15,-39.09
2016/12/16,9.937
2016/12/17,18.366
2016/12/18,42.267
2016/12/19,-78.858
2016/12/20,-81.035
2016/12/21,-35.148
2016/12/22,-6.903
2016/12/23,162.63
2016/12/24,-47.282
2016/12/25,-59.297
2016/12/26,-59.451
