Date,sentinusd90smaUSD
2016/01/01,353588
2016/01/02,354289
2016/01/03,357126
2016/01/04,355291
2016/01/05,364340
2016/01/06,365079
2016/01/07,367316
2016/01/08,368565
2016/01/09,369987
2016/01/10,369777
2016/01/11,372894
2016/01/12,379564
2016/01/13,380088
2016/01/14,382107
2016/01/15,393683
2016/01/16,400483
2016/01/17,402712
2016/01/18,435770
2016/01/19,451257
2016/01/20,457896
2016/01/21,461595
2016/01/22,476499
2016/01/23,496828
2016/01/24,537467
2016/01/25,574991
2016/01/26,606897
2016/01/27,633200
2016/01/28,643428
2016/01/29,664531
2016/01/30,690724
2016/01/31,715632
2016/02/01,723869
2016/02/02,730910
2016/02/03,744079
2016/02/04,744013
2016/02/05,755880
2016/02/06,752894
2016/02/07,768843
2016/02/08,809931
2016/02/09,867892
2016/02/10,959119
2016/02/11,1053116
2016/02/12,1188328
2016/02/13,1258211
2016/02/14,1303818
2016/02/15,1336120
2016/02/16,1404225
2016/02/17,1435574
2016/02/18,1484085
2016/02/19,1507366
2016/02/20,1563417
2016/02/21,1579622
2016/02/22,1621498
2016/02/23,1717527
2016/02/24,1843464
2016/02/25,1901164
2016/02/26,2166853
2016/02/27,2315184
2016/02/28,2368714
2016/02/29,2417311
2016/03/01,2512290
2016/03/02,2829466
2016/03/03,3043525
2016/03/04,3197626
2016/03/05,3549820
2016/03/06,3744878
2016/03/07,3913070
2016/03/08,4139918
2016/03/09,4270022
2016/03/10,4377805
2016/03/11,4488565
2016/03/12,4704093
2016/03/13,5016311
2016/03/14,5254410
2016/03/15,5421133
2016/03/16,5580329
2016/03/17,5802711
2016/03/18,6067596
2016/03/19,6158512
2016/03/20,6219321
2016/03/21,6325666
2016/03/22,6412649
2016/03/23,6486901
2016/03/24,6607027
2016/03/25,6672040
2016/03/26,6711445
2016/03/27,6846525
2016/03/28,6942449
2016/03/29,7106328
2016/03/30,7281272
2016/03/31,7394898
2016/04/01,7441472
2016/04/02,7485309
2016/04/03,7511532
2016/04/04,7555334
2016/04/05,7634551
2016/04/06,7699959
2016/04/07,7781325
2016/04/08,7839185
2016/04/09,7977028
2016/04/10,8084219
2016/04/11,8130036
