Date,sentinusd90varUSD
2016/01/01,91814166900
2016/01/02,91624959019
2016/01/03,90945311412
2016/01/04,91399625405
2016/01/05,95808434350
2016/01/06,95597350903
2016/01/07,95067111480
2016/01/08,94493798537
2016/01/09,93898583133
2016/01/10,93985567185
2016/01/11,94112886853
2016/01/12,100627153139
2016/01/13,100705414286
2016/01/14,100330293668
2016/01/15,106450925426
2016/01/16,106532160098
2016/01/17,106337679741
2016/01/18,193206605801
2016/01/19,210635815387
2016/01/20,212310845276
2016/01/21,213267149332
2016/01/22,220905312156
2016/01/23,244933854007
2016/01/24,388728561886
2016/01/25,589484525825
2016/01/26,698344574936
2016/01/27,757151562895
2016/01/28,781620442890
2016/01/29,805330111245
2016/01/30,838838728767
2016/01/31,878199953395
2016/02/01,882201968120
2016/02/02,887006267486
2016/02/03,891644983826
2016/02/04,891632497660
2016/02/05,895708867505
2016/02/06,895905178460
2016/02/07,925730276873
2016/02/08,1084890377912
2016/02/09,1319611539955
2016/02/10,1945591717742
2016/02/11,2628831460250
2016/02/12,4039558775175
2016/02/13,4330248443841
2016/02/14,4436912209714
2016/02/15,4516533679144
2016/02/16,4773875165898
2016/02/17,4790117092696
2016/02/18,4877750333230
2016/02/19,4862802893047
2016/02/20,5001277105625
2016/02/21,4995203186925
2016/02/22,5049817986350
2016/02/23,5590903256029
2016/02/24,6781615617338
2016/02/25,6934070687771
2016/02/26,12264147272157
2016/02/27,13629608525712
2016/02/28,13658740867504
2016/02/29,13657586622781
2016/03/01,14048606454252
2016/03/02,21522535776011
2016/03/03,24448162186876
2016/03/04,25661165160838
2016/03/05,34592724654177
2016/03/06,36736988055694
2016/03/07,38042451602896
2016/03/08,40935300143667
2016/03/09,41410599803114
2016/03/10,41582849553521
2016/03/11,41808875446558
2016/03/12,44143685074081
2016/03/13,50072804700414
2016/03/14,52987735378220
2016/03/15,54197149463800
2016/03/16,54861868127655
2016/03/17,56879733877631
2016/03/18,60160332798489
2016/03/19,59827125032261
2016/03/20,59433039616179
2016/03/21,59162453718323
2016/03/22,58757314808353
2016/03/23,58311931462426
2016/03/24,58052139187342
2016/03/25,57585542836662
2016/03/26,57203232521980
2016/03/27,57116249222440
2016/03/28,56668577746853
2016/03/29,56846755133475
2016/03/30,57214314255611
2016/03/31,56783839454570
2016/04/01,56311399147385
2016/04/02,55861887603717
2016/04/03,55538375096262
2016/04/04,55139625559340
2016/04/05,54541532130924
2016/04/06,53969146388977
2016/04/07,53336984095336
2016/04/08,52760393819152
2016/04/09,52332389388804
2016/04/10,51758918569553
2016/04/11,51311686612239
2016/04/12,50655278740825
2016/04/13,49967860229773
2016/04/14,49397490476638
2016/04/15,48873257416110
2016/04/16,48425966113291
2016/04/17,48125239160220
2016/04/18,47689901066365
2016/04/19,47296447823336
2016/04/20,46697566124123
2016/04/21,46351633655749
