Date,sentinusdUSD
2016/01/01,330634
2016/01/02,250428
2016/01/03,363640
2016/01/04,149848
2016/01/05,1010627
2016/01/06,255146
2016/01/07,348385
2016/01/08,194488
2016/01/09,223945
2016/01/10,152679
2016/01/11,532027
2016/01/12,1164713
2016/01/13,478086
2016/01/14,379036
2016/01/15,1173188
2016/01/16,709038
2016/01/17,458320
2016/01/18,3220734
2016/01/19,1703140
2016/01/20,879469
2016/01/21,755467
2016/01/22,1395971
2016/01/23,1992465
2016/01/24,4115074
2016/01/25,4919856
2016/01/26,3732659
2016/01/27,2921558
2016/01/28,2294755
2016/01/29,2165378
2016/01/30,2495963
2016/01/31,2614177
2016/02/01,1333333
2016/02/02,1385400
2016/02/03,1506224
2016/02/04,836410
2016/02/05,1455696
2016/02/06,587148
2016/02/07,2413587
2016/02/08,4575167
2016/02/09,5471977
2016/02/10,8449612
2016/02/11,8870352
2016/02/12,12421989
2016/02/13,6447831
2016/02/14,4502700
2016/02/15,4006019
2016/02/16,6324186
2016/02/17,3089647
2016/02/18,4546070
2016/02/19,2222346
2016/02/20,5292931
2016/02/21,2113358
2016/02/22,4137084
2016/02/23,8808118
2016/02/24,12175073
2016/02/25,5789909
2016/02/26,24020684
2016/02/27,13518657
2016/02/28,5022946
2016/02/29,4567959
2016/03/01,8797310
2016/03/02,28725793
2016/03/03,19402840
2016/03/04,13990865
2016/03/05,31902335
2016/03/06,17921431
2016/03/07,15278493
2016/03/08,20610831
2016/03/09,11886272
2016/03/10,9973219
2016/03/11,10437709
2016/03/12,19711592
2016/03/13,28405166
2016/03/14,21971082
2016/03/15,16467323
2016/03/16,14752290
2016/03/17,20235622
2016/03/18,24047475
2016/03/19,8371783
2016/03/20,5684950
2016/03/21,9785835
2016/03/22,7954556
2016/03/23,6791986
2016/03/24,10871283
2016/03/25,5976700
2016/03/26,3613820
2016/03/27,12535619
2016/03/28,8877638
2016/03/29,14942548
2016/03/30,16116775
2016/03/31,10557035
2016/04/01,4442095
2016/04/02,4308961
2016/04/03,2509895
2016/04/04,4952825
2016/04/05,7384690
2016/04/06,6235075
2016/04/07,7517412
2016/04/08,5431395
2016/04/09,12558510
2016/04/10,10179246
2016/04/11,5288219
2016/04/12,8583463
2016/04/13,8863891
2016/04/14,7905850
2016/04/15,4924922
2016/04/16,3588713
2016/04/17,7626140
2016/04/18,5786431
2016/04/19,3692097
2016/04/20,5792383
2016/04/21,4005124
2016/04/22,6028601
2016/04/23,8115953
2016/04/24,3068979
2016/04/25,5555361
2016/04/26,8511150
2016/04/27,5941537
2016/04/28,5776672
2016/04/29,4535664
2016/04/30,22365273
2016/05/01,15377382
2016/05/02,18372215
2016/05/03,13579741
2016/05/04,10493648
2016/05/05,10552199
2016/05/06,19820303
2016/05/07,14177462
2016/05/08,13220725
2016/05/09,19136488
2016/05/10,19288484
2016/05/11,29567998
2016/05/12,33080816
2016/05/13,85905937
2016/05/14,60287549
2016/05/15,15161844
2016/05/16,15656991
2016/05/17,15510590
2016/05/18,23622280
2016/05/19,37058161
2016/05/20,32438345
2016/05/21,13588388
2016/05/22,9444911
2016/05/23,17602748
2016/05/24,22921619
2016/05/25,21290036
2016/05/26,15944212
2016/05/27,29573517
2016/05/28,25092657
2016/05/29,12122160
2016/05/30,12599505
2016/05/31,13544461
2016/06/01,10938509
2016/06/02,6903093
2016/06/03,8543326
2016/06/04,6339604
2016/06/05,6245415
2016/06/06,6646107
2016/06/07,14047226
2016/06/08,31136611
2016/06/09,6643458
2016/06/10,12578638
2016/06/11,7274184
2016/06/12,16143119
2016/06/13,19593784
2016/06/14,25689352
2016/06/15,16819918
2016/06/16,28847993
2016/06/17,72877236
2016/06/18,66188322
2016/06/19,22093268
2016/06/20,30635007
2016/06/21,21374632
2016/06/22,29271071
2016/06/23,23102896
2016/06/24,15559451
2016/06/25,17813419
2016/06/26,8665947
2016/06/27,9044677
2016/06/28,20405642
2016/06/29,15402527
2016/06/30,10801247
2016/07/01,10427823
2016/07/02,5549730
2016/07/03,6095662
2016/07/04,13501633
2016/07/05,37645965
2016/07/06,11222910
2016/07/07,9901211
2016/07/08,7196201
2016/07/09,6481576
2016/07/10,7210233
2016/07/11,8510454
2016/07/12,9103053
2016/07/13,9829372
2016/07/14,10279154
2016/07/15,46446051
2016/07/16,9188474
2016/07/17,8611782
2016/07/18,32395600
2016/07/19,109860926
2016/07/20,169755092
2016/07/21,21800549
2016/07/22,40936850
2016/07/23,37917462
2016/07/24,171387385
2016/07/25,130660273
2016/07/26,266822152
2016/07/27,157566739
2016/07/28,97214542
2016/07/29,67720705
2016/07/30,47610616
2016/07/31,44047258
2016/08/01,63005838
2016/08/02,103575511
2016/08/03,83965219
2016/08/04,39435122
2016/08/05,45865582
2016/08/06,19385307
2016/08/07,22887341
2016/08/08,23302297
2016/08/09,36965724
2016/08/10,58708375
2016/08/11,46109267
2016/08/12,27109625
2016/08/13,23293565
2016/08/14,18446432
2016/08/15,15998439
2016/08/16,10400560
2016/08/17,19379498
2016/08/18,12889345
2016/08/19,11021085
2016/08/20,17185955
2016/08/21,39377810
2016/08/22,25026031
2016/08/23,49607682
2016/08/24,11058422
2016/08/25,10334627
2016/08/26,22134173
2016/08/27,10813546
2016/08/28,9163032
2016/08/29,13071635
2016/08/30,9534986
2016/08/31,12389939
2016/09/01,24107962
2016/09/02,21168380
2016/09/03,14887316
2016/09/04,17312833
2016/09/05,9511360
2016/09/06,11190326
2016/09/07,10213342
2016/09/08,17366229
2016/09/09,8020233
2016/09/10,7811560
2016/09/11,10043099
2016/09/12,10949274
2016/09/13,11481561
2016/09/14,8986298
2016/09/15,7407832
2016/09/16,27709767
2016/09/17,10088486
2016/09/18,20011694
2016/09/19,11881718
2016/09/20,50437601
2016/09/21,55817461
2016/09/22,24764817
2016/09/23,27226116
2016/09/24,17441920
2016/09/25,32306016
2016/09/26,18726321
2016/09/27,14779949
2016/09/28,33066490
2016/09/29,27728307
2016/09/30,12018828
2016/10/01,10807070
2016/10/02,23706250
2016/10/03,8085372
2016/10/04,9385913
2016/10/05,13738100
2016/10/06,11996092
2016/10/07,11876992
2016/10/08,12896895
2016/10/09,31552248
2016/10/10,30548670
2016/10/11,27443774
2016/10/12,31063809
2016/10/13,12167141
2016/10/14,31430055
2016/10/15,13751868
2016/10/16,19089138
2016/10/17,21827353
2016/10/18,35647019
2016/10/19,12997307
2016/10/20,8775562
2016/10/21,7476388
2016/10/22,6048760
2016/10/23,5188022
2016/10/24,7783147
2016/10/25,12732586
2016/10/26,10717495
2016/10/27,10562805
2016/10/28,17326008
2016/10/29,19892306
2016/10/30,25825159
2016/10/31,13840450
2016/11/01,30847584
2016/11/02,46879217
2016/11/03,108484003
2016/11/04,13128506
2016/11/05,9551384
2016/11/06,5653185
2016/11/07,6975786
2016/11/08,7316250
2016/11/09,21573593
2016/11/10,10783372
2016/11/11,39112628
2016/11/12,12563416
2016/11/13,12749185
2016/11/14,5349189
2016/11/15,10398878
2016/11/16,10975056
2016/11/17,32028368
2016/11/18,10463829
2016/11/19,8271309
2016/11/20,6117340
2016/11/21,6325051
2016/11/22,25563390
2016/11/23,23914882
2016/11/24,7961874
2016/11/25,14250244
2016/11/26,6564306
2016/11/27,6462515
2016/11/28,7003693
2016/11/29,10818136
2016/11/30,9968063
2016/12/01,8786128
2016/12/02,26354356
2016/12/03,37971262
2016/12/04,12959522
2016/12/05,26323301
2016/12/06,42732072
2016/12/07,18916283
2016/12/08,21230619
2016/12/09,21095479
2016/12/10,11693671
2016/12/11,15911150
2016/12/12,8861402
2016/12/13,9277938
2016/12/14,8807862
2016/12/15,16878077
2016/12/16,11091020
2016/12/17,23686966
2016/12/18,16903809
2016/12/19,10663300
2016/12/20,10585535
2016/12/21,16060392
2016/12/22,25346740
2016/12/23,45807681
2016/12/24,17030958
2016/12/25,7622234
2016/12/26,5993107
2016/12/27,10142783
2016/12/28,20836161
2016/12/29,37168210
2016/12/30,26999205
2016/12/31,50848828
2017/01/01,14974010
2017/01/02,23378127
2017/01/03,44648459
2017/01/04,82102331
2017/01/05,84707366
2017/01/06,74238324
2017/01/07,43037241
2017/01/08,24986593
2017/01/09,46010639
2017/01/10,47725554
2017/01/11,46318155
2017/01/12,43254375
2017/01/13,23913392
2017/01/14,9009453
2017/01/15,5692781
2017/01/16,7727945
2017/01/17,15536456
2017/01/18,8883453
2017/01/19,10257475
2017/01/20,28365899
2017/01/21,10131579
2017/01/22,10555028
2017/01/23,9435227
2017/01/24,8363837
2017/01/25,9927054
2017/01/26,11224495
2017/01/27,10714776
2017/01/28,6291142
2017/01/29,9096845
2017/01/30,7287725
2017/01/31,13499660
2017/02/01,13488867
2017/02/02,13066322
2017/02/03,17582696
2017/02/04,19839905
2017/02/05,8329992
2017/02/06,15402165
2017/02/07,14494964
2017/02/08,13515250
2017/02/09,14826718
2017/02/10,18085067
2017/02/11,10532944
2017/02/12,13684505
2017/02/13,13583525
2017/02/14,42780048
2017/02/15,53666663
2017/02/16,30364498
2017/02/17,32891219
2017/02/18,30286364
2017/02/19,29862443
2017/02/20,31169105
2017/02/21,47650514
2017/02/22,34061796
2017/02/23,33141947
2017/02/24,66698955
2017/02/25,42471044
2017/02/26,52817042
2017/02/27,133883632
2017/02/28,177380110
2017/03/01,187417489
2017/03/02,313141135
2017/03/03,324944285
2017/03/04,207275781
2017/03/05,172499655
2017/03/06,298434780
2017/03/07,198233562
2017/03/08,201586452
2017/03/09,256766593
2017/03/10,245421903
2017/03/11,314715562
2017/03/12,537729726
2017/03/13,511549233
2017/03/14,223714057
2017/03/15,237423226
2017/03/16,1273831696
2017/03/17,739132398
2017/03/18,919974698
2017/03/19,205846216
2017/03/20,286377325
2017/03/21,564047998
2017/03/22,471945098
2017/03/23,483660024
2017/03/24,736046387
2017/03/25,612159009
2017/03/26,485004118
2017/03/27,556294095
2017/03/28,548980935
2017/03/29,693586381
2017/03/30,911398144
2017/03/31,737111043
2017/04/01,484893193
2017/04/02,756184654
2017/04/03,776360680
2017/04/04,367295021
2017/04/05,559514255
2017/04/06,765053241
2017/04/07,221075546
2017/04/08,300924297
2017/04/09,297049031
2017/04/10,373194399
2017/04/11,374042551
2017/04/12,351492872
2017/04/13,285403374
2017/04/14,343322704
2017/04/15,170808062
2017/04/16,87368283
2017/04/17,115754938
2017/04/18,421938710
2017/04/19,488506870
2017/04/20,539440270
2017/04/21,382578373
2017/04/22,339538424
2017/04/23,341664873
2017/04/24,429496283
2017/04/25,394040777
2017/04/26,580570987
2017/04/27,879806856
2017/04/28,963431589
2017/04/29,982452918
