Date,size
2016/01/01,884.598
2016/01/02,953.56
2016/01/03,955.046
2016/01/04,981.314
2016/01/05,1396
2016/01/06,1553
2016/01/07,1550
2016/01/08,1080
2016/01/09,1209
2016/01/10,1044
2016/01/11,1058
2016/01/12,1094
2016/01/13,1423
2016/01/14,1062
2016/01/15,1006
2016/01/16,967.38
2016/01/17,886.572
2016/01/18,1057
2016/01/19,1107
2016/01/20,958.949
2016/01/21,943.537
2016/01/22,1027
2016/01/23,905.76
2016/01/24,992.871
2016/01/25,1335
2016/01/26,1228
2016/01/27,1566
2016/01/28,1424
2016/01/29,1308
2016/01/30,1179
2016/01/31,1135
2016/02/01,1081
2016/02/02,1077
2016/02/03,1060
2016/02/04,1087
2016/02/05,1117
2016/02/06,1678
2016/02/07,1026
2016/02/08,1034
2016/02/09,1032
2016/02/10,1106
2016/02/11,1280
2016/02/12,1171
2016/02/13,1222
2016/02/14,1140
2016/02/15,1127
2016/02/16,1128
2016/02/17,1265
2016/02/18,1109
2016/02/19,1157
2016/02/20,1046
2016/02/21,1051
2016/02/22,1090
2016/02/23,1117
2016/02/24,1109
2016/02/25,1114
2016/02/26,1289
2016/02/27,1102
2016/02/28,1091
2016/02/29,1175
2016/03/01,1157
2016/03/02,1199
2016/03/03,1248
2016/03/04,1249
2016/03/05,1314
2016/03/06,1366
2016/03/07,1218
2016/03/08,1242
2016/03/09,1279
2016/03/10,1222
2016/03/11,1211
2016/03/12,1385
2016/03/13,1392
2016/03/14,1501
2016/03/15,1318
2016/03/16,1316
2016/03/17,1421
2016/03/18,1403
2016/03/19,1494
2016/03/20,1446
2016/03/21,1498
2016/03/22,1514
2016/03/23,1529
2016/03/24,1862
2016/03/25,1621
2016/03/26,1538
2016/03/27,1261
2016/03/28,1568
2016/03/29,1389
2016/03/30,1572
2016/03/31,1405
2016/04/01,1493
2016/04/02,1235
2016/04/03,1245
2016/04/04,1502
2016/04/05,1528
2016/04/06,1337
2016/04/07,1404
2016/04/08,1541
2016/04/09,1318
2016/04/10,1281
2016/04/11,1262
2016/04/12,1451
2016/04/13,1477
2016/04/14,1406
2016/04/15,1412
2016/04/16,1215
2016/04/17,1917
2016/04/18,1351
2016/04/19,1317
2016/04/20,1359
2016/04/21,1504
2016/04/22,1291
2016/04/23,1270
2016/04/24,1433
2016/04/25,1399
2016/04/26,1344
2016/04/27,1314
2016/04/28,1408
2016/04/29,1423
2016/04/30,1588
2016/05/01,1681
2016/05/02,1480
2016/05/03,1446
2016/05/04,1498
2016/05/05,1486
2016/05/06,1625
2016/05/07,1375
2016/05/08,1530
2016/05/09,1460
2016/05/10,1481
2016/05/11,1559
2016/05/12,1679
2016/05/13,1674
2016/05/14,1683
2016/05/15,1540
2016/05/16,1491
2016/05/17,1515
2016/05/18,1689
2016/05/19,1576
2016/05/20,1677
2016/05/21,1673
2016/05/22,1494
2016/05/23,1568
2016/05/24,1528
2016/05/25,1670
2016/05/26,1733
2016/05/27,1727
2016/05/28,2436
2016/05/29,1675
2016/05/30,1543
2016/05/31,1594
2016/06/01,1562
2016/06/02,1453
2016/06/03,1429
2016/06/04,1409
2016/06/05,1396
2016/06/06,1426
2016/06/07,1693
2016/06/08,1437
2016/06/09,1477
