Date,size14mom
2016/01/01,-172.441
2016/01/02,-55.643
2016/01/03,-148.368
2016/01/04,-190.274
2016/01/05,-649.323
2016/01/06,8.694
2016/01/07,257.604
2016/01/08,38.025
2016/01/09,135.58
2016/01/10,-531.575
2016/01/11,-180.81
2016/01/12,-105.837
2016/01/13,-140.659
2016/01/14,4.561
2016/01/15,121.621
2016/01/16,13.82
2016/01/17,-68.474
2016/01/18,75.362
2016/01/19,-289.102
2016/01/20,-593.551
2016/01/21,-606.136
2016/01/22,-52.404
2016/01/23,-303.626
2016/01/24,-50.84
2016/01/25,276.833
2016/01/26,134.488
2016/01/27,142.892
2016/01/28,362.257
2016/01/29,301.287
2016/01/30,211.7
2016/01/31,248.814
2016/02/01,24.017
2016/02/02,-29.447
2016/02/03,100.631
2016/02/04,143.127
2016/02/05,89.48
2016/02/06,771.785
2016/02/07,33.109
2016/02/08,-301.345
2016/02/09,-195.983
2016/02/10,-459.76
2016/02/11,-144.515
2016/02/12,-136.972
2016/02/13,43.011
2016/02/14,4.57
2016/02/15,46.123
2016/02/16,50.652
2016/02/17,205.596
2016/02/18,22.811
2016/02/19,39.81
2016/02/20,-631.262
2016/02/21,24.763
2016/02/22,56.72
2016/02/23,84.715
2016/02/24,2.448
2016/02/25,-165.663
2016/02/26,118.337
2016/02/27,-120.199
2016/02/28,-48.768
2016/02/29,48.568
2016/03/01,28.581
2016/03/02,-66.565
2016/03/03,138.971
2016/03/04,92.473
2016/03/05,268.125
2016/03/06,315.074
2016/03/07,127.439
2016/03/08,125.071
2016/03/09,170.642
2016/03/10,107.568
2016/03/11,-77.876
2016/03/12,282.71
2016/03/13,300.909
2016/03/14,325.929
2016/03/15,161.211
2016/03/16,117.814
2016/03/17,172.777
2016/03/18,153.929
2016/03/19,179.632
2016/03/20,80.018
2016/03/21,280.048
2016/03/22,272.333
2016/03/23,250.024
2016/03/24,640.193
2016/03/25,410.253
2016/03/26,153.177
2016/03/27,-131.336
2016/03/28,66.346
2016/03/29,71.749
2016/03/30,256.046
2016/03/31,-15.835
2016/04/01,89.572
2016/04/02,-259.057
2016/04/03,-201.122
2016/04/04,4.241
2016/04/05,13.31
2016/04/06,-192.722
2016/04/07,-457.326
2016/04/08,-80.367
2016/04/09,-219.989
2016/04/10,20.16
2016/04/11,-305.805
2016/04/12,61.987
2016/04/13,-95.144
2016/04/14,0.22
2016/04/15,-80.417
