Date,size14sma
2016/01/01,1271
2016/01/02,1267
2016/01/03,1257
2016/01/04,1243
2016/01/05,1197
2016/01/06,1198
2016/01/07,1216
2016/01/08,1219
2016/01/09,1228
2016/01/10,1190
2016/01/11,1177
2016/01/12,1170
2016/01/13,1160
2016/01/14,1160
2016/01/15,1169
2016/01/16,1170
2016/01/17,1165
2016/01/18,1170
2016/01/19,1150
2016/01/20,1107
2016/01/21,1064
2016/01/22,1060
2016/01/23,1039
2016/01/24,1035
2016/01/25,1055
2016/01/26,1064
2016/01/27,1075
2016/01/28,1100
2016/01/29,1122
2016/01/30,1137
2016/01/31,1155
2016/02/01,1157
2016/02/02,1154
2016/02/03,1162
2016/02/04,1172
2016/02/05,1178
2016/02/06,1233
2016/02/07,1236
2016/02/08,1214
2016/02/09,1200
2016/02/10,1167
2016/02/11,1157
2016/02/12,1147
2016/02/13,1150
2016/02/14,1151
2016/02/15,1154
2016/02/16,1158
2016/02/17,1172
2016/02/18,1174
2016/02/19,1177
2016/02/20,1132
2016/02/21,1133
2016/02/22,1137
2016/02/23,1144
2016/02/24,1144
2016/02/25,1132
2016/02/26,1140
2016/02/27,1132
2016/02/28,1128
2016/02/29,1132
2016/03/01,1134
2016/03/02,1129
2016/03/03,1139
2016/03/04,1146
2016/03/05,1165
2016/03/06,1187
2016/03/07,1196
2016/03/08,1205
2016/03/09,1217
2016/03/10,1225
2016/03/11,1220
2016/03/12,1240
2016/03/13,1261
2016/03/14,1284
2016/03/15,1296
2016/03/16,1304
2016/03/17,1317
2016/03/18,1328
2016/03/19,1341
2016/03/20,1346
2016/03/21,1366
2016/03/22,1386
2016/03/23,1404
2016/03/24,1449
2016/03/25,1479
2016/03/26,1490
2016/03/27,1480
2016/03/28,1485
2016/03/29,1490
2016/03/30,1508
2016/03/31,1507
2016/04/01,1514
2016/04/02,1495
2016/04/03,1481
2016/04/04,1481
2016/04/05,1482
2016/04/06,1468
2016/04/07,1436
2016/04/08,1430
2016/04/09,1414
2016/04/10,1416
2016/04/11,1394
2016/04/12,1398
2016/04/13,1391
2016/04/14,1391
2016/04/15,1386
2016/04/16,1384
2016/04/17,1432
2016/04/18,1421
2016/04/19,1406
2016/04/20,1408
2016/04/21,1415
