Date,size14std
2016/01/01,597.992
2016/01/02,605.603
2016/01/03,621.695
2016/01/04,636.699
2016/01/05,468.746
2016/01/06,470.602
2016/01/07,502.978
2016/01/08,499.586
2016/01/09,493.194
2016/01/10,461.326
2016/01/11,465.276
2016/01/12,467.023
2016/01/13,437.824
2016/01/14,437.525
2016/01/15,419.763
2016/01/16,417.793
2016/01/17,429.185
2016/01/18,421.661
2016/01/19,403.388
2016/01/20,345.787
2016/01/21,252.624
2016/01/22,253.13
2016/01/23,250.318
2016/01/24,251.387
2016/01/25,295.277
2016/01/26,308.211
2016/01/27,360.164
2016/01/28,402.394
2016/01/29,412.055
2016/01/30,403.714
2016/01/31,379.207
2016/02/01,377.629
2016/02/02,379.041
2016/02/03,367.584
2016/02/04,350.31
2016/02/05,342.716
2016/02/06,394.107
2016/02/07,388.666
2016/02/08,397.584
2016/02/09,408.266
2016/02/10,355.839
2016/02/11,333.1
2016/02/12,322.732
2016/02/13,324.698
2016/02/14,324.647
2016/02/15,322.67
2016/02/16,320.278
2016/02/17,319.814
2016/02/18,318.282
2016/02/19,316.902
2016/02/20,159.66
2016/02/21,155.432
2016/02/22,147.57
2016/02/23,136.355
2016/02/24,136.17
2016/02/25,113.81
2016/02/26,138.868
2016/02/27,132.285
2016/02/28,133.792
2016/02/29,135.967
2016/03/01,136.537
2016/03/02,121.731
2016/03/03,135.621
2016/03/04,146.968
2016/03/05,159.59
2016/03/06,176.905
2016/03/07,168.963
2016/03/08,164.43
2016/03/09,159.262
2016/03/10,148.584
2016/03/11,144.386
2016/03/12,151.821
2016/03/13,146.744
2016/03/14,183.667
2016/03/15,169.822
2016/03/16,161.138
2016/03/17,168.402
2016/03/18,169.403
2016/03/19,189.442
2016/03/20,196.827
2016/03/21,197.416
2016/03/22,198.307
2016/03/23,201.805
2016/03/24,287.845
2016/03/25,267.642
2016/03/26,263.866
2016/03/27,285.514
2016/03/28,288.94
2016/03/29,279.278
2016/03/30,264.544
2016/03/31,266.155
2016/04/01,260.068
2016/04/02,297.22
2016/04/03,323.629
2016/04/04,323.7
2016/04/05,324.164
2016/04/06,331.221
2016/04/07,249.728
2016/04/08,235.692
2016/04/09,234.139
2016/04/10,230.569
2016/04/11,226.703
2016/04/12,228.612
2016/04/13,212.573
2016/04/14,212.577
2016/04/15,205.551
2016/04/16,209.88
2016/04/17,332.373
2016/04/18,332.423
2016/04/19,330.879
2016/04/20,329.729
2016/04/21,333.399
2016/04/22,331.335
2016/04/23,335.471
2016/04/24,329.938
2016/04/25,320.394
2016/04/26,321.608
2016/04/27,322.406
2016/04/28,322.43
2016/04/29,322.643
2016/04/30,320.063
2016/05/01,224.47
2016/05/02,225.305
2016/05/03,218.995
2016/05/04,218.867
2016/05/05,217.402
2016/05/06,223.097
2016/05/07,203.779
2016/05/08,205.657
2016/05/09,201.877
2016/05/10,188.331
2016/05/11,165.423
2016/05/12,179.419
2016/05/13,186.288
2016/05/14,199.207
2016/05/15,184.916
2016/05/16,184.024
2016/05/17,177.567
2016/05/18,190.601
2016/05/19,186.728
2016/05/20,193.489
2016/05/21,168.446
2016/05/22,172.959
2016/05/23,158.917
2016/05/24,151.119
2016/05/25,154.044
2016/05/26,163.752
2016/05/27,171.825
2016/05/28,458.906
2016/05/29,453.567
2016/05/30,448.313
2016/05/31,441.879
2016/06/01,446.324
2016/06/02,458.47
2016/06/03,474.448
2016/06/04,489.87
2016/06/05,500.128
2016/06/06,509.902
2016/06/07,509.133
2016/06/08,517.294
2016/06/09,516.441
2016/06/10,516.026
2016/06/11,197.272
2016/06/12,169.822
2016/06/13,178.163
2016/06/14,207.713
2016/06/15,204.842
2016/06/16,212.057
2016/06/17,387.178
2016/06/18,453.654
2016/06/19,440.082
2016/06/20,430
2016/06/21,428.666
2016/06/22,415.743
2016/06/23,412.029
2016/06/24,396.173
2016/06/25,389.94
2016/06/26,391.401
2016/06/27,411.25
2016/06/28,417.384
2016/06/29,420.995
2016/06/30,559.275
2016/07/01,525.724
2016/07/02,492.702
2016/07/03,502.673
2016/07/04,504.755
2016/07/05,505.533
2016/07/06,509.429
2016/07/07,513.338
2016/07/08,510.773
2016/07/09,510.637
2016/07/10,513.062
2016/07/11,512.394
2016/07/12,512.265
2016/07/13,497.584
2016/07/14,136.756
2016/07/15,132.809
2016/07/16,138.244
2016/07/17,165.687
2016/07/18,166.473
2016/07/19,169.326
2016/07/20,222.6
2016/07/21,223.72
2016/07/22,234.593
2016/07/23,233.178
2016/07/24,282.493
2016/07/25,302.876
2016/07/26,372.969
2016/07/27,364.12
2016/07/28,363.765
2016/07/29,357.203
2016/07/30,339.883
2016/07/31,285.042
2016/08/01,259.46
2016/08/02,249.844
2016/08/03,247.06
2016/08/04,238.424
2016/08/05,246.792
2016/08/06,252.486
2016/08/07,250.1
2016/08/08,246.902
2016/08/09,155.741
2016/08/10,139.518
2016/08/11,140.547
2016/08/12,139.657
2016/08/13,146.63
2016/08/14,166.807
2016/08/15,172.184
2016/08/16,159.402
2016/08/17,143.345
2016/08/18,153.013
2016/08/19,154.565
2016/08/20,156.221
2016/08/21,155.574
2016/08/22,154.913
2016/08/23,296.806
2016/08/24,296.219
2016/08/25,299.449
2016/08/26,300.321
2016/08/27,290.527
2016/08/28,283.754
2016/08/29,276.567
2016/08/30,276.401
2016/08/31,276.079
2016/09/01,273.098
2016/09/02,299.331
2016/09/03,291.769
2016/09/04,286.23
2016/09/05,287.768
2016/09/06,198.301
2016/09/07,202.458
2016/09/08,249.347
2016/09/09,273.254
2016/09/10,281.331
2016/09/11,279.476
2016/09/12,278.585
2016/09/13,288.832
2016/09/14,289.232
2016/09/15,289.812
2016/09/16,331.061
2016/09/17,322.597
2016/09/18,346.243
2016/09/19,377.248
2016/09/20,375.824
2016/09/21,375.758
2016/09/22,371.319
2016/09/23,393.616
2016/09/24,392.559
2016/09/25,401.765
2016/09/26,402.57
2016/09/27,400.437
2016/09/28,391.476
2016/09/29,388.355
2016/09/30,300.552
2016/10/01,333.59
2016/10/02,335.506
2016/10/03,321.17
2016/10/04,446.577
2016/10/05,455.637
2016/10/06,465.931
2016/10/07,1330
2016/10/08,2258
2016/10/09,2861
2016/10/10,5974
2016/10/11,5919
2016/10/12,5947
2016/10/13,5960
2016/10/14,5963
2016/10/15,6010
2016/10/16,6042
2016/10/17,6068
2016/10/18,6093
2016/10/19,6104
2016/10/20,6136
2016/10/21,6146
2016/10/22,6030
2016/10/23,5818
2016/10/24,771.217
2016/10/25,390.562
2016/10/26,372.439
2016/10/27,358.318
2016/10/28,354.216
2016/10/29,322.038
2016/10/30,302.427
2016/10/31,289.477
2016/11/01,279.369
2016/11/02,274.96
2016/11/03,274.625
2016/11/04,285.327
2016/11/05,285.171
2016/11/06,285.642
2016/11/07,238.615
2016/11/08,210.364
2016/11/09,204.754
2016/11/10,202.825
2016/11/11,202.586
2016/11/12,202.83
2016/11/13,202.587
2016/11/14,208.408
2016/11/15,178.267
2016/11/16,177.189
2016/11/17,177.435
2016/11/18,148.339
2016/11/19,145.087
2016/11/20,107.99
2016/11/21,102.889
2016/11/22,152.963
2016/11/23,275.286
2016/11/24,280.691
2016/11/25,302.158
2016/11/26,295.504
2016/11/27,299.553
2016/11/28,310.028
2016/11/29,314.635
2016/11/30,438.238
2016/12/01,447.213
2016/12/02,452.262
2016/12/03,447.631
2016/12/04,456.432
2016/12/05,459.864
2016/12/06,457.986
2016/12/07,423.097
2016/12/08,424.031
2016/12/09,415.102
2016/12/10,420.546
2016/12/11,418.714
2016/12/12,410.979
2016/12/13,403.401
2016/12/14,238.736
2016/12/15,233.517
2016/12/16,231.148
2016/12/17,229.178
2016/12/18,239.996
2016/12/19,243.519
2016/12/20,239.423
2016/12/21,269.445
2016/12/22,280.24
2016/12/23,279.025
2016/12/24,290.81
2016/12/25,310.224
2016/12/26,334.49
2016/12/27,334.807
2016/12/28,289.112
2016/12/29,300.203
2016/12/30,305.162
2016/12/31,299.542
2017/01/01,292.329
2017/01/02,291.236
2017/01/03,296.032
2017/01/04,285.043
2017/01/05,267.685
2017/01/06,270.2
2017/01/07,254.67
2017/01/08,222.131
2017/01/09,167.135
2017/01/10,175.15
2017/01/11,172.122
2017/01/12,174.941
2017/01/13,187.881
2017/01/14,193.192
2017/01/15,166
2017/01/16,145.858
2017/01/17,146.428
2017/01/18,135.911
2017/01/19,132.815
2017/01/20,132.893
2017/01/21,141.099
2017/01/22,139.967
2017/01/23,140.137
2017/01/24,155.642
2017/01/25,156.727
2017/01/26,153.336
2017/01/27,140.983
2017/01/28,129.469
2017/01/29,123.811
2017/01/30,123.477
2017/01/31,127.788
2017/02/01,127.192
2017/02/02,124.687
2017/02/03,126.422
2017/02/04,116.354
2017/02/05,116.327
2017/02/06,116.333
2017/02/07,144.866
2017/02/08,163.848
2017/02/09,161.585
2017/02/10,171.399
2017/02/11,172.162
2017/02/12,165.748
2017/02/13,191.488
2017/02/14,226.755
2017/02/15,235.607
2017/02/16,228.53
2017/02/17,219
2017/02/18,207.804
2017/02/19,205.232
2017/02/20,196.591
2017/02/21,235.396
2017/02/22,236.766
2017/02/23,232.729
2017/02/24,233.655
2017/02/25,219.03
2017/02/26,196.462
2017/02/27,196.058
2017/02/28,201.018
2017/03/01,315.266
2017/03/02,370.892
2017/03/03,378.695
2017/03/04,375.418
2017/03/05,353.82
2017/03/06,341.453
2017/03/07,339.573
2017/03/08,338.841
2017/03/09,406.287
2017/03/10,414.194
2017/03/11,397.565
2017/03/12,367.076
2017/03/13,413.169
2017/03/14,448.895
2017/03/15,481.934
2017/03/16,691.559
2017/03/17,778.754
2017/03/18,762.931
2017/03/19,721.625
2017/03/20,664.694
2017/03/21,632.045
2017/03/22,541.416
2017/03/23,542.719
2017/03/24,527.285
2017/03/25,465.443
2017/03/26,400.129
2017/03/27,442.112
2017/03/28,437.395
2017/03/29,443.257
2017/03/30,384.382
2017/03/31,401.912
2017/04/01,410.157
2017/04/02,402.884
2017/04/03,387.606
2017/04/04,386.781
2017/04/05,363.999
2017/04/06,367.955
2017/04/07,369.716
2017/04/08,411.619
2017/04/09,414.806
