Date,size30trx
2016/01/01,0.883
2016/01/02,0.875
2016/01/03,0.86
2016/01/04,0.837
2016/01/05,0.822
2016/01/06,0.817
2016/01/07,0.82
2016/01/08,0.815
2016/01/09,0.808
2016/01/10,0.793
2016/01/11,0.774
2016/01/12,0.751
2016/01/13,0.736
2016/01/14,0.715
2016/01/15,0.69
2016/01/16,0.659
2016/01/17,0.623
2016/01/18,0.587
2016/01/19,0.552
2016/01/20,0.516
2016/01/21,0.477
2016/01/22,0.44
2016/01/23,0.401
2016/01/24,0.363
2016/01/25,0.335
2016/01/26,0.312
2016/01/27,0.303
2016/01/28,0.301
2016/01/29,0.302
2016/01/30,0.302
2016/01/31,0.3
2016/02/01,0.295
2016/02/02,0.287
2016/02/03,0.276
2016/02/04,0.265
2016/02/05,0.253
2016/02/06,0.254
2016/02/07,0.251
2016/02/08,0.244
2016/02/09,0.233
2016/02/10,0.222
2016/02/11,0.215
2016/02/12,0.208
2016/02/13,0.203
2016/02/14,0.196
2016/02/15,0.19
2016/02/16,0.182
2016/02/17,0.177
2016/02/18,0.171
2016/02/19,0.165
2016/02/20,0.156
2016/02/21,0.146
2016/02/22,0.135
2016/02/23,0.124
2016/02/24,0.113
2016/02/25,0.102
2016/02/26,0.096
2016/02/27,0.09
2016/02/28,0.082
2016/02/29,0.076
2016/03/01,0.071
2016/03/02,0.068
2016/03/03,0.067
2016/03/04,0.068
2016/03/05,0.072
2016/03/06,0.08
2016/03/07,0.088
2016/03/08,0.096
2016/03/09,0.104
2016/03/10,0.112
2016/03/11,0.118
2016/03/12,0.128
2016/03/13,0.14
2016/03/14,0.156
2016/03/15,0.172
2016/03/16,0.187
2016/03/17,0.202
2016/03/18,0.219
2016/03/19,0.237
2016/03/20,0.256
2016/03/21,0.275
2016/03/22,0.296
2016/03/23,0.318
2016/03/24,0.347
2016/03/25,0.376
2016/03/26,0.404
2016/03/27,0.422
2016/03/28,0.441
2016/03/29,0.454
2016/03/30,0.468
2016/03/31,0.477
2016/04/01,0.485
2016/04/02,0.485
2016/04/03,0.48
2016/04/04,0.475
2016/04/05,0.472
2016/04/06,0.465
2016/04/07,0.457
2016/04/08,0.451
2016/04/09,0.442
2016/04/10,0.429
2016/04/11,0.413
2016/04/12,0.398
2016/04/13,0.386
2016/04/14,0.373
2016/04/15,0.361
2016/04/16,0.345
2016/04/17,0.341
2016/04/18,0.334
2016/04/19,0.324
2016/04/20,0.313
2016/04/21,0.304
2016/04/22,0.293
2016/04/23,0.278
2016/04/24,0.266
2016/04/25,0.253
2016/04/26,0.24
2016/04/27,0.227
2016/04/28,0.214
2016/04/29,0.202
2016/04/30,0.195
2016/05/01,0.194
2016/05/02,0.193
2016/05/03,0.192
2016/05/04,0.191
2016/05/05,0.191
2016/05/06,0.193
2016/05/07,0.193
2016/05/08,0.194
2016/05/09,0.194
2016/05/10,0.194
2016/05/11,0.195
2016/05/12,0.199
2016/05/13,0.206
2016/05/14,0.215
2016/05/15,0.222
2016/05/16,0.228
2016/05/17,0.231
2016/05/18,0.237
2016/05/19,0.243
2016/05/20,0.249
2016/05/21,0.257
2016/05/22,0.261
2016/05/23,0.264
2016/05/24,0.266
2016/05/25,0.269
2016/05/26,0.273
2016/05/27,0.279
2016/05/28,0.3
2016/05/29,0.317
2016/05/30,0.329
2016/05/31,0.337
2016/06/01,0.341
2016/06/02,0.341
2016/06/03,0.335
2016/06/04,0.326
2016/06/05,0.312
2016/06/06,0.297
2016/06/07,0.285
2016/06/08,0.27
2016/06/09,0.255
2016/06/10,0.238
2016/06/11,0.22
2016/06/12,0.202
2016/06/13,0.186
2016/06/14,0.175
2016/06/15,0.164
2016/06/16,0.154
2016/06/17,0.156
2016/06/18,0.165
2016/06/19,0.172
2016/06/20,0.179
2016/06/21,0.185
2016/06/22,0.188
2016/06/23,0.189
2016/06/24,0.189
2016/06/25,0.184
2016/06/26,0.177
2016/06/27,0.167
2016/06/28,0.155
2016/06/29,0.148
2016/06/30,0.155
2016/07/01,0.156
2016/07/02,0.152
2016/07/03,0.144
2016/07/04,0.133
2016/07/05,0.121
2016/07/06,0.108
2016/07/07,0.093
2016/07/08,0.08
2016/07/09,0.066
2016/07/10,0.051
2016/07/11,0.035
2016/07/12,0.022
2016/07/13,0.008
2016/07/14,-0.005
2016/07/15,-0.017
2016/07/16,-0.03
2016/07/17,-0.046
2016/07/18,-0.061
2016/07/19,-0.074
2016/07/20,-0.081
2016/07/21,-0.086
2016/07/22,-0.088
2016/07/23,-0.09
2016/07/24,-0.086
2016/07/25,-0.079
2016/07/26,-0.065
2016/07/27,-0.051
2016/07/28,-0.037
2016/07/29,-0.025
2016/07/30,-0.016
2016/07/31,-0.008
2016/08/01,-0.001
2016/08/02,0.007
2016/08/03,0.015
2016/08/04,0.023
2016/08/05,0.029
2016/08/06,0.031
2016/08/07,0.032
2016/08/08,0.031
2016/08/09,0.031
2016/08/10,0.031
2016/08/11,0.032
2016/08/12,0.032
2016/08/13,0.03
2016/08/14,0.025
2016/08/15,0.02
2016/08/16,0.016
2016/08/17,0.012
2016/08/18,0.011
2016/08/19,0.008
2016/08/20,0.004
2016/08/21,0
2016/08/22,-0.005
2016/08/23,0
2016/08/24,0.004
2016/08/25,0.01
2016/08/26,0.015
2016/08/27,0.019
2016/08/28,0.021
2016/08/29,0.022
2016/08/30,0.024
2016/08/31,0.024
2016/09/01,0.025
2016/09/02,0.03
2016/09/03,0.034
2016/09/04,0.038
2016/09/05,0.041
2016/09/06,0.045
2016/09/07,0.051
2016/09/08,0.06
2016/09/09,0.072
2016/09/10,0.08
2016/09/11,0.084
2016/09/12,0.086
2016/09/13,0.086
2016/09/14,0.087
2016/09/15,0.091
2016/09/16,0.1
2016/09/17,0.106
2016/09/18,0.108
2016/09/19,0.104
2016/09/20,0.101
2016/09/21,0.098
2016/09/22,0.099
2016/09/23,0.094
2016/09/24,0.087
2016/09/25,0.077
2016/09/26,0.067
2016/09/27,0.06
2016/09/28,0.052
2016/09/29,0.043
2016/09/30,0.032
2016/10/01,0.027
2016/10/02,0.024
2016/10/03,0.023
2016/10/04,0.032
2016/10/05,0.042
2016/10/06,0.056
2016/10/07,0.109
2016/10/08,0.215
2016/10/09,0.368
2016/10/10,0.672
2016/10/11,0.928
2016/10/12,1.112
2016/10/13,1.238
2016/10/14,1.315
2016/10/15,1.35
2016/10/16,1.352
2016/10/17,1.328
2016/10/18,1.29
2016/10/19,1.239
2016/10/20,1.177
2016/10/21,1.109
2016/10/22,1.033
2016/10/23,0.95
2016/10/24,0.87
2016/10/25,0.792
2016/10/26,0.713
2016/10/27,0.635
2016/10/28,0.557
2016/10/29,0.481
2016/10/30,0.406
2016/10/31,0.334
2016/11/01,0.268
2016/11/02,0.204
2016/11/03,0.143
2016/11/04,0.081
2016/11/05,0.021
2016/11/06,-0.037
2016/11/07,-0.093
2016/11/08,-0.144
2016/11/09,-0.192
2016/11/10,-0.235
2016/11/11,-0.275
2016/11/12,-0.313
2016/11/13,-0.347
2016/11/14,-0.376
2016/11/15,-0.402
2016/11/16,-0.425
2016/11/17,-0.445
2016/11/18,-0.463
2016/11/19,-0.48
2016/11/20,-0.495
2016/11/21,-0.508
2016/11/22,-0.515
2016/11/23,-0.514
2016/11/24,-0.514
2016/11/25,-0.51
2016/11/26,-0.506
2016/11/27,-0.499
2016/11/28,-0.489
2016/11/29,-0.477
2016/11/30,-0.457
2016/12/01,-0.44
2016/12/02,-0.427
2016/12/03,-0.417
2016/12/04,-0.409
2016/12/05,-0.403
2016/12/06,-0.395
2016/12/07,-0.388
2016/12/08,-0.383
2016/12/09,-0.379
2016/12/10,-0.376
2016/12/11,-0.37
2016/12/12,-0.364
2016/12/13,-0.359
2016/12/14,-0.348
2016/12/15,-0.337
2016/12/16,-0.328
2016/12/17,-0.321
2016/12/18,-0.317
2016/12/19,-0.311
2016/12/20,-0.305
2016/12/21,-0.295
2016/12/22,-0.283
2016/12/23,-0.271
2016/12/24,-0.263
2016/12/25,-0.26
2016/12/26,-0.259
2016/12/27,-0.258
2016/12/28,-0.255
2016/12/29,-0.25
2016/12/30,-0.243
2016/12/31,-0.235
2017/01/01,-0.231
2017/01/02,-0.227
2017/01/03,-0.221
2017/01/04,-0.212
2017/01/05,-0.202
2017/01/06,-0.191
2017/01/07,-0.18
2017/01/08,-0.171
2017/01/09,-0.161
2017/01/10,-0.149
2017/01/11,-0.138
2017/01/12,-0.126
