Date,size3ema
2016/01/01,1058
2016/01/02,1006
2016/01/03,980.531
2016/01/04,980.923
2016/01/05,1188
2016/01/06,1370
2016/01/07,1460
2016/01/08,1270
2016/01/09,1240
2016/01/10,1142
2016/01/11,1100
2016/01/12,1097
2016/01/13,1260
2016/01/14,1161
2016/01/15,1084
2016/01/16,1025
2016/01/17,956.03
2016/01/18,1006
2016/01/19,1057
2016/01/20,1008
2016/01/21,975.641
2016/01/22,1002
2016/01/23,953.633
2016/01/24,973.252
2016/01/25,1154
2016/01/26,1191
2016/01/27,1379
2016/01/28,1401
2016/01/29,1354
2016/01/30,1267
2016/01/31,1201
2016/02/01,1141
2016/02/02,1109
2016/02/03,1084
2016/02/04,1085
2016/02/05,1101
2016/02/06,1389
2016/02/07,1208
2016/02/08,1121
2016/02/09,1076
2016/02/10,1091
2016/02/11,1186
2016/02/12,1178
2016/02/13,1200
2016/02/14,1170
2016/02/15,1148
2016/02/16,1138
2016/02/17,1202
2016/02/18,1156
2016/02/19,1156
2016/02/20,1101
2016/02/21,1076
2016/02/22,1083
2016/02/23,1100
2016/02/24,1104
2016/02/25,1109
2016/02/26,1199
2016/02/27,1150
2016/02/28,1121
2016/02/29,1148
2016/03/01,1152
2016/03/02,1175
2016/03/03,1212
2016/03/04,1231
2016/03/05,1272
2016/03/06,1319
2016/03/07,1268
2016/03/08,1255
2016/03/09,1267
2016/03/10,1244
2016/03/11,1228
2016/03/12,1306
2016/03/13,1349
2016/03/14,1425
2016/03/15,1371
2016/03/16,1344
2016/03/17,1383
2016/03/18,1393
2016/03/19,1443
2016/03/20,1445
2016/03/21,1471
2016/03/22,1493
2016/03/23,1511
2016/03/24,1686
2016/03/25,1654
2016/03/26,1596
2016/03/27,1428
2016/03/28,1498
2016/03/29,1444
2016/03/30,1508
2016/03/31,1457
2016/04/01,1475
2016/04/02,1355
2016/04/03,1300
2016/04/04,1401
2016/04/05,1464
2016/04/06,1401
2016/04/07,1402
2016/04/08,1472
2016/04/09,1395
2016/04/10,1338
2016/04/11,1300
2016/04/12,1376
2016/04/13,1426
2016/04/14,1416
2016/04/15,1414
2016/04/16,1315
2016/04/17,1616
2016/04/18,1483
2016/04/19,1400
2016/04/20,1380
2016/04/21,1442
2016/04/22,1366
2016/04/23,1318
2016/04/24,1376
2016/04/25,1387
2016/04/26,1366
2016/04/27,1340
2016/04/28,1374
2016/04/29,1399
2016/04/30,1493
2016/05/01,1587
2016/05/02,1534
2016/05/03,1490
2016/05/04,1494
2016/05/05,1490
2016/05/06,1558
2016/05/07,1466
2016/05/08,1498
2016/05/09,1479
2016/05/10,1480
2016/05/11,1519
2016/05/12,1599
2016/05/13,1637
2016/05/14,1660
2016/05/15,1600
2016/05/16,1546
2016/05/17,1530
2016/05/18,1610
2016/05/19,1593
2016/05/20,1635
2016/05/21,1654
2016/05/22,1574
2016/05/23,1571
2016/05/24,1550
2016/05/25,1610
2016/05/26,1672
2016/05/27,1699
2016/05/28,2067
2016/05/29,1871
2016/05/30,1707
2016/05/31,1651
2016/06/01,1606
2016/06/02,1530
2016/06/03,1479
2016/06/04,1444
2016/06/05,1420
2016/06/06,1423
2016/06/07,1558
2016/06/08,1497
2016/06/09,1487
2016/06/10,1462
2016/06/11,1422
2016/06/12,1442
2016/06/13,1521
2016/06/14,1617
2016/06/15,1570
2016/06/16,1587
2016/06/17,1862
2016/06/18,1953
2016/06/19,1789
2016/06/20,1749
2016/06/21,1689
2016/06/22,1651
2016/06/23,1582
2016/06/24,1610
2016/06/25,1512
2016/06/26,1482
2016/06/27,1446
2016/06/28,1464
2016/06/29,1628
2016/06/30,1998
2016/07/01,1689
2016/07/02,1536
2016/07/03,1470
2016/07/04,1442
2016/07/05,1456
2016/07/06,1432
2016/07/07,1423
2016/07/08,1502
2016/07/09,1459
2016/07/10,1433
2016/07/11,1427
2016/07/12,1497
2016/07/13,1427
2016/07/14,1481
2016/07/15,1469
2016/07/16,1409
2016/07/17,1337
2016/07/18,1367
2016/07/19,1434
2016/07/20,1576
2016/07/21,1549
2016/07/22,1595
2016/07/23,1546
2016/07/24,1671
2016/07/25,1704
2016/07/26,1825
2016/07/27,1765
2016/07/28,1688
2016/07/29,1643
2016/07/30,1552
2016/07/31,1568
2016/08/01,1565
2016/08/02,1626
2016/08/03,1646
2016/08/04,1631
2016/08/05,1579
2016/08/06,1522
2016/08/07,1498
2016/08/08,1501
2016/08/09,1546
2016/08/10,1577
2016/08/11,1599
2016/08/12,1579
2016/08/13,1505
2016/08/14,1455
2016/08/15,1461
2016/08/16,1541
2016/08/17,1537
2016/08/18,1600
2016/08/19,1545
2016/08/20,1499
2016/08/21,1489
2016/08/22,1508
2016/08/23,1765
2016/08/24,1678
2016/08/25,1670
2016/08/26,1640
2016/08/27,1613
2016/08/28,1532
2016/08/29,1552
2016/08/30,1584
2016/08/31,1561
2016/09/01,1572
2016/09/02,1711
2016/09/03,1612
2016/09/04,1666
2016/09/05,1589
2016/09/06,1656
2016/09/07,1674
2016/09/08,1787
2016/09/09,1820
2016/09/10,1664
2016/09/11,1562
2016/09/12,1574
2016/09/13,1535
2016/09/14,1647
2016/09/15,1695
2016/09/16,1857
2016/09/17,1723
2016/09/18,1578
2016/09/19,1459
2016/09/20,1574
2016/09/21,1586
2016/09/22,1731
2016/09/23,1506
2016/09/24,1516
2016/09/25,1451
2016/09/26,1498
2016/09/27,1579
2016/09/28,1570
2016/09/29,1506
2016/09/30,1471
2016/10/01,1641
2016/10/02,1664
2016/10/03,1691
2016/10/04,1941
2016/10/05,1872
2016/10/06,1905
2016/10/07,3012
2016/10/08,4221
2016/10/09,4952
2016/10/10,8838
2016/10/11,5800
2016/10/12,3524
2016/10/13,2415
2016/10/14,1908
2016/10/15,1572
2016/10/16,1435
2016/10/17,1406
2016/10/18,1576
2016/10/19,1607
2016/10/20,1536
2016/10/21,1630
2016/10/22,1494
2016/10/23,1393
2016/10/24,1592
2016/10/25,1634
2016/10/26,1592
2016/10/27,1555
2016/10/28,1514
2016/10/29,1487
2016/10/30,1455
2016/10/31,1495
2016/11/01,1592
2016/11/02,1544
2016/11/03,1507
2016/11/04,1385
2016/11/05,1371
2016/11/06,1330
2016/11/07,1365
2016/11/08,1420
2016/11/09,1452
2016/11/10,1472
2016/11/11,1467
2016/11/12,1447
2016/11/13,1457
2016/11/14,1517
2016/11/15,1547
2016/11/16,1514
2016/11/17,1495
2016/11/18,1504
2016/11/19,1440
2016/11/20,1456
2016/11/21,1497
2016/11/22,1602
2016/11/23,1776
2016/11/24,1600
2016/11/25,1684
2016/11/26,1592
2016/11/27,1648
2016/11/28,1689
2016/11/29,1691
2016/11/30,1950
2016/12/01,1679
2016/12/02,1570
2016/12/03,1487
2016/12/04,1445
2016/12/05,1468
2016/12/06,1542
2016/12/07,1532
2016/12/08,1474
2016/12/09,1488
2016/12/10,1458
2016/12/11,1569
2016/12/12,1523
2016/12/13,1531
2016/12/14,1683
2016/12/15,1632
2016/12/16,1569
2016/12/17,1494
2016/12/18,1419
2016/12/19,1518
2016/12/20,1527
2016/12/21,1648
2016/12/22,1705
2016/12/23,1614
2016/12/24,1487
2016/12/25,1402
2016/12/26,1348
2016/12/27,1453
2016/12/28,1492
2016/12/29,1585
2016/12/30,1604
2016/12/31,1574
2017/01/01,1482
2017/01/02,1470
2017/01/03,1549
2017/01/04,1633
2017/01/05,1654
2017/01/06,1623
2017/01/07,1597
2017/01/08,1577
2017/01/09,1586
2017/01/10,1636
2017/01/11,1614
2017/01/12,1655
2017/01/13,1692
2017/01/14,1596
2017/01/15,1547
2017/01/16,1561
2017/01/17,1602
2017/01/18,1592
2017/01/19,1572
2017/01/20,1590
2017/01/21,1547
2017/01/22,1582
2017/01/23,1597
2017/01/24,1675
2017/01/25,1660
2017/01/26,1666
2017/01/27,1662
2017/01/28,1645
2017/01/29,1584
2017/01/30,1581
2017/01/31,1560
2017/02/01,1584
2017/02/02,1581
2017/02/03,1575
2017/02/04,1568
2017/02/05,1591
2017/02/06,1598
2017/02/07,1713
2017/02/08,1738
2017/02/09,1684
2017/02/10,1710
2017/02/11,1652
2017/02/12,1611
2017/02/13,1717
2017/02/14,1816
2017/02/15,1817
2017/02/16,1739
2017/02/17,1700
2017/02/18,1736
2017/02/19,1686
2017/02/20,1691
2017/02/21,1840
2017/02/22,1815
2017/02/23,1741
2017/02/24,1760
2017/02/25,1760
2017/02/26,1736
2017/02/27,1778
2017/02/28,1856
2017/03/01,2046
2017/03/02,2128
2017/03/03,2106
2017/03/04,1983
2017/03/05,1902
2017/03/06,1855
2017/03/07,1909
2017/03/08,1854
2017/03/09,2129
2017/03/10,2160
2017/03/11,2087
2017/03/12,2065
2017/03/13,2258
2017/03/14,2346
2017/03/15,2401
2017/03/16,2736
2017/03/17,2808
2017/03/18,2660
2017/03/19,2528
2017/03/20,2422
2017/03/21,2465
2017/03/22,2417
2017/03/23,2465
2017/03/24,2511
2017/03/25,2469
2017/03/26,2422
2017/03/27,2659
2017/03/28,2601
2017/03/29,2673
2017/03/30,2763
2017/03/31,2856
2017/04/01,2629
2017/04/02,2649
2017/04/03,2719
2017/04/04,2618
2017/04/05,2588
2017/04/06,2694
2017/04/07,2735
2017/04/08,2492
2017/04/09,2425
2017/04/10,2443
2017/04/11,2410
2017/04/12,2553
2017/04/13,2571
2017/04/14,2511
2017/04/15,2430
2017/04/16,2325
2017/04/17,2317
2017/04/18,2460
2017/04/19,2562
2017/04/20,2572
2017/04/21,2631
2017/04/22,2530
2017/04/23,2462
2017/04/24,2507
2017/04/25,2655
2017/04/26,2689
2017/04/27,2892
2017/04/28,3035
2017/04/29,2914
2017/04/30,2989
2017/05/01,3267
2017/05/02,3364
2017/05/03,3196
2017/05/04,3273
2017/05/05,3222
2017/05/06,3078
2017/05/07,3200
2017/05/08,3304
2017/05/09,3340
2017/05/10,3284
2017/05/11,3318
2017/05/12,3236
2017/05/13,3151
2017/05/14,3145
2017/05/15,3488
2017/05/16,3566
2017/05/17,3936
2017/05/18,4090
2017/05/19,4446
2017/05/20,4312
2017/05/21,4449
2017/05/22,4889
2017/05/23,5758
2017/05/24,6212
2017/05/25,6082
2017/05/26,5821
2017/05/27,5474
2017/05/28,5426
2017/05/29,5174
2017/05/30,6122
2017/05/31,6482
2017/06/01,6511
2017/06/02,7027
2017/06/03,6832
2017/06/04,6645
2017/06/05,6542
2017/06/06,6958
2017/06/07,7173
2017/06/08,7052
2017/06/09,7267
2017/06/10,6930
2017/06/11,7794
2017/06/12,8622
2017/06/13,8715
2017/06/14,8328
2017/06/15,8260
2017/06/16,8147
2017/06/17,8052
2017/06/18,7992
2017/06/19,8474
2017/06/20,8866
2017/06/21,7530
2017/06/22,8111
2017/06/23,8617
2017/06/24,8776
2017/06/25,8878
2017/06/26,9211
2017/06/27,8561
2017/06/28,9283
2017/06/29,9372
2017/06/30,9086
2017/07/01,8596
2017/07/02,8549
2017/07/03,9346
2017/07/04,9739
2017/07/05,9917
2017/07/06,9373
2017/07/07,9541
2017/07/08,9213
2017/07/09,8096
2017/07/10,9341
2017/07/11,9913
2017/07/12,10324
2017/07/13,10500
2017/07/14,10270
2017/07/15,9509
2017/07/16,9367
2017/07/17,9590
