Date,size3rsi
2016/01/01,28.334
2016/01/02,35.905
2016/01/03,36.123
2016/01/04,41.409
2016/01/05,80.199
2016/01/06,85.603
2016/01/07,84.975
2016/01/08,30.046
2016/01/09,44.807
2016/01/10,31.9
2016/01/11,34.36
2016/01/12,42.159
2016/01/13,78.105
2016/01/14,38.616
2016/01/15,34.576
2016/01/16,31.164
2016/01/17,23.827
2016/01/18,56.309
2016/01/19,63.229
2016/01/20,37.161
2016/01/21,34.909
2016/01/22,56.443
2016/01/23,32.819
2016/01/24,53.659
2016/01/25,83.608
2016/01/26,64.211
2016/01/27,82.981
2016/01/28,62.361
2016/01/29,47.741
2016/01/30,34.417
2016/01/31,30.126
2016/02/01,24.411
2016/02/02,23.985
2016/02/03,21.119
2016/02/04,38.097
2016/02/05,54.479
2016/02/06,94.563
2016/02/07,37.304
2016/02/08,37.96
2016/02/09,37.864
2016/02/10,49.45
2016/02/11,69.448
2016/02/12,50.556
2016/02/13,58.549
2016/02/14,42.235
2016/02/15,39.587
2016/02/16,40.065
2016/02/17,75.649
2016/02/18,37.63
2016/02/19,49.229
2016/02/20,29.79
2016/02/21,31.431
2016/02/22,47.692
2016/02/23,57.843
2016/02/24,53.091
2016/02/25,56.449
2016/02/26,90.627
2016/02/27,40.127
2016/02/28,38.295
2016/02/29,59.9
2016/03/01,53.591
2016/03/02,65.685
2016/03/03,76.54
2016/03/04,76.693
2016/03/05,87.9
2016/03/06,92.283
2016/03/07,35.973
2016/03/08,44.364
2016/03/09,57.23
2016/03/10,37.208
2016/03/11,33.962
2016/03/12,79.058
2016/03/13,79.945
2016/03/14,89.585
2016/03/15,40.498
2016/03/16,40.265
2016/03/17,64.855
2016/03/18,58.587
2016/03/19,76.011
2016/03/20,56.963
2016/03/21,69.369
2016/03/22,73.105
2016/03/23,76.911
2016/03/24,95.943
2016/03/25,50.63
2016/03/26,40.638
2016/03/27,20.499
2016/03/28,56.403
2016/03/29,40.481
2016/03/30,58.52
2016/03/31,41.355
2016/04/01,52.311
2016/04/02,28.623
2016/04/03,30.408
2016/04/04,65.065
2016/04/05,67.495
2016/04/06,38.049
2016/04/07,49.705
2016/04/08,67.953
2016/04/09,35.96
2016/04/10,32.202
2016/04/11,29.787
2016/04/12,66.859
2016/04/13,70.091
2016/04/14,49.867
2016/04/15,51.791
2016/04/16,19.081
2016/04/17,81.515
2016/04/18,42.155
2016/04/19,40.409
2016/04/20,44.686
2016/04/21,59.657
2016/04/22,37.34
2016/04/23,35.431
2016/04/24,59.871
2016/04/25,53.47
2016/04/26,42.657
2016/04/27,36.409
2016/04/28,62.016
2016/04/29,65.406
2016/04/30,85.853
2016/05/01,90.549
2016/05/02,43.549
2016/05/03,38.48
2016/05/04,51.407
2016/05/05,47.906
2016/05/06,76.194
2016/05/07,30.916
2016/05/08,55.519
2016/05/09,44.67
2016/05/10,49.221
2016/05/11,64.782
2016/05/12,79.501
2016/05/13,77.427
2016/05/14,78.819
2016/05/15,31.184
2016/05/16,23.884
2016/05/17,35.042
2016/05/18,75.19
2016/05/19,46.974
2016/05/20,64.755
2016/05/21,63.339
2016/05/22,27.455
2016/05/23,46.422
2016/05/24,38.333
2016/05/25,67.937
2016/05/26,75.756
2016/05/27,72.951
2016/05/28,96.087
2016/05/29,40.447
2016/05/30,35.147
2016/05/31,39.673
2016/06/01,37.23
2016/06/02,28.239
2016/06/03,26.1
2016/06/04,23.936
2016/06/05,22.123
2016/06/06,38.192
2016/06/07,83.713
2016/06/08,40.678
2016/06/09,47.003
2016/06/10,40.576
2016/06/11,31.404
2016/06/12,54.037
2016/06/13,74.952
2016/06/14,84.043
2016/06/15,44.033
2016/06/16,57.068
2016/06/17,87.005
2016/06/18,73.471
2016/06/19,35.989
2016/06/20,44.551
2016/06/21,37.434
2016/06/22,35.91
2016/06/23,25.047
2016/06/24,51.922
2016/06/25,26.422
2016/06/26,34.637
2016/06/27,29.128
2016/06/28,49.525
2016/06/29,82.196
2016/06/30,93.649
2016/07/01,35.252
2016/07/02,35.407
2016/07/03,37.296
2016/07/04,38.707
2016/07/05,47.531
2016/07/06,38.34
2016/07/07,39.88
2016/07/08,71.976
2016/07/09,40.251
2016/07/10,38.733
2016/07/11,43.232
2016/07/12,73.984
2016/07/13,34.124
2016/07/14,61.025
2016/07/15,48.112
2016/07/16,33.496
2016/07/17,24.603
2016/07/18,53.495
2016/07/19,67.909
2016/07/20,83.64
2016/07/21,50.196
2016/07/22,63.481
2016/07/23,42.672
2016/07/24,71.645
2016/07/25,62.29
2016/07/26,77.64
2016/07/27,45.587
2016/07/28,36.552
2016/07/29,35.274
2016/07/30,21.802
2016/07/31,48.558
2016/08/01,44.104
2016/08/02,67.275
2016/08/03,60.699
2016/08/04,45.866
2016/08/05,27.392
2016/08/06,19.329
2016/08/07,23.674
2016/08/08,41.744
2016/08/09,71.175
2016/08/10,74.464
2016/08/11,77.928
2016/08/12,40.754
2016/08/13,16.366
2016/08/14,13.936
2016/08/15,44.233
2016/08/16,76.23
2016/08/17,50.954
2016/08/18,71.639
2016/08/19,39.091
2016/08/20,33.939
2016/08/21,42.053
2016/08/22,55.811
2016/08/23,90.91
2016/08/24,44.62
2016/08/25,50.958
2016/08/26,45.296
2016/08/27,42.204
2016/08/28,26.502
2016/08/29,50.978
2016/08/30,58.451
2016/08/31,41.536
2016/09/01,53.241
2016/09/02,83.212
2016/09/03,37.607
2016/09/04,58.489
2016/09/05,38.862
2016/09/06,59.538
2016/09/07,55.514
2016/09/08,73.823
2016/09/09,64.879
2016/09/10,27.566
2016/09/11,24.609
2016/09/12,46.818
2016/09/13,35.715
2016/09/14,68.723
2016/09/15,65.968
2016/09/16,84.371
2016/09/17,37.203
2016/09/18,28.592
2016/09/19,23.727
2016/09/20,61.287
2016/09/21,51.371
2016/09/22,72.068
2016/09/23,30.42
2016/09/24,48.747
2016/09/25,39.82
2016/09/26,54.108
2016/09/27,63.622
2016/09/28,50.236
2016/09/29,36.404
2016/09/30,35.797
2016/10/01,77.851
2016/10/02,58.792
2016/10/03,62.369
2016/10/04,87.159
2016/10/05,48.058
2016/10/06,57.951
2016/10/07,92.461
2016/10/08,95.666
2016/10/09,96.142
2016/10/10,99.308
2016/10/11,36.224
2016/10/12,31.64
2016/10/13,32.136
2016/10/14,33.308
2016/10/15,31.87
2016/10/16,33.464
2016/10/17,36.401
2016/10/18,51.326
2016/10/19,46.522
2016/10/20,38.027
2016/10/21,56.073
2016/10/22,34.61
2016/10/23,31.406
2016/10/24,66.748
2016/10/25,56.585
2016/10/26,45.377
2016/10/27,42.217
2016/10/28,36.677
2016/10/29,35.046
2016/10/30,28.258
2016/10/31,61.105
2016/11/01,79.813
2016/11/02,41.88
2016/11/03,38.176
2016/11/04,18.544
2016/11/05,39.871
2016/11/06,31.115
2016/11/07,54.925
2016/11/08,66.862
2016/11/09,68.175
2016/11/10,70.071
2016/11/11,53.181
2016/11/12,37.066
2016/11/13,58.772
2016/11/14,82.335
2016/11/15,82.519
2016/11/16,38.75
2016/11/17,37.053
2016/11/18,56.522
2016/11/19,20.896
2016/11/20,52.56
2016/11/21,66.047
2016/11/22,84.023
2016/11/23,92.49
2016/11/24,33.891
2016/11/25,59.198
2016/11/26,40.969
2016/11/27,56.289
2016/11/28,58.534
2016/11/29,52.924
2016/11/30,83.88
2016/12/01,33.145
2016/12/02,37.007
2016/12/03,33.907
2016/12/04,33.821
2016/12/05,48.705
2016/12/06,65.166
2016/12/07,47.927
2016/12/08,32.826
2016/12/09,51.386
2016/12/10,37.875
2016/12/11,73.477
2016/12/12,43.421
2016/12/13,52.256
2016/12/14,77.592
2016/12/15,46.179
2016/12/16,39.098
2016/12/17,30.835
2016/12/18,24.454
2016/12/19,65.012
2016/12/20,52.54
2016/12/21,74.198
2016/12/22,72.613
2016/12/23,35.682
2016/12/24,23.597
2016/12/25,20.705
2016/12/26,18.938
2016/12/27,67.622
2016/12/28,61.794
2016/12/29,77.416
2016/12/30,62.912
2016/12/31,45.031
2017/01/01,24.525
2017/01/02,42.024
2017/01/03,68.903
2017/01/04,77.277
2017/01/05,65.095
2017/01/06,44.196
2017/01/07,39.117
2017/01/08,35.602
2017/01/09,54.023
2017/01/10,77.215
2017/01/11,43.143
2017/01/12,67.282
2017/01/13,72.619
2017/01/14,26.465
2017/01/15,26.295
2017/01/16,50.087
2017/01/17,64.986
2017/01/18,46.625
2017/01/19,38.26
2017/01/20,58.652
2017/01/21,30.539
2017/01/22,60.814
2017/01/23,59.431
2017/01/24,81.623
2017/01/25,49.821
2017/01/26,56.554
2017/01/27,51.194
2017/01/28,39.931
2017/01/29,18.57
2017/01/30,43.056
2017/01/31,32.586
2017/02/01,58.485
2017/02/02,46.955
2017/02/03,42.702
2017/02/04,38.528
2017/02/05,69.343
2017/02/06,62.129
2017/02/07,92.646
2017/02/08,68.971
2017/02/09,37.845
2017/02/10,59.424
2017/02/11,35.039
2017/02/12,31.875
2017/02/13,72.737
2017/02/14,79.384
2017/02/15,57.137
2017/02/16,33.938
2017/02/17,33.915
2017/02/18,60.05
2017/02/19,34.705
2017/02/20,49.025
2017/02/21,80.188
2017/02/22,49.429
2017/02/23,36.437
2017/02/24,53.115
2017/02/25,49.981
2017/02/26,40.326
2017/02/27,63.631
2017/02/28,77.881
2017/03/01,91.192
2017/03/02,84.68
2017/03/03,55.448
2017/03/04,28.824
2017/03/05,25.66
2017/03/06,24.289
2017/03/07,61.099
2017/03/08,34.542
2017/03/09,80.769
