Date,size7var
2016/01/01,57884
2016/01/02,64939
2016/01/03,47395
2016/01/04,46906
2016/01/05,58041
2016/01/06,56588
2016/01/07,78656
2016/01/08,66748
2016/01/09,56042
2016/01/10,49628
2016/01/11,44262
2016/01/12,44559
2016/01/13,34573
2016/01/14,16124
2016/01/15,18022
2016/01/16,19570
2016/01/17,24828
2016/01/18,24833
2016/01/19,24938
2016/01/20,4829
2016/01/21,4666
2016/01/22,4822
2016/01/23,5729
2016/01/24,4164
2016/01/25,18241
2016/01/26,22419
2016/01/27,50733
2016/01/28,51669
2016/01/29,46552
2016/01/30,28709
2016/01/31,19080
2016/02/01,25241
2016/02/02,30026
2016/02/03,16110
2016/02/04,6565
2016/02/05,1473
2016/02/06,42437
2016/02/07,45181
2016/02/08,46530
2016/02/09,47761
2016/02/10,46853
2016/02/11,47690
2016/02/12,47048
2016/02/13,8930
2016/02/14,7317
2016/02/15,5528
2016/02/16,3326
2016/02/17,3635
2016/02/18,2837
2016/02/19,2843
2016/02/20,3710
2016/02/21,4658
2016/02/22,4814
2016/02/23,4807
2016/02/24,1288
2016/02/25,1306
2016/02/26,5674
2016/02/27,4936
2016/02/28,4284
2016/02/29,4198
2016/03/01,4102
2016/03/02,4082
2016/03/03,4492
2016/03/04,3451
2016/03/05,4575
2016/03/06,4895
2016/03/07,4284
2016/03/08,2892
2016/03/09,2221
2016/03/10,2505
2016/03/11,2911
2016/03/12,4513
2016/03/13,5283
2016/03/14,10217
2016/03/15,9259
2016/03/16,8896
2016/03/17,7308
2016/03/18,3457
2016/03/19,4726
2016/03/20,4858
2016/03/21,4771
2016/03/22,4114
2016/03/23,2039
2016/03/24,19376
2016/03/25,16968
2016/03/26,16298
2016/03/27,27196
2016/03/28,26828
2016/03/29,30230
2016/03/30,30348
2016/03/31,14478
2016/04/01,11286
2016/04/02,15860
2016/04/03,16611
2016/04/04,14282
2016/04/05,15972
2016/04/06,12892
2016/04/07,12888
2016/04/08,14562
2016/04/09,11526
2016/04/10,9970
2016/04/11,11116
2016/04/12,8640
2016/04/13,9701
2016/04/14,9706
2016/04/15,6217
2016/04/16,9104
2016/04/17,44724
2016/04/18,40938
2016/04/19,43531
2016/04/20,44056
2016/04/21,44688
2016/04/22,47441
2016/04/23,44561
2016/04/24,5839
2016/04/25,5984
2016/04/26,5682
2016/04/27,6094
2016/04/28,3402
2016/04/29,3260
2016/04/30,6556
2016/05/01,15289
2016/05/02,14886
2016/05/03,12718
2016/05/04,8275
2016/05/05,6890
2016/05/06,6612
2016/05/07,9463
2016/05/08,5035
2016/05/09,5154
2016/05/10,4882
2016/05/11,5407
2016/05/12,9089
2016/05/13,10717
2016/05/14,8077
2016/05/15,7951
2016/05/16,6960
2016/05/17,6079
2016/05/18,6928
2016/05/19,6192
2016/05/20,6259
2016/05/21,6018
2016/05/22,6990
2016/05/23,5594
2016/05/24,5297
2016/05/25,4863
2016/05/26,6902
2016/05/27,8001
2016/05/28,89173
2016/05/29,80623
2016/05/30,82089
2016/05/31,78303
2016/06/01,82753
2016/06/02,93926
2016/06/03,103635
2016/06/04,8135
2016/06/05,5577
2016/06/06,5269
2016/06/07,10047
2016/06/08,9065
2016/06/09,9065
2016/06/10,8980
2016/06/11,9534
2016/06/12,8788
2016/06/13,10116
2016/06/14,11325
2016/06/15,10655
2016/06/16,11301
2016/06/17,52538
2016/06/18,58924
2016/06/19,49949
2016/06/20,46722
2016/06/21,48855
2016/06/22,43874
2016/06/23,49070
2016/06/24,24694
2016/06/25,8038
2016/06/26,10048
2016/06/27,8898
2016/06/28,7164
2016/06/29,16658
2016/06/30,102111
2016/07/01,111221
2016/07/02,113180
2016/07/03,115668
2016/07/04,115387
2016/07/05,115822
2016/07/06,112942
2016/07/07,770.423
2016/07/08,3946
2016/07/09,3533
2016/07/10,3495
2016/07/11,3449
2016/07/12,5271
2016/07/13,6352
2016/07/14,6859
2016/07/15,4796
2016/07/16,6021
2016/07/17,9965
2016/07/18,10037
2016/07/19,7803
2016/07/20,18385
2016/07/21,18110
2016/07/22,22171
2016/07/23,19133
2016/07/24,17077
2016/07/25,13308
2016/07/26,21151
2016/07/27,21086
2016/07/28,17772
2016/07/29,18779
2016/07/30,21019
2016/07/31,20245
2016/08/01,20324
2016/08/02,5742
2016/08/03,4735
2016/08/04,4769
2016/08/05,5350
2016/08/06,5173
2016/08/07,6760
2016/08/08,7321
2016/08/09,5033
2016/08/10,3507
2016/08/11,3593
2016/08/12,3589
2016/08/13,4522
2016/08/14,6371
2016/08/15,6830
2016/08/16,7495
2016/08/17,6544
2016/08/18,7992
2016/08/19,7911
2016/08/20,7442
2016/08/21,5729
2016/08/22,5097
2016/08/23,34432
2016/08/24,33800
2016/08/25,33803
2016/08/26,31707
2016/08/27,27477
2016/08/28,28910
2016/08/29,27715
2016/08/30,3703
2016/08/31,3946
2016/09/01,2747
2016/09/02,12868
2016/09/03,13797
2016/09/04,12019
2016/09/05,13413
2016/09/06,14715
2016/09/07,13402
2016/09/08,19082
2016/09/09,19233
2016/09/10,19495
2016/09/11,26359
2016/09/12,23835
2016/09/13,26961
2016/09/14,28416
2016/09/15,20332
2016/09/16,34388
2016/09/17,31873
2016/09/18,33577
2016/09/19,46133
2016/09/20,43602
2016/09/21,41954
2016/09/22,48406
2016/09/23,37090
2016/09/24,36777
2016/09/25,38383
2016/09/26,32566
2016/09/27,31589
2016/09/28,31280
2016/09/29,13645
2016/09/30,7448
2016/10/01,18767
2016/10/02,15888
2016/10/03,17259
2016/10/04,58458
2016/10/05,56545
2016/10/06,46280
2016/10/07,650701
2016/10/08,1871112
2016/10/09,2671755
2016/10/10,12630742
2016/10/11,12238420
2016/10/12,12770268
2016/10/13,13343965
2016/10/14,14741686
2016/10/15,15619257
2016/10/16,15572603
2016/10/17,261210
2016/10/18,26422
2016/10/19,31118
2016/10/20,28644
2016/10/21,36765
2016/10/22,29535
2016/10/23,29877
2016/10/24,34643
2016/10/25,31738
2016/10/26,30805
2016/10/27,29866
2016/10/28,25675
2016/10/29,22077
2016/10/30,14994
2016/10/31,5782
2016/11/01,6395
2016/11/02,6308
2016/11/03,6523
2016/11/04,14002
2016/11/05,15767
2016/11/06,19442
2016/11/07,18106
2016/11/08,7540
2016/11/09,7181
2016/11/10,7732
2016/11/11,5072
2016/11/12,4375
2016/11/13,962.628
2016/11/14,1814
2016/11/15,2855
2016/11/16,2865
2016/11/17,2923
2016/11/18,2761
2016/11/19,4189
2016/11/20,4153
2016/11/21,3454
2016/11/22,8781
2016/11/23,31944
2016/11/24,33779
2016/11/25,37660
2016/11/26,31346
2016/11/27,27970
2016/11/28,26019
2016/11/29,25939
2016/11/30,54009
2016/12/01,55400
2016/12/02,62351
2016/12/03,68211
2016/12/04,75389
2016/12/05,74512
2016/12/06,72790
2016/12/07,5279
2016/12/08,5134
2016/12/09,5198
2016/12/10,4767
2016/12/11,7917
2016/12/12,8070
2016/12/13,6714
2016/12/14,19886
2016/12/15,16704
2016/12/16,16622
2016/12/17,17056
2016/12/18,20860
2016/12/19,21173
2016/12/20,21180
2016/12/21,16303
2016/12/22,22480
2016/12/23,22243
2016/12/24,25069
2016/12/25,26923
2016/12/26,33970
2016/12/27,34200
2016/12/28,23614
2016/12/29,17688
2016/12/30,20551
2016/12/31,18417
2017/01/01,15089
2017/01/02,7939
2017/01/03,8879
2017/01/04,12090
2017/01/05,12009
2017/01/06,11721
2017/01/07,11597
2017/01/08,6150
2017/01/09,2908
2017/01/10,3461
2017/01/11,2184
2017/01/12,2636
2017/01/13,4125
2017/01/14,5996
2017/01/15,7532
2017/01/16,7692
2017/01/17,6990
2017/01/18,7031
2017/01/19,5730
2017/01/20,2473
2017/01/21,2389
2017/01/22,1795
2017/01/23,1879
2017/01/24,5122
2017/01/25,5204
2017/01/26,4893
2017/01/27,4884
2017/01/28,2044
2017/01/29,4157
2017/01/30,4574
2017/01/31,3041
2017/02/01,2811
2017/02/02,1958
2017/02/03,1136
2017/02/04,668.885
2017/02/05,588.764
2017/02/06,685.164
2017/02/07,7307
2017/02/08,9617
2017/02/09,8951
2017/02/10,8334
2017/02/11,7359
2017/02/12,8415
2017/02/13,9899
2017/02/14,13819
2017/02/15,14862
2017/02/16,14110
2017/02/17,14695
2017/02/18,12157
2017/02/19,9469
2017/02/20,8961
2017/02/21,13471
2017/02/22,13018
2017/02/23,12878
2017/02/24,11758
2017/02/25,11736
2017/02/26,9707
2017/02/27,8938
2017/02/28,6192
2017/03/01,31650
2017/03/02,40261
2017/03/03,39198
2017/03/04,34617
2017/03/05,27798
2017/03/06,28347
2017/03/07,27978
2017/03/08,21612
2017/03/09,41421
2017/03/10,46498
2017/03/11,44196
2017/03/12,38892
2017/03/13,48504
2017/03/14,54046
2017/03/15,33451
2017/03/16,110700
2017/03/17,131541
2017/03/18,95811
2017/03/19,59966
2017/03/20,67969
2017/03/21,65537
2017/03/22,69853
2017/03/23,29487
2017/03/24,7148
2017/03/25,6582
2017/03/26,6911
2017/03/27,27958
2017/03/28,27978
2017/03/29,28385
2017/03/30,36067
2017/03/31,46925
2017/04/01,48827
2017/04/02,33725
2017/04/03,29791
2017/04/04,31034
2017/04/05,33123
2017/04/06,30782
2017/04/07,20642
2017/04/08,34210
2017/04/09,41894
2017/04/10,35366
2017/04/11,38344
2017/04/12,42558
2017/04/13,31854
2017/04/14,19201
2017/04/15,14559
2017/04/16,21279
