Date,size90roc
2016/01/01,15.084
2016/01/02,22.907
2016/01/03,23.805
2016/01/04,25.645
2016/01/05,72.72
2016/01/06,96.838
2016/01/07,98.845
2016/01/08,38.826
2016/01/09,61.64
2016/01/10,32.541
2016/01/11,29.357
2016/01/12,38.256
2016/01/13,72.693
2016/01/14,28.422
2016/01/15,27.71
2016/01/16,19.124
2016/01/17,10.558
2016/01/18,37.227
2016/01/19,42.963
2016/01/20,22.599
2016/01/21,15.414
2016/01/22,33.326
2016/01/23,20.67
2016/01/24,29.704
2016/01/25,63.834
2016/01/26,52.013
2016/01/27,92.31
2016/01/28,82.362
2016/01/29,61.036
2016/01/30,50.489
2016/01/31,45.715
2016/02/01,28.036
2016/02/02,41.314
2016/02/03,30.266
2016/02/04,33.823
2016/02/05,11.15
2016/02/06,65.261
2016/02/07,30.542
2016/02/08,23.957
2016/02/09,-1.131
2016/02/10,26.58
2016/02/11,58.423
2016/02/12,24.854
2016/02/13,53.258
2016/02/14,45.77
2016/02/15,47.832
2016/02/16,45.769
2016/02/17,43.46
2016/02/18,36.269
2016/02/19,39.059
2016/02/20,28.298
2016/02/21,21.794
2016/02/22,31.61
2016/02/23,38.424
2016/02/24,41.411
2016/02/25,41.035
2016/02/26,66.545
2016/02/27,41.949
2016/02/28,26.339
2016/02/29,38.727
2016/03/01,41.173
2016/03/02,54.02
2016/03/03,55.352
2016/03/04,49.531
2016/03/05,49.913
2016/03/06,76.298
2016/03/07,57.938
2016/03/08,59.478
2016/03/09,56.006
2016/03/10,38.131
2016/03/11,32.163
2016/03/12,63.929
2016/03/13,-20.547
2016/03/14,-18.155
2016/03/15,8.405
2016/03/16,25.008
2016/03/17,34.453
2016/03/18,39.027
2016/03/19,35.401
2016/03/20,23.408
2016/03/21,-26.765
2016/03/22,-1.901
2016/03/23,18.375
2016/03/24,78.712
2016/03/25,50.981
2016/03/26,-2.381
2016/03/27,1.766
2016/03/28,30.674
2016/03/29,-11.154
2016/03/30,48.72
2016/03/31,58.873
2016/04/01,56.533
2016/04/02,29.311
2016/04/03,26.841
2016/04/04,7.607
2016/04/05,-1.593
2016/04/06,-13.739
2016/04/07,30.065
2016/04/08,27.41
2016/04/09,26.26
2016/04/10,21.061
2016/04/11,15.36
2016/04/12,1.982
2016/04/13,39.121
2016/04/14,39.692
2016/04/15,45.984
2016/04/16,37.077
2016/04/17,81.453
2016/04/18,22.067
2016/04/19,37.354
2016/04/20,44.055
2016/04/21,46.41
2016/04/22,42.507
2016/04/23,27.94
2016/04/24,7.349
2016/04/25,13.871
2016/04/26,-14.154
2016/04/27,-7.75
2016/04/28,7.681
2016/04/29,20.705
2016/04/30,39.874
2016/05/01,55.505
2016/05/02,37.403
2016/05/03,36.499
2016/05/04,37.849
2016/05/05,33.051
2016/05/06,-3.117
2016/05/07,34.002
2016/05/08,48.053
2016/05/09,41.385
2016/05/10,33.876
2016/05/11,21.796
2016/05/12,43.472
2016/05/13,36.996
2016/05/14,47.628
2016/05/15,36.64
2016/05/16,32.225
2016/05/17,19.748
2016/05/18,52.22
2016/05/19,36.274
2016/05/20,60.296
2016/05/21,59.189
2016/05/22,37.021
2016/05/23,40.403
2016/05/24,37.832
2016/05/25,49.9
2016/05/26,34.478
2016/05/27,56.692
2016/05/28,123.237
2016/05/29,42.539
2016/05/30,33.447
2016/05/31,32.965
2016/06/01,25.126
2016/06/02,16.339
2016/06/03,8.688
2016/06/04,3.161
2016/06/05,14.646
2016/06/06,14.773
2016/06/07,32.287
2016/06/08,17.634
2016/06/09,21.925
2016/06/10,3.808
2016/06/11,-0.76
2016/06/12,-2.581
2016/06/13,21.366
2016/06/14,30.154
2016/06/15,7.157
2016/06/16,14.315
2016/06/17,43.096
2016/06/18,41.362
2016/06/19,8.433
2016/06/20,12.832
2016/06/21,6.475
2016/06/22,-13.29
2016/06/23,-6.655
2016/06/24,6.499
2016/06/25,12.197
2016/06/26,-7.338
2016/06/27,1.45
2016/06/28,-5.725
2016/06/29,27.512
2016/06/30,58.584
2016/07/01,11.731
2016/07/02,11.061
2016/07/03,-6.549
2016/07/04,-7.395
2016/07/05,9.993
2016/07/06,0.304
2016/07/07,-8.226
2016/07/08,19.946
2016/07/09,10.604
2016/07/10,11.505
2016/07/11,-2.123
2016/07/12,6.049
2016/07/13,-3.477
2016/07/14,8.769
2016/07/15,19.929
2016/07/16,-29.619
2016/07/17,-6.452
2016/07/18,6.096
2016/07/19,10.497
2016/07/20,14.211
2016/07/21,17.929
2016/07/22,29.177
2016/07/23,4.41
2016/07/24,28.469
2016/07/25,29.221
2016/07/26,48.13
2016/07/27,21.149
2016/07/28,13.105
2016/07/29,0.624
2016/07/30,-13.11
2016/07/31,7.102
2016/08/01,7.91
2016/08/02,12.647
