Date,size90wma
2016/01/01,1001
2016/01/02,1002
2016/01/03,1003
2016/01/04,1004
2016/01/05,1014
2016/01/06,1028
2016/01/07,1042
2016/01/08,1044
2016/01/09,1050
2016/01/10,1052
2016/01/11,1054
2016/01/12,1057
2016/01/13,1067
2016/01/14,1069
2016/01/15,1070
2016/01/16,1070
2016/01/17,1068
2016/01/18,1069
2016/01/19,1072
2016/01/20,1071
2016/01/21,1070
2016/01/22,1071
2016/01/23,1069
2016/01/24,1069
2016/01/25,1077
2016/01/26,1082
2016/01/27,1094
2016/01/28,1103
2016/01/29,1109
2016/01/30,1112
2016/01/31,1115
2016/02/01,1116
2016/02/02,1116
2016/02/03,1117
2016/02/04,1118
2016/02/05,1119
2016/02/06,1133
2016/02/07,1132
2016/02/08,1132
2016/02/09,1131
2016/02/10,1132
2016/02/11,1137
2016/02/12,1139
2016/02/13,1142
2016/02/14,1144
2016/02/15,1145
2016/02/16,1146
2016/02/17,1149
2016/02/18,1150
2016/02/19,1151
2016/02/20,1150
2016/02/21,1149
2016/02/22,1148
2016/02/23,1149
2016/02/24,1149
2016/02/25,1149
2016/02/26,1152
2016/02/27,1152
2016/02/28,1151
2016/02/29,1152
2016/03/01,1152
2016/03/02,1154
2016/03/03,1156
2016/03/04,1158
2016/03/05,1162
2016/03/06,1166
2016/03/07,1168
2016/03/08,1169
2016/03/09,1172
2016/03/10,1173
2016/03/11,1173
2016/03/12,1178
2016/03/13,1182
2016/03/14,1189
2016/03/15,1192
2016/03/16,1195
2016/03/17,1200
2016/03/18,1204
2016/03/19,1211
2016/03/20,1216
2016/03/21,1223
2016/03/22,1230
2016/03/23,1237
2016/03/24,1252
2016/03/25,1261
2016/03/26,1268
2016/03/27,1269
2016/03/28,1276
2016/03/29,1280
2016/03/30,1288
2016/03/31,1292
2016/04/01,1298
2016/04/02,1298
2016/04/03,1298
2016/04/04,1304
2016/04/05,1310
2016/04/06,1312
2016/04/07,1316
2016/04/08,1322
2016/04/09,1324
2016/04/10,1324
2016/04/11,1325
2016/04/12,1329
2016/04/13,1334
2016/04/14,1337
2016/04/15,1340
2016/04/16,1339
2016/04/17,1353
2016/04/18,1355
2016/04/19,1356
2016/04/20,1357
2016/04/21,1362
2016/04/22,1362
2016/04/23,1361
2016/04/24,1364
2016/04/25,1366
2016/04/26,1367
2016/04/27,1367
2016/04/28,1369
2016/04/29,1372
2016/04/30,1378
2016/05/01,1386
2016/05/02,1389
2016/05/03,1392
2016/05/04,1396
2016/05/05,1399
2016/05/06,1405
2016/05/07,1406
2016/05/08,1410
2016/05/09,1413
2016/05/10,1416
2016/05/11,1420
2016/05/12,1427
2016/05/13,1434
2016/05/14,1441
2016/05/15,1444
2016/05/16,1447
2016/05/17,1450
2016/05/18,1456
2016/05/19,1460
2016/05/20,1467
2016/05/21,1472
2016/05/22,1474
2016/05/23,1478
2016/05/24,1480
2016/05/25,1485
2016/05/26,1492
2016/05/27,1498
2016/05/28,1520
2016/05/29,1525
2016/05/30,1527
2016/05/31,1529
2016/06/01,1531
2016/06/02,1531
2016/06/03,1530
2016/06/04,1528
2016/06/05,1526
2016/06/06,1525
2016/06/07,1529
2016/06/08,1528
2016/06/09,1528
2016/06/10,1527
2016/06/11,1524
2016/06/12,1523
2016/06/13,1526
2016/06/14,1531
2016/06/15,1531
2016/06/16,1533
2016/06/17,1547
2016/06/18,1559
2016/06/19,1561
2016/06/20,1565
2016/06/21,1568
2016/06/22,1569
2016/06/23,1569
2016/06/24,1572
2016/06/25,1570
2016/06/26,1568
2016/06/27,1566
2016/06/28,1565
2016/06/29,1571
