Date,transactionfees30trxUSD
2016/01/01,1.056
2016/01/02,1.037
2016/01/03,1.009
2016/01/04,0.976
2016/01/05,0.957
2016/01/06,0.953
2016/01/07,0.949
2016/01/08,0.937
2016/01/09,0.933
2016/01/10,0.926
2016/01/11,0.912
2016/01/12,0.897
2016/01/13,0.894
2016/01/14,0.888
2016/01/15,0.88
2016/01/16,0.867
2016/01/17,0.844
2016/01/18,0.828
2016/01/19,0.821
2016/01/20,0.808
2016/01/21,0.793
2016/01/22,0.784
2016/01/23,0.77
2016/01/24,0.768
2016/01/25,0.79
2016/01/26,0.836
2016/01/27,0.916
2016/01/28,1.008
2016/01/29,1.103
2016/01/30,1.202
2016/01/31,1.297
2016/02/01,1.38
2016/02/02,1.447
2016/02/03,1.499
2016/02/04,1.55
2016/02/05,1.604
2016/02/06,1.783
2016/02/07,1.964
2016/02/08,2.123
2016/02/09,2.288
2016/02/10,2.486
2016/02/11,2.663
2016/02/12,2.817
2016/02/13,2.936
2016/02/14,3.014
2016/02/15,3.069
2016/02/16,3.099
2016/02/17,3.102
2016/02/18,3.072
2016/02/19,3.031
2016/02/20,2.968
2016/02/21,2.889
2016/02/22,2.812
2016/02/23,2.858
2016/02/24,2.91
2016/02/25,2.931
2016/02/26,2.951
2016/02/27,2.938
2016/02/28,2.904
2016/02/29,2.856
2016/03/01,2.796
2016/03/02,2.742
2016/03/03,2.69
2016/03/04,2.639
2016/03/05,2.593
2016/03/06,2.555
2016/03/07,2.514
2016/03/08,2.471
2016/03/09,2.417
2016/03/10,2.348
2016/03/11,2.266
2016/03/12,2.184
2016/03/13,2.108
2016/03/14,2.037
2016/03/15,1.962
2016/03/16,1.888
2016/03/17,1.812
2016/03/18,1.729
2016/03/19,1.657
2016/03/20,1.586
2016/03/21,1.516
2016/03/22,1.442
2016/03/23,1.374
2016/03/24,1.314
2016/03/25,1.258
2016/03/26,1.2
2016/03/27,1.131
2016/03/28,1.06
2016/03/29,0.986
2016/03/30,0.922
2016/03/31,0.858
2016/04/01,0.792
2016/04/02,0.723
2016/04/03,0.65
2016/04/04,0.579
2016/04/05,0.509
2016/04/06,0.439
2016/04/07,0.369
2016/04/08,0.301
2016/04/09,0.232
2016/04/10,0.16
2016/04/11,0.087
2016/04/12,0.014
2016/04/13,-0.054
2016/04/14,-0.115
2016/04/15,-0.175
2016/04/16,-0.237
2016/04/17,-0.293
2016/04/18,-0.348
2016/04/19,-0.401
2016/04/20,-0.451
2016/04/21,-0.495
2016/04/22,-0.538
2016/04/23,-0.581
2016/04/24,-0.622
2016/04/25,-0.661
2016/04/26,-0.7
2016/04/27,-0.738
2016/04/28,-0.775
2016/04/29,-0.811
2016/04/30,-0.842
2016/05/01,-0.863
2016/05/02,-0.878
2016/05/03,-0.889
2016/05/04,-0.894
2016/05/05,-0.892
2016/05/06,-0.882
2016/05/07,-0.871
2016/05/08,-0.859
2016/05/09,-0.846
2016/05/10,-0.833
2016/05/11,-0.815
2016/05/12,-0.79
2016/05/13,-0.756
2016/05/14,-0.719
2016/05/15,-0.683
2016/05/16,-0.647
2016/05/17,-0.608
2016/05/18,-0.562
2016/05/19,-0.509
2016/05/20,-0.445
2016/05/21,-0.374
2016/05/22,-0.302
2016/05/23,-0.233
2016/05/24,-0.17
2016/05/25,-0.112
2016/05/26,-0.06
