Date,transactionfees7rocUSD
2016/01/01,-25.287
2016/01/02,-19.036
2016/01/03,-38.776
2016/01/04,-13.216
2016/01/05,43.583
2016/01/06,20.728
2016/01/07,27.078
2016/01/08,29.575
2016/01/09,73.484
2016/01/10,34.183
2016/01/11,12.93
2016/01/12,-22.547
2016/01/13,1.584
2016/01/14,-2.932
2016/01/15,23.129
2016/01/16,-25.533
2016/01/17,-21.862
2016/01/18,37.77
2016/01/19,31.146
2016/01/20,-31.918
2016/01/21,0.711
2016/01/22,17.516
2016/01/23,4.469
2016/01/24,83.936
2016/01/25,58.651
2016/01/26,62.918
2016/01/27,177.406
2016/01/28,112.782
2016/01/29,67.303
2016/01/30,121.202
2016/01/31,43.719
2016/02/01,-5.654
2016/02/02,-22.205
2016/02/03,-35.247
2016/02/04,-6.003
2016/02/05,12.787
2016/02/06,215.592
2016/02/07,75.777
2016/02/08,56.636
2016/02/09,144.844
2016/02/10,217.759
2016/02/11,85.6
2016/02/12,67.149
2016/02/13,-51.499
2016/02/14,-18.488
2016/02/15,22.747
2016/02/16,-18.259
2016/02/17,-43.898
2016/02/18,-35.041
2016/02/19,-16.129
2016/02/20,-23.678
2016/02/21,-10.982
2016/02/22,-6.023
2016/02/23,213.597
2016/02/24,84.073
2016/02/25,46.167
2016/02/26,59.766
2016/02/27,30.683
2016/02/28,36.299
2016/02/29,12.899
2016/03/01,-63.659
2016/03/02,-14.464
2016/03/03,29.322
2016/03/04,-10.434
2016/03/05,49.727
2016/03/06,52.516
2016/03/07,29.798
2016/03/08,26.242
2016/03/09,-15.278
2016/03/10,-27.48
2016/03/11,-28.65
2016/03/12,-19.266
2016/03/13,-13.729
2016/03/14,-2.793
2016/03/15,-21.511
2016/03/16,2.065
2016/03/17,14.881
2016/03/18,-4.736
2016/03/19,19.686
2016/03/20,-13.749
2016/03/21,-16.387
2016/03/22,-11.528
2016/03/23,6.335
2016/03/24,16.526
2016/03/25,34.502
2016/03/26,-22.966
2016/03/27,-39.218
2016/03/28,-19.866
2016/03/29,-11.643
2016/03/30,-1.462
2016/03/31,-28.598
2016/04/01,-28.658
2016/04/02,-31.995
2016/04/03,1.746
2016/04/04,-8.543
2016/04/05,-3.965
2016/04/06,-40.346
2016/04/07,-23.548
2016/04/08,-13.45
2016/04/09,-14.622
2016/04/10,-25.341
2016/04/11,-35.054
2016/04/12,-33.546
2016/04/13,-0.457
2016/04/14,9.613
2016/04/15,-23.86
2016/04/16,-22.279
2016/04/17,33.573
2016/04/18,4.173
2016/04/19,1.759
2016/04/20,-12.748
2016/04/21,-9.51
2016/04/22,-6.706
2016/04/23,4.828
2016/04/24,-22.256
2016/04/25,-3.418
2016/04/26,-8.108
2016/04/27,-26.111
2016/04/28,-29.254
2016/04/29,-9.815
2016/04/30,18.312
2016/05/01,49.551
2016/05/02,19.847
2016/05/03,40.526
2016/05/04,51.455
2016/05/05,57.078
2016/05/06,76.205
2016/05/07,8.522
2016/05/08,-17.076
2016/05/09,2.4
2016/05/10,-7.067
2016/05/11,7.899
2016/05/12,15.004
2016/05/13,15.884
2016/05/14,25.453
2016/05/15,9.965
2016/05/16,20.115
2016/05/17,30.338
2016/05/18,31.743
2016/05/19,17.298
2016/05/20,26.22
2016/05/21,41.499
2016/05/22,41.608
2016/05/23,22.91
2016/05/24,4.685
2016/05/25,-11.587
2016/05/26,-16.593
2016/05/27,-27.34
2016/05/28,17.11
2016/05/29,-2.283
2016/05/30,-2.9
2016/05/31,7.441
2016/06/01,17.372
2016/06/02,4.215
2016/06/03,-1.448
2016/06/04,-32.973
2016/06/05,-15.292
2016/06/06,-0.488
2016/06/07,120.404
2016/06/08,-0.835
2016/06/09,15.665
2016/06/10,17.051
2016/06/11,16.06
2016/06/12,16.422
2016/06/13,44.268
2016/06/14,-32.361
2016/06/15,26.804
2016/06/16,75.69
2016/06/17,490.088
2016/06/18,443.272
2016/06/19,28.467
2016/06/20,-2.916
2016/06/21,50.858
2016/06/22,16.371
2016/06/23,-45.808
2016/06/24,-79.815
2016/06/25,-80.242
2016/06/26,-28.857
2016/06/27,-24.917
2016/06/28,-53.434
2016/06/29,-7.792
2016/06/30,72.208
2016/07/01,14.155
2016/07/02,-31.884
2016/07/03,-0.235
2016/07/04,-19.994
2016/07/05,-17.625
2016/07/06,-40.176
2016/07/07,-61.311
2016/07/08,-29.802
2016/07/09,78.698
2016/07/10,-16.811
2016/07/11,0.994
2016/07/12,4.678
2016/07/13,-12.78
2016/07/14,26.602
2016/07/15,-12.681
2016/07/16,-44.581
2016/07/17,-14.387
2016/07/18,-5.079
2016/07/19,-11.388
2016/07/20,149.756
2016/07/21,12.865
2016/07/22,23.368
2016/07/23,43.63
2016/07/24,31.402
2016/07/25,29.134
2016/07/26,26.507
2016/07/27,-49.502
2016/07/28,77.406
2016/07/29,17.905
2016/07/30,-14.756
2016/07/31,-11.713
2016/08/01,-19.927
2016/08/02,-25.094
2016/08/03,-29.744
2016/08/04,-55.716
2016/08/05,-39.32
2016/08/06,-25.587
2016/08/07,-7.17
2016/08/08,79.196
2016/08/09,10.538
2016/08/10,37.346
2016/08/11,6.322
2016/08/12,7.908
2016/08/13,5.995
2016/08/14,-2.855
2016/08/15,-47.802
2016/08/16,-9.13
2016/08/17,-20.112
2016/08/18,3.951
2016/08/19,-7.038
2016/08/20,0.3
2016/08/21,10.708
2016/08/22,5.581
2016/08/23,132.37
2016/08/24,0.83
2016/08/25,-11.22
2016/08/26,1.154
2016/08/27,-6.336
2016/08/28,-11.802
2016/08/29,-6.402
2016/08/30,-53.687
2016/08/31,4.797
2016/09/01,11.661
2016/09/02,30.399
2016/09/03,7.994
2016/09/04,79.396
2016/09/05,10.771
2016/09/06,3.085
2016/09/07,9.683
2016/09/08,3.73
2016/09/09,-8.941
2016/09/10,3.329
2016/09/11,-34.584
2016/09/12,16.541
2016/09/13,8.829
2016/09/14,-1.177
2016/09/15,-1.954
2016/09/16,11.103
2016/09/17,27.207
2016/09/18,27.752
2016/09/19,-3.913
2016/09/20,-2.962
2016/09/21,16.202
2016/09/22,90.368
2016/09/23,85.974
2016/09/24,124.403
2016/09/25,125.3
2016/09/26,290.183
2016/09/27,230.51
2016/09/28,125.839
2016/09/29,-14.797
2016/09/30,-20.152
2016/10/01,6.045
2016/10/02,0.137
2016/10/03,-46.575
2016/10/04,-26.654
2016/10/05,-3.781
2016/10/06,31.034
2016/10/07,5.146
2016/10/08,-18.802
2016/10/09,-26.103
2016/10/10,-21.567
2016/10/11,-43.434
2016/10/12,-14.295
2016/10/13,137.09
2016/10/14,37.423
2016/10/15,32.609
2016/10/16,37.149
2016/10/17,55.35
2016/10/18,103.978
2016/10/19,69.58
2016/10/20,-63.334
2016/10/21,-59.027
2016/10/22,-63.72
2016/10/23,-60.911
2016/10/24,-50.515
2016/10/25,-55.029
2016/10/26,-69.544
2016/10/27,-43.878
2016/10/28,10.997
2016/10/29,-6.173
2016/10/30,-7.658
2016/10/31,-25.173
2016/11/01,-14.202
2016/11/02,-18.829
2016/11/03,-10.833
2016/11/04,-24.913
2016/11/05,-12.947
2016/11/06,-9.908
2016/11/07,-8.925
2016/11/08,-8.612
2016/11/09,25.343
2016/11/10,21.59
2016/11/11,53.272
2016/11/12,5.318
2016/11/13,5.201
2016/11/14,16.136
2016/11/15,0.19
2016/11/16,-7.062
2016/11/17,-19.911
2016/11/18,-31.462
2016/11/19,-10.148
2016/11/20,-5.37
2016/11/21,-9.785
2016/11/22,-14.492
2016/11/23,47.615
2016/11/24,103.443
2016/11/25,25.91
2016/11/26,143.322
2016/11/27,216.846
2016/11/28,181.44
2016/11/29,152.546
2016/11/30,-39.64
2016/12/01,-59.163
2016/12/02,-44.465
2016/12/03,-70.306
2016/12/04,-78.365
2016/12/05,-75.559
2016/12/06,-72.264
2016/12/07,-14.38
2016/12/08,2643
2016/12/09,18.097
2016/12/10,20.155
2016/12/11,51.397
2016/12/12,23.723
2016/12/13,18.11
2016/12/14,-5.168
2016/12/15,-96.499
2016/12/16,-14.106
2016/12/17,7.093
2016/12/18,-22.982
2016/12/19,-8.134
2016/12/20,29.92
2016/12/21,35.412
2016/12/22,-9.914
2016/12/23,-9.959
2016/12/24,-21.978
2016/12/25,-19.543
2016/12/26,-21.774
2016/12/27,-18.476
2016/12/28,-37.23
2016/12/29,32.301
2016/12/30,68.932
2016/12/31,12.089
2017/01/01,12.857
2017/01/02,20.304
2017/01/03,25.652
2017/01/04,55.713
2017/01/05,4.036
2017/01/06,-13.496
2017/01/07,21.962
2017/01/08,43.706
2017/01/09,39.715
2017/01/10,8.088
2017/01/11,-5.565
2017/01/12,-5.411
2017/01/13,-5.724
