Date,transactionfees90rsiUSD
2016/01/01,34.48
2016/01/02,34.633
2016/01/03,34.646
2016/01/04,34.737
2016/01/05,35.732
2016/01/06,35.883
2016/01/07,35.549
2016/01/08,35.317
2016/01/09,36.159
2016/01/10,35.848
2016/01/11,35.73
2016/01/12,35.951
2016/01/13,36.731
2016/01/14,36.321
2016/01/15,36.353
2016/01/16,36.239
2016/01/17,36.04
2016/01/18,36.954
2016/01/19,37.127
2016/01/20,36.691
2016/01/21,36.883
2016/01/22,37.279
2016/01/23,36.987
2016/01/24,37.888
2016/01/25,38.921
2016/01/26,39.301
2016/01/27,40.262
2016/01/28,39.725
2016/01/29,39.531
2016/01/30,39.795
2016/01/31,39.614
2016/02/01,39.323
2016/02/02,39.096
2016/02/03,39.173
2016/02/04,39.949
2016/02/05,40.445
2016/02/06,48.508
2016/02/07,44.158
2016/02/08,43.279
2016/02/09,45.06
2016/02/10,46.938
2016/02/11,45.133
2016/02/12,45.17
2016/02/13,44.572
2016/02/14,44.108
2016/02/15,44.923
2016/02/16,44.693
2016/02/17,44.358
2016/02/18,43.772
2016/02/19,44.834
2016/02/20,44.056
2016/02/21,44.14
2016/02/22,45.107
2016/02/23,53.481
2016/02/24,48.388
2016/02/25,46.62
2016/02/26,48.167
2016/02/27,46.527
2016/02/28,46.749
2016/02/29,46.914
2016/03/01,46.961
2016/03/02,47.931
2016/03/03,47.903
2016/03/04,47.836
2016/03/05,48.188
2016/03/06,48.622
2016/03/07,48.066
2016/03/08,47.998
2016/03/09,47.309
2016/03/10,46.757
2016/03/11,46.658
2016/03/12,47.407
2016/03/13,48.074
2016/03/14,48.092
2016/03/15,47.187
2016/03/16,47.567
2016/03/17,47.402
2016/03/18,46.68
2016/03/19,48.396
2016/03/20,47.666
2016/03/21,47.565
2016/03/22,46.991
2016/03/23,48.066
2016/03/24,48.28
2016/03/25,47.967
2016/03/26,47.477
2016/03/27,46.329
2016/03/28,47.041
2016/03/29,46.835
2016/03/30,48.225
2016/03/31,47.29
2016/04/01,47.074
2016/04/02,46.628
2016/04/03,46.601
2016/04/04,46.994
2016/04/05,46.926
2016/04/06,46.706
2016/04/07,46.645
2016/04/08,46.773
2016/04/09,46.342
2016/04/10,46.07
2016/04/11,46.076
2016/04/12,46.07
2016/04/13,46.83
2016/04/14,47.033
2016/04/15,46.316
2016/04/16,46.012
2016/04/17,46.912
2016/04/18,46.391
2016/04/19,46.342
2016/04/20,46.711
2016/04/21,46.99
2016/04/22,46.384
2016/04/23,46.284
2016/04/24,46.487
2016/04/25,46.432
2016/04/26,46.294
2016/04/27,46.196
2016/04/28,46.323
2016/04/29,46.246
2016/04/30,46.726
2016/05/01,47.685
2016/05/02,47.013
2016/05/03,47.241
2016/05/04,47.293
2016/05/05,47.603
2016/05/06,47.844
2016/05/07,47.088
2016/05/08,47.261
2016/05/09,47.162
2016/05/10,47.126
2016/05/11,47.634
2016/05/12,48.214
2016/05/13,48.528
2016/05/14,47.855
2016/05/15,47.641
2016/05/16,47.806
2016/05/17,48.046
2016/05/18,48.757
2016/05/19,48.966
2016/05/20,49.708
2016/05/21,49.329
2016/05/22,49.012
2016/05/23,48.623
2016/05/24,48.267
2016/05/25,48.301
2016/05/26,48.26
2016/05/27,48.317
2016/05/28,50.259
2016/05/29,49.011
2016/05/30,48.607
2016/05/31,48.641
2016/06/01,49.066
2016/06/02,48.531
2016/06/03,48.374
2016/06/04,48.435
2016/06/05,48.374
2016/06/06,48.633
2016/06/07,53.443
2016/06/08,49.189
2016/06/09,49.287
2016/06/10,49.169
2016/06/11,49.196
2016/06/12,49.145
2016/06/13,50.43
2016/06/14,50.674
2016/06/15,50.28
2016/06/16,52.353
2016/06/17,63.978
2016/06/18,62.355
2016/06/19,49.915
2016/06/20,49.905
2016/06/21,51.776
2016/06/22,50.379
2016/06/23,49.224
2016/06/24,49.711
2016/06/25,49.459
2016/06/26,49.067
2016/06/27,49.178
2016/06/28,49.198
2016/06/29,50.156
2016/06/30,50.897
2016/07/01,50.122
2016/07/02,48.703
2016/07/03,49.101
2016/07/04,48.782
2016/07/05,48.852
2016/07/06,48.911
2016/07/07,48.533
2016/07/08,49.256
2016/07/09,50.107
2016/07/10,48.819
2016/07/11,48.862
2016/07/12,49.003
2016/07/13,48.734
2016/07/14,49.008
2016/07/15,49.023
2016/07/16,48.777
2016/07/17,48.58
2016/07/18,48.799
2016/07/19,48.808
2016/07/20,51.342
2016/07/21,49.338
2016/07/22,49.559
2016/07/23,49.603
2016/07/24,49.141
2016/07/25,49.377
2016/07/26,49.343
2016/07/27,49.269
2016/07/28,51.068
2016/07/29,50.014
2016/07/30,49.274
2016/07/31,48.944
2016/08/01,48.966
2016/08/02,48.827
2016/08/03,48.675
2016/08/04,48.924
2016/08/05,48.929
2016/08/06,48.758
2016/08/07,48.836
2016/08/08,50.477
2016/08/09,49.069
2016/08/10,49.307
2016/08/11,49.095
2016/08/12,49.129
2016/08/13,48.913
2016/08/14,48.843
2016/08/15,48.929
2016/08/16,48.91
2016/08/17,48.893
2016/08/18,49.199
2016/08/19,49.014
2016/08/20,48.932
2016/08/21,49.043
2016/08/22,49.046
2016/08/23,51.355
2016/08/24,48.987
2016/08/25,49.038
2016/08/26,49.106
2016/08/27,48.893
2016/08/28,48.888
2016/08/29,48.997
2016/08/30,49.142
2016/08/31,49.088
2016/09/01,49.278
2016/09/02,49.738
2016/09/03,49.051
2016/09/04,50.307
2016/09/05,49.241
2016/09/06,49.246
2016/09/07,49.318
2016/09/08,49.398
2016/09/09,49.542
2016/09/10,49.143
2016/09/11,49.242
2016/09/12,49.607
2016/09/13,49.448
2016/09/14,49.306
2016/09/15,49.37
2016/09/16,49.849
2016/09/17,49.718
2016/09/18,49.862
2016/09/19,49.517
2016/09/20,49.38
2016/09/21,49.685
2016/09/22,51.501
2016/09/23,52.259
2016/09/24,53.003
2016/09/25,53.324
2016/09/26,56.248
2016/09/27,54.252
2016/09/28,52.501
2016/09/29,50.504
2016/09/30,50.843
2016/10/01,52.696
2016/10/02,52.686
2016/10/03,51.606
2016/10/04,52.033
2016/10/05,52.073
2016/10/06,51.377
2016/10/07,50.868
2016/10/08,51.539
2016/10/09,51.115
2016/10/10,50.539
2016/10/11,49.806
2016/10/12,51.252
2016/10/13,56.38
2016/10/14,51.773
2016/10/15,52.347
2016/10/16,52.035
2016/10/17,51.921
2016/10/18,52.102
2016/10/19,53.321
2016/10/20,50.382
2016/10/21,49.128
2016/10/22,49.142
2016/10/23,49.163
2016/10/24,49.583
2016/10/25,49.466
2016/10/26,49.18
2016/10/27,49.098
2016/10/28,49.333
2016/10/29,49.045
2016/10/30,49.039
2016/10/31,49.042
2016/11/01,49.191
2016/11/02,48.847
2016/11/03,48.922
2016/11/04,48.85
2016/11/05,48.831
2016/11/06,48.881
2016/11/07,48.902
2016/11/08,49.054
2016/11/09,49.271
2016/11/10,49.306
2016/11/11,49.741
2016/11/12,48.933
2016/11/13,48.986
2016/11/14,49.202
2016/11/15,49.081
2016/11/16,49.15
2016/11/17,48.906
2016/11/18,48.96
2016/11/19,48.762
2016/11/20,48.905
2016/11/21,49.026
2016/11/22,48.817
2016/11/23,50.185
2016/11/24,50.809
2016/11/25,49.483
2016/11/26,51.115
2016/11/27,52.64
2016/11/28,52.338
2016/11/29,51.277
2016/11/30,48.994
2016/12/01,48.694
2016/12/02,48.516
2016/12/03,48.422
2016/12/04,48.455
2016/12/05,48.538
2016/12/06,48.425
2016/12/07,48.799
2016/12/08,70.976
2016/12/09,49.343
2016/12/10,49.305
2016/12/11,49.475
2016/12/12,49.383
2016/12/13,49.296
2016/12/14,49.33
2016/12/15,49.31
2016/12/16,49.26
2016/12/17,49.353
