Date,transactionfeesUSD
2016/01/01,0.00182
2016/01/02,0.00204
2016/01/03,0.00206
2016/01/04,0.00219
2016/01/05,0.00358
2016/01/06,0.0038
2016/01/07,0.00295
2016/01/08,0.00236
2016/01/09,0.00354
2016/01/10,0.00276
2016/01/11,0.00247
2016/01/12,0.00277
2016/01/13,0.00386
2016/01/14,0.00287
2016/01/15,0.00291
2016/01/16,0.00264
2016/01/17,0.00216
2016/01/18,0.0034
2016/01/19,0.00364
2016/01/20,0.00263
2016/01/21,0.00289
2016/01/22,0.00342
2016/01/23,0.00275
2016/01/24,0.00397
2016/01/25,0.0054
2016/01/26,0.00593
2016/01/27,0.00728
2016/01/28,0.00614
2016/01/29,0.00572
2016/01/30,0.00609
2016/01/31,0.00571
2016/02/01,0.00509
2016/02/02,0.00461
2016/02/03,0.00472
2016/02/04,0.00577
2016/02/05,0.00645
2016/02/06,0.0192
2016/02/07,0.01
2016/02/08,0.00798
2016/02/09,0.0113
2016/02/10,0.015
2016/02/11,0.0107
2016/02/12,0.0108
2016/02/13,0.00933
2016/02/14,0.00818
2016/02/15,0.00979
2016/02/16,0.00923
2016/02/17,0.00841
2016/02/18,0.00696
2016/02/19,0.00905
2016/02/20,0.00712
2016/02/21,0.00728
2016/02/22,0.0092
2016/02/23,0.0289
2016/02/24,0.0155
2016/02/25,0.0102
2016/02/26,0.0145
2016/02/27,0.0093
2016/02/28,0.00993
2016/02/29,0.0104
2016/03/01,0.0105
2016/03/02,0.0132
2016/03/03,0.0132
2016/03/04,0.0129
2016/03/05,0.0139
2016/03/06,0.0151
2016/03/07,0.0135
2016/03/08,0.0133
2016/03/09,0.0112
2016/03/10,0.00954
2016/03/11,0.00924
2016/03/12,0.0112
2016/03/13,0.0131
2016/03/14,0.0131
2016/03/15,0.0104
2016/03/16,0.0114
2016/03/17,0.011
2016/03/18,0.0088
2016/03/19,0.0135
2016/03/20,0.0113
2016/03/21,0.011
2016/03/22,0.00922
2016/03/23,0.0122
2016/03/24,0.0128
2016/03/25,0.0118
2016/03/26,0.0104
2016/03/27,0.00685
2016/03/28,0.00878
2016/03/29,0.00815
2016/03/30,0.012
2016/03/31,0.00912
2016/04/01,0.00844
2016/04/02,0.00705
2016/04/03,0.00697
2016/04/04,0.00803
2016/04/05,0.00783
2016/04/06,0.00716
2016/04/07,0.00697
2016/04/08,0.00731
2016/04/09,0.00602
2016/04/10,0.0052
2016/04/11,0.00522
2016/04/12,0.0052
2016/04/13,0.00712
2016/04/14,0.00764
2016/04/15,0.00556
2016/04/16,0.00468
2016/04/17,0.00695
2016/04/18,0.00543
2016/04/19,0.00529
2016/04/20,0.00621
2016/04/21,0.00691
2016/04/22,0.00519
2016/04/23,0.0049
2016/04/24,0.0054
2016/04/25,0.00525
2016/04/26,0.00486
2016/04/27,0.00459
2016/04/28,0.00489
2016/04/29,0.00468
2016/04/30,0.0058
2016/05/01,0.00808
2016/05/02,0.00629
2016/05/03,0.00683
2016/05/04,0.00695
2016/05/05,0.00768
2016/05/06,0.00825
2016/05/07,0.0063
2016/05/08,0.0067
2016/05/09,0.00644
2016/05/10,0.00635
2016/05/11,0.0075
2016/05/12,0.00884
2016/05/13,0.00956
2016/05/14,0.0079
2016/05/15,0.00737
2016/05/16,0.00774
2016/05/17,0.00828
2016/05/18,0.00989
2016/05/19,0.0104
2016/05/20,0.0121
2016/05/21,0.0112
2016/05/22,0.0104
2016/05/23,0.00951
2016/05/24,0.00866
2016/05/25,0.00874
2016/05/26,0.00864
2016/05/27,0.00877
2016/05/28,0.0131
2016/05/29,0.0102
2016/05/30,0.00923
2016/05/31,0.00931
2016/06/01,0.0103
2016/06/02,0.00901
2016/06/03,0.00864
2016/06/04,0.00877
2016/06/05,0.00863
2016/06/06,0.00919
2016/06/07,0.0205
2016/06/08,0.0102
2016/06/09,0.0104
2016/06/10,0.0101
2016/06/11,0.0102
2016/06/12,0.0101
2016/06/13,0.0133
2016/06/14,0.0139
2016/06/15,0.0129
2016/06/16,0.0183
2016/06/17,0.0597
2016/06/18,0.0553
2016/06/19,0.0129
2016/06/20,0.0129
2016/06/21,0.0209
2016/06/22,0.015
2016/06/23,0.00992
2016/06/24,0.012
2016/06/25,0.0109
2016/06/26,0.00919
2016/06/27,0.00966
2016/06/28,0.00975
2016/06/29,0.0138
2016/06/30,0.0171
2016/07/01,0.0138
2016/07/02,0.00744
2016/07/03,0.00916
2016/07/04,0.00773
2016/07/05,0.00803
2016/07/06,0.00828
2016/07/07,0.00661
2016/07/08,0.00965
2016/07/09,0.0133
2016/07/10,0.00762
2016/07/11,0.00781
2016/07/12,0.00841
2016/07/13,0.00722
2016/07/14,0.00837
2016/07/15,0.00843
2016/07/16,0.00737
2016/07/17,0.00653
2016/07/18,0.00741
2016/07/19,0.00745
2016/07/20,0.018
2016/07/21,0.00944
2016/07/22,0.0104
2016/07/23,0.0106
2016/07/24,0.00858
2016/07/25,0.00957
2016/07/26,0.00942
2016/07/27,0.00911
2016/07/28,0.0168
2016/07/29,0.0123
2016/07/30,0.00903
2016/07/31,0.00757
2016/08/01,0.00766
2016/08/02,0.00706
2016/08/03,0.0064
2016/08/04,0.00742
2016/08/05,0.00744
2016/08/06,0.00672
2016/08/07,0.00703
2016/08/08,0.0137
2016/08/09,0.0078
2016/08/10,0.00879
2016/08/11,0.00789
2016/08/12,0.00803
2016/08/13,0.00712
2016/08/14,0.00683
2016/08/15,0.00717
2016/08/16,0.00709
2016/08/17,0.00702
2016/08/18,0.0082
2016/08/19,0.00746
2016/08/20,0.00714
2016/08/21,0.00756
2016/08/22,0.00757
2016/08/23,0.0165
2016/08/24,0.00708
2016/08/25,0.00728
2016/08/26,0.00755
2016/08/27,0.00669
2016/08/28,0.00667
2016/08/29,0.00708
2016/08/30,0.00763
2016/08/31,0.00742
2016/09/01,0.00813
2016/09/02,0.00984
2016/09/03,0.00722
2016/09/04,0.012
2016/09/05,0.00785
2016/09/06,0.00787
2016/09/07,0.00814
2016/09/08,0.00843
2016/09/09,0.00896
2016/09/10,0.00746
2016/09/11,0.00782
2016/09/12,0.00914
2016/09/13,0.00856
2016/09/14,0.00804
2016/09/15,0.00827
2016/09/16,0.00996
2016/09/17,0.00949
2016/09/18,0.01
2016/09/19,0.00879
2016/09/20,0.00831
2016/09/21,0.00935
2016/09/22,0.0157
2016/09/23,0.0185
2016/09/24,0.0213
2016/09/25,0.0225
2016/09/26,0.0343
2016/09/27,0.0275
2016/09/28,0.0211
2016/09/29,0.0134
2016/09/30,0.0148
2016/10/01,0.0226
2016/10/02,0.0226
2016/10/03,0.0183
2016/10/04,0.0201
2016/10/05,0.0203
2016/10/06,0.0176
2016/10/07,0.0156
2016/10/08,0.0183
2016/10/09,0.0167
2016/10/10,0.0144
2016/10/11,0.0114
2016/10/12,0.0174
2016/10/13,0.0417
2016/10/14,0.0214
