Date,transactions
2016/01/01,8233
2016/01/02,9164
2016/01/03,9258
2016/01/04,9474
2016/01/05,16430
2016/01/06,17074
2016/01/07,22075
2016/01/08,10919
2016/01/09,11793
2016/01/10,10320
2016/01/11,10893
2016/01/12,10862
2016/01/13,17665
2016/01/14,10653
2016/01/15,9875
2016/01/16,10664
2016/01/17,9747
2016/01/18,12916
2016/01/19,13420
2016/01/20,10610
2016/01/21,10734
2016/01/22,13848
2016/01/23,11025
2016/01/24,12798
2016/01/25,17121
2016/01/26,16511
2016/01/27,18747
2016/01/28,16765
2016/01/29,16395
2016/01/30,14661
2016/01/31,14166
2016/02/01,14199
2016/02/02,14291
2016/02/03,14274
2016/02/04,14371
2016/02/05,15249
2016/02/06,31418
2016/02/07,14264
2016/02/08,14719
2016/02/09,15517
2016/02/10,17141
2016/02/11,21440
2016/02/12,18109
2016/02/13,19327
2016/02/14,16624
2016/02/15,17159
2016/02/16,17549
2016/02/17,19990
2016/02/18,16969
2016/02/19,18412
2016/02/20,16714
2016/02/21,17119
2016/02/22,18190
2016/02/23,18482
2016/02/24,19540
2016/02/25,19503
2016/02/26,21068
2016/02/27,18981
2016/02/28,19063
2016/02/29,20358
2016/03/01,21778
2016/03/02,23562
2016/03/03,24837
2016/03/04,24287
2016/03/05,27115
2016/03/06,27661
2016/03/07,23271
2016/03/08,24105
2016/03/09,24557
2016/03/10,24814
2016/03/11,23124
2016/03/12,27887
2016/03/13,28127
2016/03/14,28528
2016/03/15,29273
2016/03/16,27596
2016/03/17,33531
2016/03/18,31821
2016/03/19,34779
2016/03/20,32447
2016/03/21,32511
2016/03/22,32890
2016/03/23,31786
2016/03/24,36947
2016/03/25,36762
2016/03/26,36646
2016/03/27,29974
2016/03/28,33613
2016/03/29,33915
2016/03/30,36767
2016/03/31,32259
2016/04/01,33320
2016/04/02,29358
2016/04/03,29588
2016/04/04,34907
2016/04/05,39173
2016/04/06,32078
2016/04/07,31893
2016/04/08,34010
2016/04/09,31923
2016/04/10,32237
2016/04/11,30327
