Date,transactions14ema
2016/01/01,13074
2016/01/02,12552
2016/01/03,12113
2016/01/04,11761
2016/01/05,12384
2016/01/06,13009
2016/01/07,14218
2016/01/08,13778
2016/01/09,13513
2016/01/10,13088
2016/01/11,12795
2016/01/12,12537
2016/01/13,13221
2016/01/14,12879
2016/01/15,12478
2016/01/16,12236
2016/01/17,11904
2016/01/18,12039
2016/01/19,12223
2016/01/20,12008
2016/01/21,11838
2016/01/22,12106
2016/01/23,11962
2016/01/24,12074
2016/01/25,12747
2016/01/26,13248
2016/01/27,13982
2016/01/28,14353
2016/01/29,14625
2016/01/30,14630
2016/01/31,14568
2016/02/01,14519
2016/02/02,14488
2016/02/03,14460
2016/02/04,14448
2016/02/05,14555
2016/02/06,16803
2016/02/07,16465
2016/02/08,16232
2016/02/09,16137
2016/02/10,16271
2016/02/11,16960
2016/02/12,17113
2016/02/13,17408
2016/02/14,17304
2016/02/15,17284
2016/02/16,17320
2016/02/17,17676
2016/02/18,17581
2016/02/19,17692
2016/02/20,17562
2016/02/21,17503
2016/02/22,17594
2016/02/23,17713
2016/02/24,17956
2016/02/25,18163
2016/02/26,18550
2016/02/27,18607
2016/02/28,18668
2016/02/29,18893
2016/03/01,19278
2016/03/02,19849
2016/03/03,20514
2016/03/04,21017
2016/03/05,21830
2016/03/06,22608
2016/03/07,22696
2016/03/08,22884
2016/03/09,23107
2016/03/10,23335
2016/03/11,23307
2016/03/12,23917
2016/03/13,24479
2016/03/14,25019
2016/03/15,25586
2016/03/16,25854
2016/03/17,26877
2016/03/18,27537
2016/03/19,28502
2016/03/20,29028
2016/03/21,29493
2016/03/22,29946
2016/03/23,30191
2016/03/24,31092
2016/03/25,31848
2016/03/26,32488
2016/03/27,32152
2016/03/28,32347
2016/03/29,32556
2016/03/30,33118
2016/03/31,33003
2016/04/01,33045
2016/04/02,32554
2016/04/03,32158
2016/04/04,32525
2016/04/05,33411
2016/04/06,33233
2016/04/07,33055
2016/04/08,33182
2016/04/09,33014
