Date,transactions30trx
2016/01/01,1.315
2016/01/02,1.312
2016/01/03,1.293
2016/01/04,1.264
2016/01/05,1.247
2016/01/06,1.242
2016/01/07,1.261
2016/01/08,1.265
2016/01/09,1.258
2016/01/10,1.238
2016/01/11,1.21
2016/01/12,1.175
2016/01/13,1.154
2016/01/14,1.125
2016/01/15,1.086
2016/01/16,1.043
2016/01/17,0.994
2016/01/18,0.95
2016/01/19,0.911
2016/01/20,0.868
2016/01/21,0.824
2016/01/22,0.787
2016/01/23,0.748
2016/01/24,0.713
2016/01/25,0.692
2016/01/26,0.681
2016/01/27,0.684
2016/01/28,0.692
2016/01/29,0.703
2016/01/30,0.711
2016/01/31,0.717
2016/02/01,0.719
2016/02/02,0.719
2016/02/03,0.716
2016/02/04,0.712
2016/02/05,0.709
2016/02/06,0.743
2016/02/07,0.767
2016/02/08,0.783
2016/02/09,0.793
2016/02/10,0.804
2016/02/11,0.822
2016/02/12,0.84
2016/02/13,0.858
2016/02/14,0.871
2016/02/15,0.88
2016/02/16,0.886
2016/02/17,0.895
2016/02/18,0.899
2016/02/19,0.902
2016/02/20,0.9
2016/02/21,0.895
2016/02/22,0.888
2016/02/23,0.882
2016/02/24,0.878
2016/02/25,0.874
2016/02/26,0.874
2016/02/27,0.873
2016/02/28,0.87
2016/02/29,0.868
2016/03/01,0.87
2016/03/02,0.877
2016/03/03,0.89
2016/03/04,0.907
2016/03/05,0.931
2016/03/06,0.962
2016/03/07,0.988
2016/03/08,1.011
2016/03/09,1.032
2016/03/10,1.052
2016/03/11,1.066
2016/03/12,1.083
2016/03/13,1.102
2016/03/14,1.124
2016/03/15,1.146
2016/03/16,1.167
2016/03/17,1.194
2016/03/18,1.223
2016/03/19,1.257
2016/03/20,1.289
2016/03/21,1.32
2016/03/22,1.349
2016/03/23,1.373
2016/03/24,1.4
2016/03/25,1.427
2016/03/26,1.455
2016/03/27,1.47
2016/03/28,1.482
2016/03/29,1.489
2016/03/30,1.496
2016/03/31,1.496
2016/04/01,1.491
2016/04/02,1.476
2016/04/03,1.455
2016/04/04,1.434
2016/04/05,1.419
2016/04/06,1.399
2016/04/07,1.374
2016/04/08,1.349
2016/04/09,1.321
2016/04/10,1.291
2016/04/11,1.256
2016/04/12,1.224
2016/04/13,1.194
2016/04/14,1.166
2016/04/15,1.139
2016/04/16,1.107
2016/04/17,1.083
2016/04/18,1.058
2016/04/19,1.03
2016/04/20,1.001
2016/04/21,0.976
2016/04/22,0.948
2016/04/23,0.918
2016/04/24,0.889
2016/04/25,0.862
2016/04/26,0.834
2016/04/27,0.806
2016/04/28,0.78
2016/04/29,0.757
2016/04/30,0.745
2016/05/01,0.737
2016/05/02,0.732
2016/05/03,0.727
2016/05/04,0.721
2016/05/05,0.716
2016/05/06,0.713
2016/05/07,0.706
2016/05/08,0.701
2016/05/09,0.695
2016/05/10,0.69
2016/05/11,0.686
2016/05/12,0.686
2016/05/13,0.692
2016/05/14,0.699
2016/05/15,0.707
2016/05/16,0.708
2016/05/17,0.707
2016/05/18,0.708
2016/05/19,0.71
2016/05/20,0.713
2016/05/21,0.714
2016/05/22,0.711
2016/05/23,0.707
2016/05/24,0.702
2016/05/25,0.7
2016/05/26,0.702
