Date,transactions3roc
2016/01/01,-27.514
2016/01/02,-57.9
2016/01/03,-10.125
2016/01/04,15.073
2016/01/05,79.289
2016/01/06,84.424
2016/01/07,133.006
2016/01/08,-33.542
2016/01/09,-30.93
2016/01/10,-53.25
2016/01/11,-0.238
2016/01/12,-7.895
2016/01/13,71.172
2016/01/14,-2.203
2016/01/15,-9.087
2016/01/16,-39.632
2016/01/17,-8.505
2016/01/18,30.795
2016/01/19,25.844
2016/01/20,8.854
2016/01/21,-16.894
2016/01/22,3.189
2016/01/23,3.911
2016/01/24,19.229
2016/01/25,23.635
2016/01/26,49.76
2016/01/27,46.484
2016/01/28,-2.079
2016/01/29,-0.703
2016/01/30,-21.795
2016/01/31,-15.503
2016/02/01,-13.394
2016/02/02,-2.524
2016/02/03,0.762
2016/02/04,1.211
2016/02/05,6.704
2016/02/06,120.106
2016/02/07,-0.745
2016/02/08,-3.476
2016/02/09,-50.611
2016/02/10,20.17
2016/02/11,45.662
2016/02/12,16.704
2016/02/13,12.753
2016/02/14,-22.463
2016/02/15,-5.246
2016/02/16,-9.2
2016/02/17,20.248
2016/02/18,-1.107
2016/02/19,4.918
2016/02/20,-16.388
2016/02/21,0.884
2016/02/22,-1.206
2016/02/23,10.578
2016/02/24,14.142
2016/02/25,7.218
2016/02/26,13.992
2016/02/27,-2.861
2016/02/28,-2.256
2016/02/29,-3.37
2016/03/01,14.736
2016/03/02,23.601
2016/03/03,22.001
2016/03/04,11.521
2016/03/05,15.079
2016/03/06,11.37
2016/03/07,-4.183
2016/03/08,-11.101
2016/03/09,-11.222
2016/03/10,6.631
2016/03/11,-4.07
2016/03/12,13.56
2016/03/13,13.351
2016/03/14,23.37
2016/03/15,4.97
2016/03/16,-1.888
2016/03/17,17.537
2016/03/18,8.704
2016/03/19,26.029
2016/03/20,-3.233
2016/03/21,2.168
2016/03/22,-5.431
2016/03/23,-2.037
2016/03/24,13.645
2016/03/25,11.773
2016/03/26,15.29
2016/03/27,-18.873
2016/03/28,-8.566
2016/03/29,-7.452
2016/03/30,22.663
2016/03/31,-4.028
2016/04/01,-1.754
