Date,transactions3std
2016/01/01,11905
2016/01/02,1691
2016/01/03,925.256
2016/01/04,259.565
2016/01/05,6662
2016/01/06,6882
2016/01/07,5046
2016/01/08,9125
2016/01/09,10131
2016/01/10,1210
2016/01/11,1213
2016/01/12,526.225
2016/01/13,6399
2016/01/14,6515
2016/01/15,7007
2016/01/16,738.745
2016/01/17,810.979
2016/01/18,2663
2016/01/19,3251
2016/01/20,2447
2016/01/21,2593
2016/01/22,2996
2016/01/23,2809
2016/01/24,2330
2016/01/25,5120
2016/01/26,3821
2016/01/27,1887
2016/01/28,1999
2016/01/29,2065
2016/01/30,1834
2016/01/31,1911
2016/02/01,451.938
2016/02/02,105.784
2016/02/03,79.939
2016/02/04,84.585
2016/02/05,877.096
2016/02/06,15675
2016/02/07,15729
2016/02/08,15963
2016/02/09,1036
2016/02/10,2016
2016/02/11,4998
2016/02/12,3683
2016/02/13,2752
2016/02/14,2211
2016/02/15,2337
2016/02/16,758.346
2016/02/17,2506
2016/02/18,2618
2016/02/19,2467
2016/02/20,1495
2016/02/21,1448
2016/02/22,1245
2016/02/23,1172
2016/02/24,1160
2016/02/25,980.516
2016/02/26,1458
2016/02/27,1774
2016/02/28,1930
2016/02/29,1261
2016/03/01,2218
2016/03/02,2622
2016/03/03,2509
2016/03/04,1044
2016/03/05,2449
2016/03/06,2957
2016/03/07,3907
2016/03/08,3807
2016/03/09,1065
2016/03/10,586.149
2016/03/11,1487
2016/03/12,3943
2016/03/13,4608
2016/03/14,528.849
2016/03/15,949.653
2016/03/16,1372
2016/03/17,4996
2016/03/18,4989
2016/03/19,2425
2016/03/20,2546
2016/03/21,2169
2016/03/22,391.002
2016/03/23,916.05
2016/03/24,4438
2016/03/25,4781
2016/03/26,247.909
2016/03/27,6346
2016/03/28,5455
2016/03/29,3582
2016/03/30,2842
2016/03/31,3724
2016/04/01,3849
2016/04/02,3349
2016/04/03,3632
2016/04/04,5127
2016/04/05,7842
2016/04/06,5833
2016/04/07,6778
2016/04/08,1915
2016/04/09,1982
2016/04/10,1838
2016/04/11,1673
2016/04/12,3557
2016/04/13,4879
2016/04/14,1251
2016/04/15,1123
2016/04/16,4139
2016/04/17,7945
2016/04/18,8122
2016/04/19,6767
2016/04/20,736.757
2016/04/21,4155
2016/04/22,4706
2016/04/23,5111
2016/04/24,2158
2016/04/25,2952
2016/04/26,2326
2016/04/27,2330
2016/04/28,1483
2016/04/29,3079
2016/04/30,9676
2016/05/01,7135
2016/05/02,5130
2016/05/03,3212
2016/05/04,3871
2016/05/05,1032
2016/05/06,3156
2016/05/07,4417
2016/05/08,4634
2016/05/09,3474
2016/05/10,1783
2016/05/11,2065
2016/05/12,4013
2016/05/13,5698
2016/05/14,2311
2016/05/15,3823
2016/05/16,6937
2016/05/17,4613
2016/05/18,7155
2016/05/19,4844
2016/05/20,1237
2016/05/21,1276
2016/05/22,5342
2016/05/23,4545
2016/05/24,4271
2016/05/25,2999
2016/05/26,6747
2016/05/27,3846
2016/05/28,19004
2016/05/29,21552
2016/05/30,24388
2016/05/31,2419
2016/06/01,1803
2016/06/02,3858
2016/06/03,2334
2016/06/04,1773
2016/06/05,1837
2016/06/06,1010
2016/06/07,7325
2016/06/08,6196
2016/06/09,5674
2016/06/10,472.754
2016/06/11,2931
2016/06/12,4653
2016/06/13,7643
2016/06/14,6336
2016/06/15,5812
2016/06/16,6613
2016/06/17,21908
2016/06/18,20401
2016/06/19,13303
2016/06/20,13587
2016/06/21,3600
2016/06/22,1325
2016/06/23,5811
2016/06/24,5477
2016/06/25,7111
2016/06/26,7083
2016/06/27,4054
2016/06/28,2806
2016/06/29,8507
2016/06/30,17374
2016/07/01,19590
2016/07/02,22902
2016/07/03,680.904
2016/07/04,584.046
2016/07/05,572.254
2016/07/06,1705
2016/07/07,2070
2016/07/08,3767
2016/07/09,1965
2016/07/10,2617
2016/07/11,1498
2016/07/12,1848
2016/07/13,4151
2016/07/14,5951
2016/07/15,6026
2016/07/16,3928
2016/07/17,5898
2016/07/18,4542
2016/07/19,8387
2016/07/20,9360
2016/07/21,5777
2016/07/22,4740
2016/07/23,3315
2016/07/24,11187
2016/07/25,11211
2016/07/26,5778
2016/07/27,7673
2016/07/28,11117
2016/07/29,4959
2016/07/30,5654
2016/07/31,5775
2016/08/01,5530
2016/08/02,2760
2016/08/03,3113
2016/08/04,2381
2016/08/05,5129
2016/08/06,4391
2016/08/07,1520
2016/08/08,1398
2016/08/09,3854
2016/08/10,3534
2016/08/11,1545
2016/08/12,3079
2016/08/13,5787
2016/08/14,3389
2016/08/15,1447
2016/08/16,7219
2016/08/17,5474
2016/08/18,3437
2016/08/19,3990
2016/08/20,5505
2016/08/21,1386
2016/08/22,2405
2016/08/23,4946
2016/08/24,3443
2016/08/25,2489
2016/08/26,2678
2016/08/27,2189
2016/08/28,4751
2016/08/29,4358
2016/08/30,3633
2016/08/31,1257
2016/09/01,1375
2016/09/02,8353
2016/09/03,9015
2016/09/04,8870
2016/09/05,4495
2016/09/06,5664
2016/09/07,5887
2016/09/08,6672
2016/09/09,6120
2016/09/10,11501
2016/09/11,10197
2016/09/12,1936
2016/09/13,2123
2016/09/14,9654
2016/09/15,10091
2016/09/16,4170
2016/09/17,8704
2016/09/18,16054
2016/09/19,7551
2016/09/20,14179
2016/09/21,11370
2016/09/22,8388
2016/09/23,14250
2016/09/24,14247
2016/09/25,6719
2016/09/26,4482
2016/09/27,6654
2016/09/28,3501
2016/09/29,5283
2016/09/30,5777
2016/10/01,14583
2016/10/02,15409
2016/10/03,4466
2016/10/04,7408
2016/10/05,12285
2016/10/06,16875
2016/10/07,5783
2016/10/08,6122
2016/10/09,5786
2016/10/10,6416
2016/10/11,3296
2016/10/12,12656
2016/10/13,9539
2016/10/14,10423
2016/10/15,8613
2016/10/16,7322
2016/10/17,3752
2016/10/18,14684
2016/10/19,12808
2016/10/20,11067
2016/10/21,16356
2016/10/22,16841
2016/10/23,20095
2016/10/24,15193
2016/10/25,14447
2016/10/26,6146
2016/10/27,2770
2016/10/28,3119
2016/10/29,3599
2016/10/30,1760
2016/10/31,5026
2016/11/01,7867
2016/11/02,4645
2016/11/03,5823
2016/11/04,9815
2016/11/05,7983
2016/11/06,4237
2016/11/07,6181
2016/11/08,6949
2016/11/09,1206
2016/11/10,1194
2016/11/11,745.73
2016/11/12,780.798
2016/11/13,2547
2016/11/14,2732
2016/11/15,1476
2016/11/16,2997
2016/11/17,3960
2016/11/18,2547
2016/11/19,3747
2016/11/20,3713
2016/11/21,3003
2016/11/22,10529
2016/11/23,17599
2016/11/24,22574
2016/11/25,23485
2016/11/26,18425
2016/11/27,14866
2016/11/28,6194
2016/11/29,3268
2016/11/30,8121
2016/12/01,8545
2016/12/02,3696
2016/12/03,4135
2016/12/04,1766
2016/12/05,1749
2016/12/06,7318
2016/12/07,6144
2016/12/08,7315
2016/12/09,1915
2016/12/10,1517
2016/12/11,1878
2016/12/12,1558
2016/12/13,5396
2016/12/14,7154
2016/12/15,2151
2016/12/16,2765
2016/12/17,5551
2016/12/18,6025
2016/12/19,7484
2016/12/20,7885
2016/12/21,5647
2016/12/22,8984
2016/12/23,8855
2016/12/24,14354
2016/12/25,6865
2016/12/26,2639
2016/12/27,6611
2016/12/28,7881
2016/12/29,3556
2016/12/30,2608
2016/12/31,4395
2017/01/01,4778
2017/01/02,2056
2017/01/03,6354
2017/01/04,9024
2017/01/05,4104
2017/01/06,6033
2017/01/07,5549
2017/01/08,941.412
2017/01/09,2934
2017/01/10,4505
2017/01/11,2463
2017/01/12,4391
2017/01/13,5180
2017/01/14,8174
2017/01/15,8429
2017/01/16,3289
2017/01/17,4167
2017/01/18,1436
2017/01/19,2489
2017/01/20,1775
2017/01/21,2194
2017/01/22,3394
2017/01/23,3438
2017/01/24,3624
2017/01/25,4008
2017/01/26,3670
2017/01/27,503.654
2017/01/28,1496
2017/01/29,3451
2017/01/30,2616
2017/01/31,2351
2017/02/01,1405
2017/02/02,814.177
2017/02/03,1440
2017/02/04,2179
2017/02/05,3154
2017/02/06,1558
2017/02/07,4701
2017/02/08,3984
2017/02/09,3457
2017/02/10,3684
2017/02/11,4839
2017/02/12,6009
2017/02/13,9530
2017/02/14,11307
2017/02/15,2551
2017/02/16,7153
2017/02/17,5454
2017/02/18,256.527
2017/02/19,1108
2017/02/20,1584
2017/02/21,8856
2017/02/22,7707
2017/02/23,9190
2017/02/24,5309
2017/02/25,5756
2017/02/26,1958
2017/02/27,1258
2017/02/28,7672
2017/03/01,6973
2017/03/02,10147
2017/03/03,9033
2017/03/04,9827
2017/03/05,6197
2017/03/06,1632
2017/03/07,5245
2017/03/08,6167
2017/03/09,7704
2017/03/10,8806
2017/03/11,709.397
2017/03/12,1607
2017/03/13,15154
2017/03/14,12621
2017/03/15,4082
2017/03/16,29198
2017/03/17,25681
2017/03/18,17532
2017/03/19,18777
2017/03/20,7898
2017/03/21,3953
2017/03/22,4636
2017/03/23,4547
2017/03/24,7356
2017/03/25,4412
2017/03/26,6765
2017/03/27,12511
2017/03/28,12520
2017/03/29,9000
2017/03/30,10034
2017/03/31,8384
2017/04/01,18852
2017/04/02,18596
2017/04/03,16101
2017/04/04,12085
2017/04/05,12645
2017/04/06,7910
2017/04/07,6508
2017/04/08,20705
2017/04/09,18486
2017/04/10,2818
2017/04/11,1117
2017/04/12,4404
2017/04/13,6730
2017/04/14,3248
2017/04/15,7761
2017/04/16,8650
2017/04/17,3422
2017/04/18,11153
2017/04/19,11461
2017/04/20,2171
2017/04/21,4074
2017/04/22,9870
2017/04/23,6327
2017/04/24,5709
2017/04/25,13711
2017/04/26,10558
2017/04/27,12709
2017/04/28,14868
2017/04/29,13280
2017/04/30,12588
2017/05/01,18128
2017/05/02,15232
2017/05/03,13233
2017/05/04,14873
2017/05/05,14503
2017/05/06,16563
2017/05/07,11940
2017/05/08,18370
2017/05/09,8919
2017/05/10,6428
2017/05/11,6155
2017/05/12,8469
2017/05/13,13086
2017/05/14,5564
2017/05/15,20225
2017/05/16,17966
2017/05/17,20095
2017/05/18,21265
2017/05/19,21607
2017/05/20,26379
2017/05/21,25242
2017/05/22,37203
2017/05/23,31437
2017/05/24,10327
2017/05/25,3959
