Date,transactions3var
2016/01/01,35434993
2016/01/02,715128
2016/01/03,214025
2016/01/04,16844
2016/01/05,11096686
2016/01/06,11840075
2016/01/07,6365640
2016/01/08,20816707
2016/01/09,25659971
2016/01/10,365823
2016/01/11,367562
2016/01/12,69228
2016/01/13,10237973
2016/01/14,10610293
2016/01/15,12273059
2016/01/16,136436
2016/01/17,164422
2016/01/18,1772773
2016/01/19,2643056
2016/01/20,1496417
2016/01/21,1680675
2016/01/22,2244113
2016/01/23,1972334
2016/01/24,1357262
2016/01/25,6554786
2016/01/26,3649644
2016/01/27,890630
2016/01/28,999171
2016/01/29,1066348
2016/01/30,841164
2016/01/31,913358
2016/02/01,51062
2016/02/02,2798
2016/02/03,1598
2016/02/04,1789
2016/02/05,192324
2016/02/06,61423073
2016/02/07,61851834
2016/02/08,63702594
2016/02/09,268204
2016/02/10,1015585
2016/02/11,6244523
2016/02/12,3390443
2016/02/13,1893762
2016/02/14,1221662
2016/02/15,1365851
2016/02/16,143772
2016/02/17,1569460
2016/02/18,1713480
2016/02/19,1522086
2016/02/20,558942
2016/02/21,524342
2016/02/22,387738
2016/02/23,343342
2016/02/24,336348
2016/02/25,240353
2016/02/26,531709
2016/02/27,786364
2016/02/28,931369
2016/02/29,397764
2016/03/01,1229406
2016/03/02,1718297
2016/03/03,1573974
2016/03/04,272639
2016/03/05,1498819
2016/03/06,2186620
2016/03/07,3816284
2016/03/08,3623644
2016/03/09,283740
2016/03/10,85893
2016/03/11,552849
2016/03/12,3887289
2016/03/13,5308198
2016/03/14,69920
2016/03/15,225460
2016/03/16,470664
2016/03/17,6240791
2016/03/18,6222106
2016/03/19,1470152
2016/03/20,1619985
2016/03/21,1176238
2016/03/22,38221
2016/03/23,209787
2016/03/24,4923776
2016/03/25,5714525
2016/03/26,15365
2016/03/27,10067332
2016/03/28,7439666
2016/03/29,3207223
2016/03/30,2019203
2016/03/31,3466478
2016/04/01,3703288
2016/04/02,2804330
2016/04/03,3297574
2016/04/04,6570674
2016/04/05,15373638
2016/04/06,8504558
2016/04/07,11485739
2016/04/08,916504
2016/04/09,982018
2016/04/10,844188
2016/04/11,699324
2016/04/12,3163324
2016/04/13,5950086
2016/04/14,391494
2016/04/15,315228
2016/04/16,4282118
2016/04/17,15779168
2016/04/18,16490600
2016/04/19,11446838
2016/04/20,135703
2016/04/21,4315593
2016/04/22,5537548
2016/04/23,6531533
2016/04/24,1164413
2016/04/25,2179120
2016/04/26,1352206
2016/04/27,1357469
2016/04/28,549707
2016/04/29,2369485
2016/04/30,23407841
2016/05/01,12728441
2016/05/02,6578425
2016/05/03,2579698
2016/05/04,3746288
2016/05/05,266033
2016/05/06,2490133
2016/05/07,4876933
2016/05/08,5369613
2016/05/09,3017670
2016/05/10,795114
2016/05/11,1066056
2016/05/12,4025082
2016/05/13,8116982
2016/05/14,1335473
2016/05/15,3654131
2016/05/16,12032203
2016/05/17,5319347
2016/05/18,12800254
2016/05/19,5866897
2016/05/20,382284
2016/05/21,406940
2016/05/22,7135526
2016/05/23,5165247
2016/05/24,4560800
2016/05/25,2247758
2016/05/26,11381593
2016/05/27,3697830
2016/05/28,90289561
2016/05/29,116127132
2016/05/30,148690308
2016/05/31,1463341
2016/06/01,812705
2016/06/02,3721517
2016/06/03,1361558
2016/06/04,785954
2016/06/05,843774
2016/06/06,255210
2016/06/07,13412845
2016/06/08,9596633
2016/06/09,8049208
2016/06/10,55874
2016/06/11,2147603
2016/06/12,5413337
2016/06/13,14604875
2016/06/14,10037315
2016/06/15,8445990
2016/06/16,10934243
2016/06/17,119988854
2016/06/18,104052740
2016/06/19,44243718
2016/06/20,46153158
2016/06/21,3240429
2016/06/22,439144
2016/06/23,8441704
2016/06/24,7498382
2016/06/25,12641968
2016/06/26,12543242
2016/06/27,4107998
2016/06/28,1968728
2016/06/29,18091233
2016/06/30,75461851
2016/07/01,95939118
2016/07/02,131129144
2016/07/03,115908
2016/07/04,85278
2016/07/05,81869
2016/07/06,726867
2016/07/07,1071729
2016/07/08,3547628
2016/07/09,965675
2016/07/10,1712203
2016/07/11,561163
2016/07/12,853536
2016/07/13,4306716
2016/07/14,8853090
2016/07/15,9077140
2016/07/16,3856768
2016/07/17,8697625
2016/07/18,5157451
2016/07/19,17583750
2016/07/20,21904166
2016/07/21,8344668
2016/07/22,5617856
2016/07/23,2746606
2016/07/24,31288115
2016/07/25,31420340
2016/07/26,8347287
2016/07/27,14719838
2016/07/28,30898006
2016/07/29,6148779
2016/07/30,7991012
2016/07/31,8338056
2016/08/01,7646242
2016/08/02,1905075
2016/08/03,2422148
2016/08/04,1416950
2016/08/05,6576263
2016/08/06,4820678
2016/08/07,577411
2016/08/08,488542
2016/08/09,3712953
2016/08/10,3123028
2016/08/11,596383
2016/08/12,2370078
2016/08/13,8373186
2016/08/14,2871755
2016/08/15,523394
2016/08/16,13027624
2016/08/17,7491618
2016/08/18,2953539
2016/08/19,3979043
2016/08/20,7576940
2016/08/21,480172
2016/08/22,1445678
2016/08/23,6115891
2016/08/24,2963480
2016/08/25,1548993
2016/08/26,1793536
2016/08/27,1197555
2016/08/28,5642900
2016/08/29,4749128
2016/08/30,3299973
2016/08/31,394950
2016/09/01,472429
2016/09/02,17443511
2016/09/03,20316481
2016/09/04,19667307
2016/09/05,5051894
2016/09/06,8020047
2016/09/07,8664354
