Date,transactions7rsi
2016/01/01,42.895
2016/01/02,44.402
2016/01/03,44.574
2016/01/04,45.031
2016/01/05,58.023
2016/01/06,59.068
2016/01/07,66.601
2016/01/08,45.033
2016/01/09,46.613
2016/01/10,44.119
2016/01/11,45.444
2016/01/12,45.376
2016/01/13,60.489
2016/01/14,45.388
2016/01/15,43.967
2016/01/16,45.969
2016/01/17,43.845
2016/01/18,52.661
2016/01/19,54.001
2016/01/20,45.605
2016/01/21,46.037
2016/01/22,56.222
2016/01/23,46.866
2016/01/24,52.641
2016/01/25,63.825
2016/01/26,61.436
2016/01/27,66.756
2016/01/28,58.422
2016/01/29,56.875
2016/01/30,49.684
2016/01/31,47.676
2016/02/01,47.84
2016/02/02,48.366
2016/02/03,48.262
2016/02/04,48.998
2016/02/05,55.665
2016/02/06,88.358
2016/02/07,46.195
2016/02/08,46.978
2016/02/09,48.511
2016/02/10,51.819
2016/02/11,59.795
2016/02/12,52.011
2016/02/13,54.536
2016/02/14,47.998
2016/02/15,49.399
2016/02/16,50.532
2016/02/17,57.485
2016/02/18,47.787
2016/02/19,52.274
2016/02/20,46.758
2016/02/21,48.277
2016/02/22,52.461
2016/02/23,53.653
2016/02/24,58.096
2016/02/25,57.87
2016/02/26,64.664
2016/02/27,51.694
2016/02/28,52.134
2016/02/29,59.014
2016/03/01,65.38
2016/03/02,71.799
2016/03/03,75.576
2016/03/04,70.804
2016/03/05,78.824
2016/03/06,80.058
2016/03/07,51.764
2016/03/08,55.268
2016/03/09,57.232
2016/03/10,58.443
2016/03/11,48.016
2016/03/12,67.236
2016/03/13,67.933
2016/03/14,69.21
2016/03/15,71.656
2016/03/16,59.287
2016/03/17,76.229
2016/03/18,66.875
2016/03/19,73.45
2016/03/20,62.11
2016/03/21,62.297
2016/03/22,63.536
2016/03/23,57.152
2016/03/24,72.32
2016/03/25,71.265
2016/03/26,70.513
2016/03/27,41.271
2016/03/28,53.533
2016/03/29,54.453
2016/03/30,62.615
2016/03/31,47.063
2016/04/01,50.443
2016/04/02,39.466
2016/04/03,40.345
2016/04/04,57.14
2016/04/05,66.077
2016/04/06,47.044
2016/04/07,46.635
2016/04/08,52.181
2016/04/09,46.61
2016/04/10,47.592
2016/04/11,42.097
2016/04/12,55.681
2016/04/13,59.22
2016/04/14,54.538
2016/04/15,55.118
2016/04/16,40.101
2016/04/17,64.562
2016/04/18,48.619
2016/04/19,46.823
2016/04/20,47.638
2016/04/21,57.619
2016/04/22,44.707
2016/04/23,45.142
2016/04/24,51.065
2016/04/25,54.657
2016/04/26,46.469
2016/04/27,50.325
2016/04/28,51.91
2016/04/29,60.72
2016/04/30,75.5
2016/05/01,57.105
2016/05/02,60.991
2016/05/03,51.198
2016/05/04,50.387
2016/05/05,53.502
2016/05/06,59.692
2016/05/07,44.965
2016/05/08,55.02
2016/05/09,51.12
2016/05/10,56.234
2016/05/11,56.552
2016/05/12,66.029
2016/05/13,70.87
2016/05/14,63.213
2016/05/15,54.079
2016/05/16,39.869
2016/05/17,48.009
2016/05/18,60.413
2016/05/19,56.28
2016/05/20,57.741
2016/05/21,52.841
2016/05/22,40.624
2016/05/23,53.623
2016/05/24,51.238
2016/05/25,59.526
2016/05/26,67.982
2016/05/27,61.193
2016/05/28,81.954
2016/05/29,47.755
2016/05/30,45.075
2016/05/31,46.79
2016/06/01,44.39
2016/06/02,41.461
2016/06/03,41.756
2016/06/04,39.079
2016/06/05,39.128
2016/06/06,41.873
2016/06/07,57.141
2016/06/08,45.952
2016/06/09,44.912
2016/06/10,45.633
2016/06/11,38.988
2016/06/12,52.976
2016/06/13,59.799
2016/06/14,66.357
2016/06/15,50.086
2016/06/16,50.369
2016/06/17,76.199
2016/06/18,69.838
2016/06/19,52.209
2016/06/20,47.647
2016/06/21,47.925
2016/06/22,49.881
2016/06/23,40.638
2016/06/24,46.537
2016/06/25,35.995
2016/06/26,44.375
2016/06/27,41.846
2016/06/28,47.928
2016/06/29,58.09
2016/06/30,71.49
2016/07/01,43.766
2016/07/02,43.09
2016/07/03,43.703
2016/07/04,43.975
2016/07/05,43.119
2016/07/06,41.234
2016/07/07,46.299
2016/07/08,50.382
2016/07/09,46.235
2016/07/10,44.109
2016/07/11,42.43
2016/07/12,48.943
2016/07/13,37.641
2016/07/14,54.667
2016/07/15,50.779
2016/07/16,44.2
2016/07/17,36.659
2016/07/18,49.471
2016/07/19,58.673
2016/07/20,67.58
2016/07/21,55.203
2016/07/22,60.458
2016/07/23,53.402
2016/07/24,69.364
2016/07/25,62.965
2016/07/26,69.808
2016/07/27,54.921
2016/07/28,48.805
2016/07/29,47.017
2016/07/30,40.167
2016/07/31,50.912
2016/08/01,46.873
2016/08/02,51.804
2016/08/03,52.532
2016/08/04,47.316
2016/08/05,41.092
2016/08/06,38.239
2016/08/07,42.221
2016/08/08,42.307
2016/08/09,53.591
2016/08/10,51.383
2016/08/11,56.509
2016/08/12,45.33
2016/08/13,37.689
2016/08/14,36.58
2016/08/15,43.17
2016/08/16,61.265
2016/08/17,49.885
2016/08/18,56.635
2016/08/19,44.949
2016/08/20,41.585
2016/08/21,45.182
2016/08/22,50.17
2016/08/23,60.451
2016/08/24,55.325
2016/08/25,62.374
2016/08/26,53.974
2016/08/27,55.719
2016/08/28,40.821
2016/08/29,49.414
2016/08/30,53.408
2016/08/31,49.865
2016/09/01,54.929
2016/09/02,71.247
2016/09/03,45.488
2016/09/04,51.865
2016/09/05,42.393
2016/09/06,53.954
2016/09/07,53.178
2016/09/08,64.096
2016/09/09,59.525
2016/09/10,41.114
2016/09/11,42.005
2016/09/12,45.634
2016/09/13,41.336
2016/09/14,60.601
2016/09/15,58.155
2016/09/16,64.745
2016/09/17,46.296
2016/09/18,36.152
2016/09/19,40.567
2016/09/20,58.111
2016/09/21,46.8
2016/09/22,55.423
2016/09/23,39.399
2016/09/24,47.694
2016/09/25,43.69
2016/09/26,48.807
2016/09/27,52.287
2016/09/28,47.684
2016/09/29,44.95
2016/09/30,39.826
2016/10/01,59.901
2016/10/02,57.349
2016/10/03,52.78
2016/10/04,62.024
2016/10/05,44.957
2016/10/06,40.681
2016/10/07,48.689
2016/10/08,42.795
2016/10/09,50.113
2016/10/10,51.276
2016/10/11,46.372
2016/10/12,35.204
2016/10/13,38.698
2016/10/14,51.881
2016/10/15,42.72
2016/10/16,44.538
2016/10/17,49.012
2016/10/18,63.881
2016/10/19,47.984
2016/10/20,53.014
2016/10/21,64.604
2016/10/22,46.097
2016/10/23,44.314
2016/10/24,57.875
2016/10/25,53.507
2016/10/26,51.266
2016/10/27,50.456
2016/10/28,47.385
2016/10/29,45.655
2016/10/30,44.926
2016/10/31,53.371
2016/11/01,58.65
2016/11/02,49.615
2016/11/03,47.786
2016/11/04,35.175
2016/11/05,44.175
2016/11/06,39.999
2016/11/07,52.091
2016/11/08,51.495
2016/11/09,49.62
2016/11/10,48.923
2016/11/11,50.985
2016/11/12,50.492
2016/11/13,57.601
2016/11/14,58.111
2016/11/15,61.94
2016/11/16,48.872
2016/11/17,45.938
2016/11/18,55.889
2016/11/19,42.441
2016/11/20,51.1
2016/11/21,52.879
2016/11/22,73.148
2016/11/23,82.04
2016/11/24,41.227
2016/11/25,59.436
2016/11/26,45.922
2016/11/27,48.789
2016/11/28,51.998
2016/11/29,50.725
2016/11/30,43.505
2016/12/01,41.693
2016/12/02,47.32
2016/12/03,46.987
2016/12/04,44.773
2016/12/05,48.055
2016/12/06,57.831
2016/12/07,47.606
2016/12/08,44.514
2016/12/09,47.893
2016/12/10,46.333
2016/12/11,43.692
2016/12/12,42.831
2016/12/13,56.75
2016/12/14,61.594
2016/12/15,58.15
2016/12/16,52.031
2016/12/17,41.37
2016/12/18,36.022
2016/12/19,56.838
2016/12/20,53.745
2016/12/21,64.59
2016/12/22,70.064
2016/12/23,48.522
2016/12/24,39.749
2016/12/25,38.34
2016/12/26,35.737
2016/12/27,50.706
2016/12/28,52.391
2016/12/29,57.642
2016/12/30,53.331
2016/12/31,46.502
2017/01/01,41.842
2017/01/02,44.255
2017/01/03,57.995
2017/01/04,65.599
2017/01/05,62.625
2017/01/06,48.757
2017/01/07,48.364
2017/01/08,46.228
2017/01/09,55.162
2017/01/10,59.66
2017/01/11,50.823
2017/01/12,62.563
2017/01/13,63.031
2017/01/14,41.322
2017/01/15,40.77
2017/01/16,50.264
2017/01/17,53.379
2017/01/18,48.768
2017/01/19,45.068
2017/01/20,51.776
2017/01/21,44.477
2017/01/22,56.442
2017/01/23,52.138
2017/01/24,62.741
2017/01/25,50.284
2017/01/26,51.892
2017/01/27,51.324
2017/01/28,46.313
2017/01/29,38.442
2017/01/30,49.192
2017/01/31,43.823
2017/02/01,47.303
2017/02/02,44.315
2017/02/03,40.94
2017/02/04,52.799
2017/02/05,57.119
2017/02/06,60.002
2017/02/07,72.755
2017/02/08,68.418
2017/02/09,53.127
2017/02/10,65.346
2017/02/11,46.811
2017/02/12,43.645
2017/02/13,66.424
2017/02/14,69.532
2017/02/15,61.029
2017/02/16,48.036
2017/02/17,47.476
2017/02/18,47.457
2017/02/19,44.382
2017/02/20,50.529
2017/02/21,68.18
2017/02/22,48.52
2017/02/23,43.491
2017/02/24,55.948
2017/02/25,54.151
2017/02/26,50.678
2017/02/27,52.816
2017/02/28,66.701
2017/03/01,65.226
2017/03/02,77.774
2017/03/03,62.315
2017/03/04,52.014
2017/03/05,49.067
2017/03/06,49.046
2017/03/07,59.201
2017/03/08,45.514
2017/03/09,59.111
2017/03/10,60.232
2017/03/11,59.517
2017/03/12,62.482
2017/03/13,77.916
2017/03/14,68.031
2017/03/15,71.743
2017/03/16,85.594
2017/03/17,80.298
2017/03/18,58.871
2017/03/19,53.563
2017/03/20,49.335
2017/03/21,53.334
2017/03/22,47.407
2017/03/23,51.551
2017/03/24,57.347
2017/03/25,52.691
2017/03/26,46.378
2017/03/27,62.552
2017/03/28,50.482
2017/03/29,58.47
2017/03/30,61.111
2017/03/31,66.55
2017/04/01,43.403
2017/04/02,50.822
2017/04/03,59.216
2017/04/04,47.514
2017/04/05,48.478
2017/04/06,55.084
2017/04/07,52.717
2017/04/08,36.477
2017/04/09,39.031
2017/04/10,40.114
2017/04/11,40.648
2017/04/12,46.759
2017/04/13,51.679
2017/04/14,47.641
2017/04/15,39.885
2017/04/16,35.437
2017/04/17,39.058
2017/04/18,55.458
2017/04/19,58.409
2017/04/20,57.886
2017/04/21,50.189
2017/04/22,38.973
2017/04/23,45.466
2017/04/24,51.372
2017/04/25,66.62
2017/04/26,60.606
2017/04/27,73.041
2017/04/28,74.131
2017/04/29,52.484
2017/04/30,56.354
2017/05/01,69.214
2017/05/02,66.721
2017/05/03,51.479
2017/05/04,64.299
2017/05/05,57.833
2017/05/06,46.306
2017/05/07,55.259
2017/05/08,62.153
2017/05/09,57.783
2017/05/10,54.593
2017/05/11,60.464
2017/05/12,50.401
2017/05/13,45.189
2017/05/14,45.207
2017/05/15,63.728
2017/05/16,56.97
2017/05/17,70.453
2017/05/18,67.621
2017/05/19,77.128
2017/05/20,53.76
2017/05/21,61.993
2017/05/22,70.62
2017/05/23,73.492
2017/05/24,73.54
2017/05/25,69.881
2017/05/26,59.283
2017/05/27,46.563
2017/05/28,50.131
2017/05/29,52.225
2017/05/30,68.662
2017/05/31,74.62
2017/06/01,64.225
2017/06/02,61.392
2017/06/03,49.778
2017/06/04,52.235
2017/06/05,57.703
2017/06/06,62.707
2017/06/07,65.784
2017/06/08,51.327
2017/06/09,64.479
2017/06/10,62.739
2017/06/11,72.3
2017/06/12,82.454
2017/06/13,74.614
2017/06/14,59.415
2017/06/15,62.773
2017/06/16,56.223
2017/06/17,53.369
2017/06/18,55.118
2017/06/19,68.996
2017/06/20,74.142
2017/06/21,42.132
2017/06/22,57.57
2017/06/23,55.323
2017/06/24,48.484
2017/06/25,43.672
2017/06/26,62.703
2017/06/27,48.473
2017/06/28,52.648
2017/06/29,50.309
2017/06/30,47.675
2017/07/01,44.688
2017/07/02,47.266
2017/07/03,61.12
2017/07/04,54.668
2017/07/05,51.621
2017/07/06,47.597
2017/07/07,58.401
2017/07/08,44.564
2017/07/09,39.288
2017/07/10,58.587
2017/07/11,55.667
2017/07/12,53.44
2017/07/13,46.991
2017/07/14,43.945
2017/07/15,39.38
2017/07/16,45.851
2017/07/17,45.631
2017/07/18,54.315
2017/07/19,53.9
2017/07/20,45.233
2017/07/21,38.868
2017/07/22,31.019
2017/07/23,53.374
2017/07/24,54.196
2017/07/25,46.753
