Date,transactions90mom
2016/01/01,2121
2016/01/02,2540
2016/01/03,2979
2016/01/04,3016
2016/01/05,9309
2016/01/06,10148
2016/01/07,15312
2016/01/08,4390
2016/01/09,5770
2016/01/10,3727
2016/01/11,4075
2016/01/12,4032
2016/01/13,11166
2016/01/14,3858
2016/01/15,3308
2016/01/16,4183
2016/01/17,3143
2016/01/18,7019
2016/01/19,7238
2016/01/20,4631
2016/01/21,3846
2016/01/22,7487
2016/01/23,5195
2016/01/24,6860
2016/01/25,10337
2016/01/26,9165
2016/01/27,10911
2016/01/28,8824
2016/01/29,8838
2016/01/30,7746
2016/01/31,7608
2016/02/01,6800
2016/02/02,7254
2016/02/03,6776
2016/02/04,6489
2016/02/05,4253
2016/02/06,19005
2016/02/07,6575
2016/02/08,6568
2016/02/09,5300
2016/02/10,7607
2016/02/11,13549
2016/02/12,10898
2016/02/13,12157
2016/02/14,9182
2016/02/15,10014
2016/02/16,10176
2016/02/17,11114
2016/02/18,10621
2016/02/19,11590
2016/02/20,9631
2016/02/21,8859
2016/02/22,11038
2016/02/23,11384
2016/02/24,12262
2016/02/25,12864
2016/02/26,14251
2016/02/27,12128
2016/02/28,10077
2016/02/29,13564
2016/03/01,15276
2016/03/02,16591
2016/03/03,17939
2016/03/04,17503
2016/03/05,18012
2016/03/06,20520
2016/03/07,16574
2016/03/08,17104
2016/03/09,17113
2016/03/10,16709
2016/03/11,14919
2016/03/12,20461
2016/03/13,12577
2016/03/14,7430
2016/03/15,18969
2016/03/16,17984
2016/03/17,24499
2016/03/18,22507
2016/03/19,24900
2016/03/20,20384
2016/03/21,11484
2016/03/22,10150
2016/03/23,18292
2016/03/24,27426
2016/03/25,26036
2016/03/26,14779
2016/03/27,17606
2016/03/28,22255
2016/03/29,12148
2016/03/30,26466
2016/03/31,24026
2016/04/01,24156
2016/04/02,20100
2016/04/03,20114
2016/04/04,18477
2016/04/05,22099
2016/04/06,10003
2016/04/07,20974
2016/04/08,22217
2016/04/09,21603
2016/04/10,21344
2016/04/11,19465
2016/04/12,17008
2016/04/13,25398
2016/04/14,24906
2016/04/15,24295
2016/04/16,20736
2016/04/17,27287
2016/04/18,20093
2016/04/19,22012
2016/04/20,22210
2016/04/21,23333
2016/04/22,20653
2016/04/23,19047
2016/04/24,16925
2016/04/25,18919
2016/04/26,13835
2016/04/27,17082
2016/04/28,17948
2016/04/29,22671
2016/04/30,31603
2016/05/01,25379
2016/05/02,27457
2016/05/03,23547
2016/05/04,23113
2016/05/05,23458
2016/05/06,9853
2016/05/07,21600
2016/05/08,25344
2016/05/09,23043
2016/05/10,23543
2016/05/11,19371
2016/05/12,26893
2016/05/13,28412
2016/05/14,29121
2016/05/15,25914
