Date,transactions90sma
2016/01/01,8628
2016/01/02,8656
2016/01/03,8689
2016/01/04,8723
2016/01/05,8826
2016/01/06,8939
2016/01/07,9109
2016/01/08,9158
2016/01/09,9222
2016/01/10,9263
2016/01/11,9309
2016/01/12,9353
2016/01/13,9477
2016/01/14,9520
2016/01/15,9557
2016/01/16,9604
2016/01/17,9638
2016/01/18,9716
2016/01/19,9797
2016/01/20,9848
2016/01/21,9891
2016/01/22,9974
2016/01/23,10032
2016/01/24,10108
2016/01/25,10223
2016/01/26,10325
2016/01/27,10446
2016/01/28,10544
2016/01/29,10642
2016/01/30,10728
2016/01/31,10813
2016/02/01,10889
2016/02/02,10969
2016/02/03,11044
2016/02/04,11117
2016/02/05,11164
2016/02/06,11375
2016/02/07,11448
2016/02/08,11521
2016/02/09,11580
2016/02/10,11664
2016/02/11,11815
2016/02/12,11936
2016/02/13,12071
2016/02/14,12173
2016/02/15,12284
2016/02/16,12397
2016/02/17,12521
2016/02/18,12639
2016/02/19,12768
2016/02/20,12875
2016/02/21,12973
2016/02/22,13096
2016/02/23,13222
2016/02/24,13359
2016/02/25,13501
2016/02/26,13660
2016/02/27,13795
2016/02/28,13907
2016/02/29,14057
2016/03/01,14227
2016/03/02,14411
2016/03/03,14611
2016/03/04,14805
2016/03/05,15005
2016/03/06,15233
2016/03/07,15417
2016/03/08,15607
2016/03/09,15798
2016/03/10,15983
2016/03/11,16149
2016/03/12,16376
2016/03/13,16516
2016/03/14,16599
2016/03/15,16809
2016/03/16,17009
2016/03/17,17281
2016/03/18,17532
2016/03/19,17808
2016/03/20,18035
2016/03/21,18162
2016/03/22,18275
2016/03/23,18478
2016/03/24,18783
2016/03/25,19072
2016/03/26,19237
2016/03/27,19432
2016/03/28,19679
2016/03/29,19814
2016/03/30,20109
2016/03/31,20375
2016/04/01,20644
2016/04/02,20867
2016/04/03,21091
2016/04/04,21296
2016/04/05,21542
2016/04/06,21653
2016/04/07,21886
2016/04/08,22133
2016/04/09,22373
2016/04/10,22610
2016/04/11,22826
2016/04/12,23015
2016/04/13,23297
2016/04/14,23574
2016/04/15,23844
2016/04/16,24074
2016/04/17,24378
2016/04/18,24601
2016/04/19,24845
2016/04/20,25092
2016/04/21,25351
2016/04/22,25581
2016/04/23,25792
2016/04/24,25981
2016/04/25,26191
2016/04/26,26344
2016/04/27,26534
2016/04/28,26734
2016/04/29,26986
2016/04/30,27337
2016/05/01,27619
2016/05/02,27924
2016/05/03,28185
2016/05/04,28442
2016/05/05,28703
2016/05/06,28812
2016/05/07,29052
2016/05/08,29334
2016/05/09,29590
2016/05/10,29852
2016/05/11,30067
2016/05/12,30366
2016/05/13,30681
2016/05/14,31005
2016/05/15,31293
2016/05/16,31514
2016/05/17,31739
2016/05/18,32062
2016/05/19,32352
2016/05/20,32669
2016/05/21,32963
2016/05/22,33193
2016/05/23,33475
2016/05/24,33734
2016/05/25,34034
2016/05/26,34368
2016/05/27,34701
2016/05/28,35269
2016/05/29,35553
2016/05/30,35788
2016/05/31,36019
2016/06/01,36212
2016/06/02,36383
2016/06/03,36524
2016/06/04,36638
2016/06/05,36800
2016/06/06,36966
2016/06/07,37205
2016/06/08,37379
2016/06/09,37565
2016/06/10,37701
2016/06/11,37798
2016/06/12,37955
2016/06/13,38143
2016/06/14,38395
2016/06/15,38503
2016/06/16,38632
2016/06/17,38985
2016/06/18,39325
2016/06/19,39531
2016/06/20,39689
2016/06/21,39862
2016/06/22,39991
2016/06/23,40049
2016/06/24,40145
