Date,transactions90wma
2016/01/01,9801
2016/01/02,9813
2016/01/03,9826
2016/01/04,9844
2016/01/05,10013
2016/01/06,10194
2016/01/07,10483
2016/01/08,10523
2016/01/09,10581
2016/01/10,10605
2016/01/11,10641
2016/01/12,10675
2016/01/13,10857
2016/01/14,10883
2016/01/15,10891
2016/01/16,10915
2016/01/17,10919
2016/01/18,10991
2016/01/19,11072
2016/01/20,11090
2016/01/21,11109
2016/01/22,11196
2016/01/23,11219
2016/01/24,11280
2016/01/25,11434
2016/01/26,11573
2016/01/27,11758
2016/01/28,11897
2016/01/29,12025
2016/01/30,12113
2016/01/31,12189
2016/02/01,12263
2016/02/02,12338
2016/02/03,12411
2016/02/04,12484
2016/02/05,12575
2016/02/06,13020
2016/02/07,13083
2016/02/08,13155
2016/02/09,13243
2016/02/10,13365
2016/02/11,13580
2016/02/12,13718
2016/02/13,13881
2016/02/14,13981
2016/02/15,14091
2016/02/16,14206
2016/02/17,14373
2016/02/18,14471
2016/02/19,14598
2016/02/20,14685
2016/02/21,14778
2016/02/22,14892
2016/02/23,15011
2016/02/24,15150
2016/02/25,15285
2016/02/26,15451
2016/02/27,15568
2016/02/28,15684
2016/02/29,15826
2016/03/01,15995
2016/03/02,16200
2016/03/03,16430
2016/03/04,16642
2016/03/05,16913
2016/03/06,17191
2016/03/07,17368
2016/03/08,17558
2016/03/09,17755
2016/03/10,17953
2016/03/11,18110
2016/03/12,18368
2016/03/13,18627
2016/03/14,18891
2016/03/15,19169
2016/03/16,19406
2016/03/17,19769
2016/03/18,20089
2016/03/19,20468
2016/03/20,20790
2016/03/21,21108
2016/03/22,21431
2016/03/23,21728
2016/03/24,22134
2016/03/25,22529
2016/03/26,22916
2016/03/27,23152
2016/03/28,23463
2016/03/29,23776
2016/03/30,24149
2016/03/31,24416
2016/04/01,24700
2016/04/02,24892
2016/04/03,25083
2016/04/04,25387
2016/04/05,25780
2016/04/06,26012
2016/04/07,26237
2016/04/08,26503
2016/04/09,26718
2016/04/10,26935
2016/04/11,27105
2016/04/12,27365
2016/04/13,27652
2016/04/14,27904
2016/04/15,28154
2016/04/16,28300
2016/04/17,28655
2016/04/18,28855
2016/04/19,29032
2016/04/20,29210
2016/04/21,29475
2016/04/22,29614
2016/04/23,29752
2016/04/24,29933
2016/04/25,30141
2016/04/26,30282
2016/04/27,30447
2016/04/28,30618
2016/04/29,30851
2016/04/30,31264
2016/05/01,31533
2016/05/02,31843
2016/05/03,32061
2016/05/04,32265
2016/05/05,32491
2016/05/06,32767
2016/05/07,32922
2016/05/08,33164
2016/05/09,33367
2016/05/10,33611
2016/05/11,33852
2016/05/12,34180
2016/05/13,34562
2016/05/14,34893
2016/05/15,35158
2016/05/16,35293
2016/05/17,35486
2016/05/18,35800
2016/05/19,36074
2016/05/20,36356
2016/05/21,36597
2016/05/22,36727
2016/05/23,36960
2016/05/24,37168
2016/05/25,37447
2016/05/26,37823
2016/05/27,38145
2016/05/28,38924
2016/05/29,39157
2016/05/30,39319
2016/05/31,39508
2016/06/01,39645
2016/06/02,39720
2016/06/03,39796
2016/06/04,39826
2016/06/05,39854
2016/06/06,39901
2016/06/07,40103
2016/06/08,40174
2016/06/09,40228
2016/06/10,40285
2016/06/11,40267
2016/06/12,40372
2016/06/13,40553
2016/06/14,40821
2016/06/15,40928
2016/06/16,41035
2016/06/17,41649
2016/06/18,42179
2016/06/19,42436
2016/06/20,42603
2016/06/21,42771
2016/06/22,42963
2016/06/23,43005
2016/06/24,43121
2016/06/25,43045
2016/06/26,43076
2016/06/27,43062
2016/06/28,43121
2016/06/29,43329
2016/06/30,43841
2016/07/01,43822
2016/07/02,43781
2016/07/03,43749
2016/07/04,43721
2016/07/05,43677
2016/07/06,43601
2016/07/07,43579
2016/07/08,43602
2016/07/09,43576
2016/07/10,43524
2016/07/11,43454
2016/07/12,43431
