Date,transactionvalue14momUSD
2016/01/01,15.655
2016/01/02,5.014
2016/01/03,20.114
2016/01/04,-1.77
2016/01/05,51.298
2016/01/06,9.399
2016/01/07,7.682
2016/01/08,11.513
2016/01/09,7.292
2016/01/10,11.711
2016/01/11,18.245
2016/01/12,85.708
2016/01/13,18.175
2016/01/14,-0.517
2016/01/15,78.644
2016/01/16,39.162
2016/01/17,7.743
2016/01/18,233.543
2016/01/19,65.399
2016/01/20,67.947
2016/01/21,54.599
2016/01/22,82.995
2016/01/23,161.733
2016/01/24,306.746
2016/01/25,238.517
2016/01/26,118.843
2016/01/27,128.777
2016/01/28,101.298
2016/01/29,13.272
2016/01/30,103.756
2016/01/31,137.517
2016/02/01,-155.457
2016/02/02,-29.968
2016/02/03,22.632
2016/02/04,-12.18
2016/02/05,-5.345
2016/02/06,-162.034
2016/02/07,-152.332
2016/02/08,23.476
2016/02/09,126.573
2016/02/10,337.106
2016/02/11,276.851
2016/02/12,553.881
2016/02/13,163.373
2016/02/14,86.317
2016/02/15,139.561
2016/02/16,263.431
2016/02/17,49.037
2016/02/18,209.703
2016/02/19,25.239
2016/02/20,297.988
2016/02/21,-45.757
2016/02/22,-83.397
2016/02/23,123.934
2016/02/24,130.137
2016/02/25,-116.856
2016/02/26,454.194
2016/02/27,378.603
2016/02/28,-7.363
2016/02/29,-9.083
2016/03/01,43.581
2016/03/02,1065
2016/03/03,513.303
2016/03/04,455.363
2016/03/05,859.88
2016/03/06,524.444
2016/03/07,429.109
2016/03/08,378.466
2016/03/09,-139.057
2016/03/10,105.046
2016/03/11,-688.77
2016/03/12,-5.382
2016/03/13,746.398
2016/03/14,545.777
2016/03/15,158.589
2016/03/16,-684.577
2016/03/17,-177.717
2016/03/18,179.647
2016/03/19,-935.843
2016/03/20,-472.688
2016/03/21,-355.546
2016/03/22,-613.19
2016/03/23,-270.349
2016/03/24,-107.679
2016/03/25,-288.802
2016/03/26,-608.224
2016/03/27,-591.673
2016/03/28,-506.045
2016/03/29,-121.955
2016/03/30,-96.232
2016/03/31,-276.231
2016/04/01,-622.395
2016/04/02,-93.941
2016/04/03,-90.379
2016/04/04,-159.114
2016/04/05,-53.339
2016/04/06,-19.306
2016/04/07,-58.533
2016/04/08,-2.878
2016/04/09,294.786
2016/04/10,-102.454
2016/04/11,-89.74
2016/04/12,-193.034
2016/04/13,-192.478
2016/04/14,-99.955
2016/04/15,7.561
2016/04/16,-29.045
2016/04/17,104.863
2016/04/18,30.776
2016/04/19,-75.337
2016/04/20,-18.547
2016/04/21,-127.988
2016/04/22,30.609
2016/04/23,-138.542
2016/04/24,-225.621
2016/04/25,-17.575
2016/04/26,13.668
2016/04/27,-70.33
2016/04/28,-59.098
2016/04/29,-19.382
2016/04/30,370.927
2016/05/01,198.843
2016/05/02,267.412
2016/05/03,245.875
2016/05/04,104.125
2016/05/05,164.898
2016/05/06,289.939
2016/05/07,140.454
2016/05/08,239.856
