Date,transactionvalue14varUSD
2016/01/01,128.388
2016/01/02,133.695
2016/01/03,165.049
2016/01/04,165.621
2016/01/05,276.486
2016/01/06,259.491
2016/01/07,246.793
2016/01/08,226.825
2016/01/09,216.903
2016/01/10,189.117
2016/01/11,223.266
2016/01/12,640.106
2016/01/13,598.398
2016/01/14,598.312
2016/01/15,1070
2016/01/16,1100
2016/01/17,1100
2016/01/18,3790
2016/01/19,4085
2016/01/20,3905
2016/01/21,3681
2016/01/22,3475
2016/01/23,3809
2016/01/24,6701
2016/01/25,8284
2016/01/26,8832
2016/01/27,7879
2016/01/28,6935
2016/01/29,6878
2016/01/30,6265
2016/01/31,5232
2016/02/01,5145
2016/02/02,5355
2016/02/03,5140
2016/02/04,5309
2016/02/05,5356
2016/02/06,6627
2016/02/07,4407
2016/02/08,4945
2016/02/09,7571
2016/02/10,15455
2016/02/11,19121
2016/02/12,34688
2016/02/13,35016
2016/02/14,34780
2016/02/15,32962
2016/02/16,31433
2016/02/17,30380
2016/02/18,26587
2016/02/19,25902
2016/02/20,19860
2016/02/21,20986
2016/02/22,21521
2016/02/23,23276
2016/02/24,27617
2016/02/25,27111
2016/02/26,64486
2016/02/27,72930
2016/02/28,73049
2016/02/29,73244
2016/03/01,73253
2016/03/02,113798
2016/03/03,117313
2016/03/04,106720
2016/03/05,129866
2016/03/06,113237
2016/03/07,100996
2016/03/08,100741
2016/03/09,103234
2016/03/10,98305
2016/03/11,84653
2016/03/12,84593
2016/03/13,82247
2016/03/14,66064
2016/03/15,60473
2016/03/16,44273
2016/03/17,43970
2016/03/18,43595
2016/03/19,36221
2016/03/20,49160
2016/03/21,53976
2016/03/22,53148
2016/03/23,59273
2016/03/24,61516
2016/03/25,68645
2016/03/26,72557
2016/03/27,46425
2016/03/28,35476
2016/03/29,32718
2016/03/30,30642
2016/03/31,24990
2016/04/01,11258
2016/04/02,12207
2016/04/03,13858
2016/04/04,14484
2016/04/05,14684
2016/04/06,14780
2016/04/07,14538
2016/04/08,14568
2016/04/09,14642
2016/04/10,12946
2016/04/11,13267
2016/04/12,10236
2016/04/13,6889
2016/04/14,5928
2016/04/15,5852
2016/04/16,6158
2016/04/17,5089
2016/04/18,4842
2016/04/19,5499
2016/04/20,5561
2016/04/21,6138
2016/04/22,6029
2016/04/23,3492
2016/04/24,2846
2016/04/25,2868
2016/04/26,3025
2016/04/27,2637
2016/04/28,2381
2016/04/29,2474
2016/04/30,9150
2016/05/01,11751
2016/05/02,15271
2016/05/03,15397
2016/05/04,15142
2016/05/05,13623
2016/05/06,16290
2016/05/07,17069
2016/05/08,13993
2016/05/09,14285
2016/05/10,15118
2016/05/11,21593
2016/05/12,25183
2016/05/13,138567
2016/05/14,177215
2016/05/15,178442
2016/05/16,178981
2016/05/17,178130
2016/05/18,170930
2016/05/19,163854
2016/05/20,161465
2016/05/21,165314
2016/05/22,170077
2016/05/23,172955
2016/05/24,171608
2016/05/25,173977
2016/05/26,180372
2016/05/27,72704
2016/05/28,25587
2016/05/29,27455
2016/05/30,29120
2016/05/31,30223
2016/06/01,31819
2016/06/02,21878
2016/06/03,13946
2016/06/04,15870
2016/06/05,17220
2016/06/06,18133
2016/06/07,14133
2016/06/08,28109
2016/06/09,29499
2016/06/10,22551
2016/06/11,22487
2016/06/12,23286
2016/06/13,24725
2016/06/14,28066
2016/06/15,28404
2016/06/16,34819
2016/06/17,69762
2016/06/18,90985
2016/06/19,84012
2016/06/20,77351
2016/06/21,74156
2016/06/22,70392
2016/06/23,60612
