Date,transactionvalue3rocUSD
2016/01/01,86.614
2016/01/02,207.437
2016/01/03,8.813
2016/01/04,-60.615
2016/01/05,125.089
2016/01/06,-61.955
2016/01/07,-0.221
2016/01/08,-71.043
2016/01/09,27.076
2016/01/10,-6.256
2016/01/11,174.205
2016/01/12,464.667
2016/01/13,82.933
2016/01/14,-27.151
2016/01/15,10.795
2016/01/16,145.673
2016/01/17,32.157
2016/01/18,109.892
2016/01/19,90.875
2016/01/20,76.282
2016/01/21,-71.775
2016/01/22,-20.569
2016/01/23,118.025
2016/01/24,356.858
2016/01/25,185.058
2016/01/26,25.093
2016/01/27,-51.533
2016/01/28,-52.367
2016/01/29,-41.578
2016/01/30,9.243
2016/01/31,34.82
2016/02/01,-28.902
2016/02/02,-43.057
2016/02/03,-42.818
2016/02/04,-38.02
2016/02/05,-1.527
2016/02/06,-82.29
2016/02/07,190.73
2016/02/08,225.611
2016/02/09,1787
2016/02/10,191.326
2016/02/11,33.103
2016/02/12,94.518
2016/02/13,-32.322
2016/02/14,-34.533
2016/02/15,-65.965
2016/02/16,8.02
2016/02/17,-42.936
2016/02/18,14.752
2016/02/19,-66.507
2016/02/20,104.89
2016/02/21,-53.92
2016/02/22,88.43
2016/02/23,50.494
2016/02/24,404.722
2016/02/25,30.529
2016/02/26,139.237
2016/02/27,14.306
2016/02/28,-11.244
2016/02/29,-80.32
2016/03/01,-43.282
2016/03/02,362.693
2016/03/03,248.16
2016/03/04,42.606
2016/03/05,-3.494
2016/03/06,-17.065
2016/03/07,13.971
2016/03/08,-27.327
2016/03/09,-25.292
2016/03/10,-38.783
2016/03/11,-47.21
2016/03/12,46.033
2016/03/13,151.267
2016/03/14,70.623
2016/03/15,-20.414
2016/03/16,-47.065
2016/03/17,-21.641
2016/03/18,34.338
2016/03/19,-54.971
2016/03/20,-70.968
2016/03/21,-60.17
2016/03/22,0.473
2016/03/23,21.958
2016/03/24,-2.246
2016/03/25,-32.778
2016/03/26,-53.849
2016/03/27,42.134
2016/03/28,62.453
2016/03/29,346.779
2016/03/30,4.814
2016/03/31,23.908
2016/04/01,-69.741
2016/04/02,-66.517
2016/04/03,-74.079
2016/04/04,6.428
2016/04/05,28.44
2016/04/06,129.137
2016/04/07,66.124
2016/04/08,-15.285
2016/04/09,102.395
2016/04/10,33.964
2016/04/11,9.188
2016/04/12,-37.073
2016/04/13,-22.134
2016/04/14,30.355
2016/04/15,-43.093
2016/04/16,-52.118
2016/04/17,-16.547
2016/04/18,22.562
2016/04/19,-3.865
2016/04/20,-7.31
2016/04/21,-37.613
2016/04/22,68.15
2016/04/23,44.95
2016/04/24,-16.318
2016/04/25,-17.609
2016/04/26,2.497
2016/04/27,94.738
2016/04/28,7.275
2016/04/29,-53.49
2016/04/30,178.371
2016/05/01,130.988
2016/05/02,262.215
2016/05/03,-26.522
2016/05/04,-27.947
2016/05/05,-38.052
2016/05/06,33.754
2016/05/07,41.208
2016/05/08,21.048
2016/05/09,3.338
2016/05/10,19.932
2016/05/11,119.55
2016/05/12,48.122
2016/05/13,279.556
2016/05/14,81.903
2016/05/15,-52.115
2016/05/16,-76.751
2016/05/17,-70.803
2016/05/18,45.783
2016/05/19,98.949
2016/05/20,86.601
2016/05/21,-39.296
2016/05/22,-70.825
2016/05/23,-44.036
2016/05/24,71.476
2016/05/25,88.778
2016/05/26,-22.422
2016/05/27,12.974
2016/05/28,-21.968
2016/05/29,-15.262
2016/05/30,-51.363
2016/05/31,-14.693
2016/06/01,-1.923
2016/06/02,-40.707
2016/06/03,-29.716
2016/06/04,-35.393
2016/06/05,-5.302
2016/06/06,-20.456
2016/06/07,81.884
2016/06/08,367.269
2016/06/09,-2.29
2016/06/10,2.92
2016/06/11,-74.402
2016/06/12,127.431
2016/06/13,35.399
