Date,transactionvalue3rsiUSD
2016/01/01,73.652
2016/01/02,49.13
2016/01/03,65.279
2016/01/04,33.739
2016/01/05,72.523
2016/01/06,38.276
2016/01/07,39.053
2016/01/08,41.718
2016/01/09,43.855
2016/01/10,36.671
2016/01/11,78.849
2016/01/12,92.205
2016/01/13,40.082
2016/01/14,45.033
2016/01/15,75.143
2016/01/16,49.55
2016/01/17,41.635
2016/01/18,83.279
2016/01/19,50.543
2016/01/20,41.703
2016/01/21,38.809
2016/01/22,51.17
2016/01/23,72.809
2016/01/24,87.477
2016/01/25,73.116
2016/01/26,50.721
2016/01/27,33.227
2016/01/28,29.155
2016/01/29,27.858
2016/01/30,52.861
2016/01/31,60.542
2016/02/01,23.743
2016/02/02,26.005
2016/02/03,34.263
2016/02/04,17.815
2016/02/05,47.552
2016/02/06,22.448
2016/02/07,69.618
2016/02/08,83.652
2016/02/09,86.428
2016/02/10,92.683
2016/02/11,66.663
2016/02/12,86.377
2016/02/13,40.212
2016/02/14,35.187
2016/02/15,31.652
2016/02/16,54.779
2016/02/17,30.047
2016/02/18,49.05
2016/02/19,32.075
2016/02/20,59.834
2016/02/21,37.294
2016/02/22,51.916
2016/02/23,73.839
2016/02/24,81.343
2016/02/25,41.545
2016/02/26,79.823
2016/02/27,53.27
2016/02/28,34.972
2016/02/29,33.469
2016/03/01,48.664
2016/03/02,79.91
2016/03/03,53.614
2016/03/04,43.545
2016/03/05,69.058
2016/03/06,43.248
2016/03/07,43.764
2016/03/08,57.166
2016/03/09,34.269
2016/03/10,30.247
2016/03/11,36.935
2016/03/12,63.813
2016/03/13,79.421
2016/03/14,52.535
2016/03/15,36.488
2016/03/16,34.368
2016/03/17,45.975
2016/03/18,65.936
2016/03/19,22.934
2016/03/20,20.396
2016/03/21,39.637
2016/03/22,33.864
2016/03/23,30.672
2016/03/24,50.631
2016/03/25,29.683
2016/03/26,22.806
2016/03/27,71.789
2016/03/28,49.206
2016/03/29,67.025
2016/03/30,66.58
2016/03/31,44.578
2016/04/01,23.898
2016/04/02,27.403
2016/04/03,20.791
2016/04/04,40.595
2016/04/05,54.531
2016/04/06,56.456
2016/04/07,69.93
2016/04/08,37.729
2016/04/09,80.065
2016/04/10,59.804
2016/04/11,35.36
2016/04/12,50.931
2016/04/13,50.511
2016/04/14,44.449
2016/04/15,24.184
2016/04/16,20.44
2016/04/17,53.795
2016/04/18,46.827
2016/04/19,27.894
2016/04/20,55.999
2016/04/21,34.238
2016/04/22,61.472
2016/04/23,74.064
2016/04/24,32.903
2016/04/25,49.828
2016/04/26,68.5
2016/04/27,46.981
2016/04/28,45.159
2016/04/29,32.953
2016/04/30,83.986
2016/05/01,64.046
2016/05/02,69.616
2016/05/03,50.989
