Date,transactionvalue3trxUSD
2016/01/01,25.187
2016/01/02,13.958
2016/01/03,12.425
2016/01/04,0.021
2016/01/05,13.256
2016/01/06,0.631
2016/01/07,-7.456
2016/01/08,-10.173
2016/01/09,-9.619
2016/01/10,-9.967
2016/01/11,9.994
2016/01/12,50.195
2016/01/13,17.001
2016/01/14,3.54
2016/01/15,21.835
2016/01/16,13.947
2016/01/17,2.864
2016/01/18,37.657
2016/01/19,22.795
2016/01/20,6.131
2016/01/21,-3.224
2016/01/22,-3.708
2016/01/23,7.16
2016/01/24,28.045
2016/01/25,25.607
2016/01/26,13.765
2016/01/27,2.337
2016/01/28,-4.385
2016/01/29,-7.424
2016/01/30,-5.418
2016/01/31,-1.87
2016/02/01,-6.142
2016/02/02,-8.836
2016/02/03,-8.705
2016/02/04,-11.722
2016/02/05,-9.396
2016/02/06,-14.978
2016/02/07,1.146
2016/02/08,32.395
2016/02/09,38.685
2016/02/10,39.013
2016/02/11,24.439
2016/02/12,26.144
2016/02/13,9.761
2016/02/14,-0.978
2016/02/15,-6.994
2016/02/16,-5.042
2016/02/17,-9.397
2016/02/18,-7.859
2016/02/19,-11.343
2016/02/20,-4.258
2016/02/21,-7.487
2016/02/22,-4.765
2016/02/23,12.26
2016/02/24,26.124
2016/02/25,11.165
2016/02/26,32.222
2016/02/27,21.045
2016/02/28,1.737
2016/02/29,-8.641
2016/03/01,-8.934
2016/03/02,14.851
2016/03/03,14.605
2016/03/04,5.608
2016/03/05,11.654
2016/03/06,4.449
2016/03/07,-0.396
2016/03/08,0.696
2016/03/09,-4.16
2016/03/10,-8.494
2016/03/11,-9.352
2016/03/12,-3.232
2016/03/13,8.059
2016/03/14,7.59
2016/03/15,1.255
2016/03/16,-3.012
2016/03/17,-3.445
2016/03/18,0.14
2016/03/19,-7.365
2016/03/20,-13.872
2016/03/21,-14.2
2016/03/22,-13.743
2016/03/23,-13.141
2016/03/24,-8.695
2016/03/25,-9.743
2016/03/26,-13.467
2016/03/27,1.194
2016/03/28,3.803
2016/03/29,11.573
2016/03/30,13.124
2016/03/31,6.508
2016/04/01,-5.108
2016/04/02,-10.943
2016/04/03,-15.709
2016/04/04,-14.952
2016/04/05,-9.23
2016/04/06,-3.349
2016/04/07,3.066
2016/04/08,0.572
2016/04/09,13.92
2016/04/10,13.699
2016/04/11,2.733
2016/04/12,0.197
2016/04/13,-0.318
2016/04/14,-1.232
2016/04/15,-6.028
2016/04/16,-9.93
2016/04/17,-7.028
2016/04/18,-4.511
2016/04/19,-6.753
2016/04/20,-3.548
2016/04/21,-5.701
2016/04/22,-0.505
2016/04/23,8.517
2016/04/24,-0.83
2016/04/25,-2.25
2016/04/26,6.216
2016/04/27,4.112
2016/04/28,0.939
2016/04/29,-4.054
2016/04/30,19.754
2016/05/01,21.5
2016/05/02,18.536
2016/05/03,10.325
2016/05/04,2.12
2016/05/05,-2.294
2016/05/06,3.893
2016/05/07,4.486
2016/05/08,1.209
2016/05/09,4.766
2016/05/10,5.747
2016/05/11,12.826
2016/05/12,14.206
2016/05/13,37.336
2016/05/14,26.453
2016/05/15,2.765
2016/05/16,-7.721
2016/05/17,-12.471
2016/05/18,-11.643
2016/05/19,-2.993
2016/05/20,1.255
2016/05/21,-5.352
2016/05/22,-11.263
2016/05/23,-10.432
2016/05/24,-4.349
2016/05/25,-1.564
2016/05/26,-4.45
2016/05/27,1.95
2016/05/28,-0.761
2016/05/29,-5.799
2016/05/30,-7.492
2016/05/31,-6.893
2016/06/01,-7.069
2016/06/02,-9.774
2016/06/03,-9.36
2016/06/04,-9.834
2016/06/05,-9.558
2016/06/06,-8.066
2016/06/07,1.954
2016/06/08,35.675
2016/06/09,11.081
2016/06/10,3.168
2016/06/11,-4.232
2016/06/12,-0.487
2016/06/13,4.815
2016/06/14,10.016
2016/06/15,6.234
2016/06/16,11.927
2016/06/17,25.628
2016/06/18,23.692
2016/06/19,5.583
2016/06/20,0.163
2016/06/21,-4.995
2016/06/22,-4.493
2016/06/23,-3.906
2016/06/24,-7.401
2016/06/25,-6.21
2016/06/26,-10.663
2016/06/27,-13.016
2016/06/28,-5.77
2016/06/29,-4.404
2016/06/30,-8.89
2016/07/01,-8.351
2016/07/02,-11.162
2016/07/03,-12.11
2016/07/04,-1.867
2016/07/05,38.528
2016/07/06,16.306
2016/07/07,1.274
2016/07/08,-7.983
2016/07/09,-12.47
2016/07/10,-12.827
2016/07/11,-9.519
2016/07/12,-5.716
2016/07/13,-0.081
2016/07/14,1.15
2016/07/15,48.428
2016/07/16,16.463
2016/07/17,0.661
2016/07/18,11.466
2016/07/19,62.17
2016/07/20,67.47
2016/07/21,14.732
2016/07/22,-1.415
2016/07/23,-7.49
2016/07/24,11.097
2016/07/25,15.382
2016/07/26,27.245
2016/07/27,17.183
2016/07/28,4.508
2016/07/29,-4.62
2016/07/30,-10.342
2016/07/31,-13.92
2016/08/01,-11.922
2016/08/02,-2.898
2016/08/03,0.424
2016/08/04,-5.409
2016/08/05,-7.539
2016/08/06,-12.733
2016/08/07,-15.107
2016/08/08,-15.069
2016/08/09,-10.042
2016/08/10,2.602
2016/08/11,4.872
2016/08/12,-1.124
2016/08/13,-5.557
2016/08/14,-9.031
2016/08/15,-11.497
2016/08/16,-15.156
2016/08/17,-12.018
2016/08/18,-11.594
2016/08/19,-11.332
2016/08/20,-5.05
2016/08/21,17.705
2016/08/22,13.998
2016/08/23,19.791
2016/08/24,1.6
2016/08/25,-9.182
2016/08/26,-8.178
2016/08/27,-10.991
2016/08/28,-12.863
2016/08/29,-10.598
2016/08/30,-10.45
2016/08/31,-7.143
2016/09/01,6.507
2016/09/02,7.937
2016/09/03,4.057
2016/09/04,2.23
2016/09/05,-3.626
2016/09/06,-6.661
2016/09/07,-8.103
2016/09/08,-3.592
2016/09/09,-6.997
2016/09/10,-7.894
2016/09/11,-4.675
2016/09/12,-1.081
2016/09/13,2.442
