Date,transactionvalue3wmaUSD
2016/01/01,33.594
2016/01/02,33.066
2016/01/03,35.442
2016/01/04,25.556
2016/01/05,42.574
2016/01/06,30.612
2016/01/07,23.124
2016/01/08,16.657
2016/01/09,18.062
2016/01/10,16.696
2016/01/11,32.517
2016/01/12,72.36
2016/01/13,57.415
2016/01/14,44.683
2016/01/15,75.773
2016/01/16,78.776
2016/01/17,65.474
2016/01/18,151.435
2016/01/19,154.412
2016/01/20,125.309
2016/01/21,83.972
2016/01/22,87.679
2016/01/23,135.694
2016/01/24,237.812
2016/01/25,280.98
2016/01/26,262.412
2016/01/27,201.171
2016/01/28,158.064
2016/01/29,137.637
2016/01/30,151.961
2016/01/31,171.03
2016/02/01,136.839
2016/02/02,110.529
2016/02/03,100.726
2016/02/04,80.432
2016/02/05,84.718
2016/02/06,50.865
2016/02/07,106.744
2016/02/08,214.935
2016/02/09,308.135
2016/02/10,415.827
2016/02/11,429.954
2016/02/12,563.046
2016/02/13,464.416
2016/02/14,360.96
2016/02/15,262.62
2016/02/16,303.151
2016/02/17,236.315
2016/02/18,245.534
2016/02/19,175.412
2016/02/20,243.223
2016/02/21,187.401
2016/02/22,207.648
2016/02/23,334.677
2016/02/24,508.308
2016/02/25,435.561
2016/02/26,772.88
2016/02/27,785.639
2016/02/28,559.178
2016/02/29,318.725
2016/03/01,320.686
2016/03/02,781.627
2016/03/03,864.315
2016/03/04,751.627
2016/03/05,910.501
2016/03/06,812.144
2016/03/07,740.331
2016/03/08,754.353
2016/03/09,636.453
2016/03/10,504.809
2016/03/11,440.334
2016/03/12,570.865
2016/03/13,815.787
2016/03/14,839.515
2016/03/15,706.306
2016/03/16,583.164
2016/03/17,573.696
2016/03/18,668.116
2016/03/19,472.842
2016/03/20,293.793
2016/03/21,249.022
2016/03/22,250.461
2016/03/23,237.624
2016/03/24,258.655
2016/03/25,214.982
2016/03/26,152.54
2016/03/27,269.076
2016/03/28,287.898
2016/03/29,378.035
2016/03/30,410.056
2016/03/31,383.177
2016/04/01,248.802
2016/04/02,172.368
2016/04/03,113.558
2016/04/04,123.681
2016/04/05,155.691
2016/04/06,183.672
2016/04/07,214.064
2016/04/08,190.814
2016/04/09,289.218
2016/04/10,315.631
2016/04/11,258.008
2016/04/12,234.529
2016/04/13,234.516
2016/04/14,236.868
2016/04/15,187.185
2016/04/16,143.707
2016/04/17,157.568
2016/04/18,169.183
2016/04/19,145.758
2016/04/20,154.416
2016/04/21,131.331
2016/04/22,160.365
2016/04/23,208.819
2016/04/24,161.742
2016/04/25,150.923
2016/04/26,197.901
2016/04/27,200.978
2016/04/28,186.153
2016/04/29,146.073
2016/04/30,312.86
2016/05/01,377.401
2016/05/02,430.991
2016/05/03,390.973
2016/05/04,333.005
2016/05/05,289.468
2016/05/06,377.655
2016/05/07,403.175
2016/05/08,376.811
2016/05/09,424.024
2016/05/10,457.478
2016/05/11,603.003
2016/05/12,688.069
2016/05/13,1266
2016/05/14,1381
2016/05/15,915.219
2016/05/16,546.169
2016/05/17,390.519
2016/05/18,454.572
2016/05/19,651.354
2016/05/20,721.986
2016/05/21,533.821
2016/05/22,344.924
2016/05/23,333.779
2016/05/24,441.5
2016/05/25,474.234
2016/05/26,397.698
2016/05/27,482.047
2016/05/28,431.966
2016/05/29,351.893
2016/05/30,294.426
2016/05/31,294.439
2016/06/01,280.174
2016/06/02,224.233
2016/06/03,208.426
2016/06/04,184.187
2016/06/05,173.942
2016/06/06,168.132
2016/06/07,236.555
2016/06/08,514.954
2016/06/09,390.781
2016/06/10,340.577
2016/06/11,230.789
2016/06/12,307.488
2016/06/13,371.349
2016/06/14,459.785
2016/06/15,435.276
2016/06/16,547.103
2016/06/17,833.894
2016/06/18,1000
2016/06/19,748.685
2016/06/20,644.261
2016/06/21,514.714
2016/06/22,559.971
2016/06/23,551.617
2016/06/24,455.729
2016/06/25,449.089
2016/06/26,323.196
2016/06/27,264.368
2016/06/28,347.506
2016/06/29,350.206
2016/06/30,266.272
2016/07/01,237.818
2016/07/02,185.548
2016/07/03,167.142
2016/07/04,243.651
2016/07/05,617.53
2016/07/06,523.935
2016/07/07,380.92
2016/07/08,215.629
2016/07/09,177.444
2016/07/10,173.28
2016/07/11,198.088
2016/07/12,215.587
2016/07/13,248.627
2016/07/14,248.909
2016/07/15,690.776
2016/07/16,537.323
2016/07/17,395.734
2016/07/18,538.108
2016/07/19,1561
2016/07/20,2643
2016/07/21,1775
2016/07/22,1143
2016/07/23,783.801
2016/07/24,1894
2016/07/25,2313
2016/07/26,3439
2016/07/27,3319
2016/07/28,2709
2016/07/29,1879
2016/07/30,1378
2016/07/31,1068
2016/08/01,1175
2016/08/02,1663
2016/08/03,1781
2016/08/04,1339
2016/08/05,1095
2016/08/06,727.99
2016/08/07,599.066
2016/08/08,526.542
2016/08/09,662.285
2016/08/10,986.34
2016/08/11,1032
2016/08/12,835.734
2016/08/13,646.518
2016/08/14,518.037
2016/08/15,435.119
2016/08/16,308.071
2016/08/17,349.825
2016/08/18,314.219
2016/08/19,290.182
2016/08/20,338.453
2016/08/21,644.217
2016/08/22,660.637
2016/08/23,854.945
2016/08/24,553.792
2016/08/25,353.068
2016/08/26,342.46
2016/08/27,303.337
2016/08/28,260.726
2016/08/29,252.895
2016/08/30,233.066
2016/08/31,250.651
2016/09/01,377.727
2016/09/02,405.258
2016/09/03,378.125
2016/09/04,354.319
2016/09/05,286.763
2016/09/06,248.211
2016/09/07,217.978
2016/09/08,263.027
2016/09/09,212.753
2016/09/10,192.393
2016/09/11,201.373
2016/09/12,228.926
2016/09/13,254.29
2016/09/14,213.726
2016/09/15,170.933
2016/09/16,315.553
2016/09/17,291.604
2016/09/18,416.058
2016/09/19,358.571
2016/09/20,652.234
2016/09/21,986.32
2016/09/22,808.279
2016/09/23,752.118
2016/09/24,536.929
2016/09/25,679.999
2016/09/26,560.296
2016/09/27,440.382
2016/09/28,563.275
2016/09/29,653.198
2016/09/30,525.156
2016/10/01,327.948
2016/10/02,355.706
2016/10/03,273.362
2016/10/04,216.671
2016/10/05,248.134
2016/10/06,300.25
2016/10/07,299.334
2016/10/08,315.962
2016/10/09,518.388
2016/10/10,636.272
2016/10/11,680.516
2016/10/12,853.822
2016/10/13,645.219
2016/10/14,672.461
2016/10/15,516.564
2016/10/16,533.661
2016/10/17,536.119
2016/10/18,625.145
2016/10/19,493.158
2016/10/20,328.03
2016/10/21,188.308
2016/10/22,156.872
2016/10/23,148.297
2016/10/24,149.65
2016/10/25,207.541
2016/10/26,232.498
2016/10/27,242.76
2016/10/28,327.576
2016/10/29,427.369
2016/10/30,562.709
2016/10/31,454.832
2016/11/01,526.209
2016/11/02,799.572
2016/11/03,1745
2016/11/04,1235
2016/11/05,688.038
2016/11/06,233.84
2016/11/07,180.192
2016/11/08,170.839
2016/11/09,352.617
2016/11/10,341.061
2016/11/11,654.408
2016/11/12,515.849
2016/11/13,407.122
2016/11/14,209.484
2016/11/15,203.995
2016/11/16,228.433
2016/11/17,519.1
2016/11/18,425.441
2016/11/19,315.957
