Date,transactionvalue7emaUSD
2016/01/01,25.43
2016/01/02,25.905
2016/01/03,29.248
2016/01/04,25.89
2016/01/05,34.795
2016/01/06,29.833
2016/01/07,26.32
2016/01/08,24.193
2016/01/09,22.892
2016/01/10,20.868
2016/01/11,27.861
2016/01/12,47.703
2016/01/13,42.543
2016/01/14,40.802
2016/01/15,60.303
2016/01/16,61.849
2016/01/17,58.142
2016/01/18,105.947
2016/01/19,111.188
2016/01/20,104.113
2016/01/21,95.68
2016/01/22,96.962
2016/01/23,117.902
2016/01/24,168.812
2016/01/25,198.448
2016/01/26,205.354
2016/01/27,192.976
2016/01/28,178.951
2016/01/29,167.232
2016/01/30,167.986
2016/01/31,172.124
2016/02/01,152.569
2016/02/02,138.662
2016/02/03,130.377
2016/02/04,112.333
2016/02/05,108.115
2016/02/06,85.759
2016/02/07,106.621
2016/02/08,157.674
2016/02/09,206.417
2016/02/10,278.049
2016/02/11,311.969
2016/02/12,405.466
2016/02/13,387.504
2016/02/14,358.342
2016/02/15,327.123
2016/02/16,335.435
2016/02/17,290.216
2016/02/18,284.638
2016/02/19,243.654
2016/02/20,261.91
2016/02/21,227.295
2016/02/22,227.331
2016/02/23,289.642
2016/02/24,373.003
2016/02/25,353.97
2016/02/26,550.515
2016/02/27,590.942
2016/02/28,509.079
2016/02/29,437.905
2016/03/01,429.417
2016/03/02,626.852
2016/03/03,665.441
2016/03/04,643.097
2016/03/05,776.462
2016/03/06,744.32
2016/03/07,722.377
2016/03/08,755.543
2016/03/09,687.665
2016/03/10,616.228
2016/03/11,575.016
2016/03/12,607.972
2016/03/13,708.451
2016/03/14,723.878
2016/03/15,683.544
2016/03/16,646.303
2016/03/17,635.6
2016/03/18,665.628
2016/03/19,559.399
2016/03/20,463.351
2016/03/21,422.764
2016/03/22,377.536
2016/03/23,336.572
2016/03/24,325.989
2016/03/25,285.136
2016/03/26,238.506
2016/03/27,283.433
2016/03/28,278.603
2016/03/29,319.1
2016/03/30,348.912
2016/03/31,343.499
2016/04/01,290.953
2016/04/02,254.908
2016/04/03,212.388
2016/04/04,194.763
2016/04/05,193.201
2016/04/06,193.494
2016/04/07,204.047
2016/04/08,192.96
2016/04/09,243.07
2016/04/10,261.243
2016/04/11,239.526
2016/04/12,241.533
2016/04/13,242.617
2016/04/14,238.789
2016/04/15,214.311
2016/04/16,190.165
2016/04/17,190.047
2016/04/18,185.701
2016/04/19,167.57
2016/04/20,169.634
2016/04/21,154.155
2016/04/22,163.194
2016/04/23,186.11
2016/04/24,162.118
2016/04/25,160.788
2016/04/26,185.897
2016/04/27,183.308
2016/04/28,179.532
2016/04/29,165.023
2016/04/30,245.931
2016/05/01,281.582
2016/05/02,321.205
2016/05/03,330.667
2016/05/04,317.988
2016/05/05,306.645
2016/05/06,350.046
2016/05/07,361.362
2016/05/08,353.521
2016/05/09,389.211
2016/05/10,410.434
2016/05/11,488.953
2016/05/12,550.489
2016/05/13,862.74
2016/05/14,976.531
2016/05/15,820.399
2016/05/16,719.891
2016/05/17,636.116
2016/05/18,605.377
2016/05/19,662.117
2016/05/20,676.095
2016/05/21,584.949
2016/05/22,499.419
2016/05/23,475.023
2016/05/24,489.809
2016/05/25,481.96
2016/05/26,439.403
2016/05/27,480.419
2016/05/28,449.742
2016/05/29,403.346
2016/05/30,375.887
2016/05/31,358.203
2016/06/01,333.422
2016/06/02,293.574
2016/06/03,273.799
2016/06/04,247.195
2016/06/05,226.597
2016/06/06,212.598
2016/06/07,235.559
2016/06/08,369.189
2016/06/09,318.565
2016/06/10,317.257
2016/06/11,287.224
2016/06/12,310.197
2016/06/13,338.709
2016/06/14,381.624
2016/06/15,383.441
2016/06/16,453.786
2016/06/17,614.075
2016/06/18,722.863
2016/06/19,650.373
2016/06/20,650.324
2016/06/21,600.662
2016/06/22,601.021
2016/06/23,588.585
2016/06/24,527.249
2016/06/25,516.835
2016/06/26,439.689
2016/06/27,386.776
2016/06/28,408.474
2016/06/29,383.527
2016/06/30,329.87
2016/07/01,312.438
2016/07/02,269.671
2016/07/03,240.584
2016/07/04,264.929
2016/07/05,438.358
2016/07/06,402.798
2016/07/07,363.318
2016/07/08,314.813
2016/07/09,276.209
2016/07/10,252.956
2016/07/11,244.862
2016/07/12,239.41
2016/07/13,248.314
2016/07/14,246.264
2016/07/15,467.148
2016/07/16,410.713
2016/07/17,371.517
2016/07/18,485.253
2016/07/19,985.55
2016/07/20,1577
2016/07/21,1304
2016/07/22,1190
2016/07/23,1103
2016/07/24,1563
2016/07/25,1768
2016/07/26,2403
2016/07/27,2545
2016/07/28,2409
2016/07/29,2165
2016/07/30,1907
2016/07/31,1656
2016/08/01,1585
2016/08/02,1717
2016/08/03,1712
2016/08/04,1495
2016/08/05,1386
2016/08/06,1157
2016/08/07,1001
2016/08/08,886.007
2016/08/09,860.893
2016/08/10,962.738
2016/08/11,961.354
2016/08/12,873.66
2016/08/13,796.974
2016/08/14,711.382
2016/08/15,628.085
2016/08/16,524.183
2016/08/17,501.12
2016/08/18,443.255
2016/08/19,396.595
2016/08/20,401.432
2016/08/21,532.474
2016/08/22,540.745
2016/08/23,661.638
2016/08/24,555.275
2016/08/25,468.266
2016/08/26,468.208
2016/08/27,407.549
2016/08/28,359.427
2016/08/29,341.376
2016/08/30,306.773
2016/08/31,297.643
2016/09/01,350.14
2016/09/02,358.108
2016/09/03,351.672
2016/09/04,353.685
2016/09/05,320.994
2016/09/06,297.721
2016/09/07,275.719
2016/09/08,284.359
2016/09/09,250.456
2016/09/10,233.391
2016/09/11,232.968
2016/09/12,235.39
2016/09/13,243.937
2016/09/14,224.665
2016/09/15,203.692
2016/09/16,273.179
2016/09/17,258.682
2016/09/18,326.039
2016/09/19,317.864
2016/09/20,471.616
2016/09/21,666.948
2016/09/22,617.787
2016/09/23,656.604
2016/09/24,592.883
2016/09/25,653.287
2016/09/26,597.553
2016/09/27,527.089
2016/09/28,588.476
2016/09/29,612.875
2016/09/30,543.502
2016/10/01,458.53
2016/10/02,459.866
2016/10/03,387.301
2016/10/04,331.887
2016/10/05,331.241
2016/10/06,329.868
2016/10/07,315.335
2016/10/08,322.047
2016/10/09,421.054
2016/10/10,485.732
2016/10/11,531.423
2016/10/12,657.415
2016/10/13,587.398
2016/10/14,627.605
2016/10/15,572.836
2016/10/16,566.017
2016/10/17,567.602
2016/10/18,597.418
2016/10/19,532.468
2016/10/20,449.857
2016/10/21,369.742
2016/10/22,317.341
2016/10/23,274.681
2016/10/24,243.041
2016/10/25,249.139
2016/10/26,246.188
2016/10/27,244.179
2016/10/28,287.453
2016/10/29,339.882
2016/10/30,418.631
2016/10/31,390.812
2016/11/01,450.414
2016/11/02,607.114
2016/11/03,1096
2016/11/04,922.613
2016/11/05,755.315
2016/11/06,607.581
2016/11/07,497.267
2016/11/08,416.951
2016/11/09,445.827
2016/11/10,401.491
2016/11/11,539.204
2016/11/12,481.23
2016/11/13,433.904
2016/11/14,355.907
2016/11/15,324.281
2016/11/16,309.034
2016/11/17,428.326
2016/11/18,380.99
2016/11/19,338.374
2016/11/20,290.085
2016/11/21,254.565
2016/11/22,310.19
2016/11/23,325.64
