Date,transactionvalue7smaUSD
2016/01/01,21.72
2016/01/02,23.953
2016/01/03,29.124
2016/01/04,27.013
2016/01/05,32.726
2016/01/06,33.591
2016/01/07,30.688
2016/01/08,27.496
2016/01/09,26.305
2016/01/10,22.807
2016/01/11,27.525
2016/01/12,34.056
2016/01/13,35.787
2016/01/14,38.616
2016/01/15,53.043
2016/01/16,59.829
2016/01/17,64.433
2016/01/18,93.078
2016/01/19,95.89
2016/01/20,103.865
2016/01/21,108.837
2016/01/22,106.266
2016/01/23,122.585
2016/01/24,161.802
2016/01/25,167.23
2016/01/26,181.396
2016/01/27,191.817
2016/01/28,201.317
2016/01/29,205.784
2016/01/30,204.287
2016/01/31,184.715
2016/02/01,157.079
2016/02/02,138.632
2016/02/03,131.444
2016/02/04,120.204
2016/02/05,114.974
2016/02/06,93.323
2016/02/07,91.132
2016/02/08,122.123
2016/02/09,158.651
2016/02/10,213.998
2016/02/11,264.788
2016/02/12,349.144
2016/02/13,394.134
2016/02/14,408.655
2016/02/15,397.602
2016/02/16,398.706
2016/02/17,350.365
2016/02/18,329.533
2016/02/19,248.782
2016/02/20,246.362
2016/02/21,225.304
2016/02/22,224.443
2016/02/23,241.044
2016/02/24,307.976
2016/02/25,312.114
2016/02/26,457.75
2016/02/27,514.256
2016/02/28,534.262
2016/02/29,533.826
2016/03/01,523.451
2016/03/02,608.604
2016/03/03,677.795
2016/03/04,597.211
2016/03/05,663.545
2016/03/06,718.459
2016/03/07,780.197
2016/03/08,844.639
2016/03/09,739.62
2016/03/10,685.436
2016/03/11,667.624
2016/03/12,600.521
2016/03/13,652.235
2016/03/14,668.465
2016/03/15,626.679
2016/03/16,633.901
2016/03/17,662.697
2016/03/18,706.173
2016/03/19,639.584
2016/03/20,520.343
2016/03/21,453.321
2016/03/22,407.508
2016/03/23,361.665
2016/03/24,317.486
2016/03/25,232.753
2016/03/26,212.453
2016/03/27,247.169
2016/03/28,241.899
2016/03/29,270.29
2016/03/30,302.386
2016/03/31,307.103
2016/04/01,302.922
2016/04/02,309.802
2016/04/03,262.175
2016/04/04,244.714
2016/04/05,208.704
2016/04/06,173.85
2016/04/07,160.771
2016/04/08,164.54
2016/04/09,199.773
2016/04/10,232.763
2016/04/11,237.404
2016/04/12,245.839
2016/04/13,253.196
2016/04/14,251.995
2016/04/15,249.306
2016/04/16,209.924
2016/04/17,191.914
2016/04/18,191.67
2016/04/19,172.473
2016/04/20,162.466
2016/04/21,145.383
2016/04/22,152.445
2016/04/23,172.035
2016/04/24,157.813
2016/04/25,155.547
2016/04/26,176.696
2016/04/27,176.656
2016/04/28,185.297
2016/04/29,175.466
2016/04/30,208.866
2016/05/01,251.493
2016/05/02,291.961
2016/05/03,305.937
2016/05/04,320.852
2016/05/05,335.768
2016/05/06,387.019
2016/05/07,373.684
2016/05/08,365.322
2016/05/09,373.351
2016/05/10,389.787
2016/05/11,453.296
2016/05/12,519.364
2016/05/13,707.827
2016/05/14,839.626
2016/05/15,842.77
2016/05/16,831.64
2016/05/17,818.881
2016/05/18,788.688
2016/05/19,802.58
2016/05/20,648.085
2016/05/21,504.314
2016/05/22,488.718
2016/05/23,486.356
2016/05/24,507.695
2016/05/25,499.874
2016/05/26,425.502
2016/05/27,409.136
2016/05/28,415.736
2016/05/29,418.783
2016/05/30,403.308
2016/05/31,370.592
2016/06/01,342.115
2016/06/02,322.443
2016/06/03,266.873
2016/06/04,239.683
2016/06/05,225.49
2016/06/06,207.931
2016/06/07,207.83
2016/06/08,280.83
2016/06/09,279.782
2016/06/10,293.905
2016/06/11,298.154
2016/06/12,328.77
2016/06/13,365.005
2016/06/14,394.423
2016/06/15,339.967
2016/06/16,411.129
2016/06/17,522.788
2016/06/18,644.516
2016/06/19,652.2
2016/06/20,684.476
2016/06/21,676.091
2016/06/22,706.55
2016/06/23,690.329
