Date,transactionvalue90stdUSD
2016/01/01,79.126
2016/01/02,79.136
2016/01/03,78.928
2016/01/04,79.162
2016/01/05,79.155
2016/01/06,79.32
2016/01/07,79.407
2016/01/08,79.32
2016/01/09,79.273
2016/01/10,79.427
2016/01/11,79.413
2016/01/12,80.095
2016/01/13,80.06
2016/01/14,80.015
2016/01/15,81.316
2016/01/16,81.159
2016/01/17,81.143
2016/01/18,91.582
2016/01/19,93.027
2016/01/20,93.282
2016/01/21,93.349
2016/01/22,93.517
2016/01/23,97.226
2016/01/24,112.255
2016/01/25,116.934
2016/01/26,121.582
2016/01/27,123.286
2016/01/28,122.02
2016/01/29,122.895
2016/01/30,124.783
2016/01/31,127.439
2016/02/01,127.557
2016/02/02,127.422
2016/02/03,127.671
2016/02/04,127.337
2016/02/05,127.388
2016/02/06,127.724
2016/02/07,128.964
2016/02/08,138.744
2016/02/09,150.967
2016/02/10,174.88
2016/02/11,188.728
2016/02/12,227.461
2016/02/13,232.912
2016/02/14,235.88
2016/02/15,237.403
2016/02/16,243.531
2016/02/17,243.434
2016/02/18,245.587
2016/02/19,245.015
2016/02/20,248.724
2016/02/21,248.699
2016/02/22,249.756
2016/02/23,260.858
2016/02/24,282.027
2016/02/25,284.457
2016/02/26,355.097
2016/02/27,374.565
2016/02/28,374.621
2016/02/29,374.224
2016/03/01,377.442
2016/03/02,438.191
2016/03/03,455.926
2016/03/04,462.593
2016/03/05,506.669
2016/03/06,514.809
2016/03/07,522.388
2016/03/08,538.581
2016/03/09,540.059
2016/03/10,540.006
2016/03/11,540.995
2016/03/12,548.85
2016/03/13,570.547
2016/03/14,579.149
2016/03/15,582.281
2016/03/16,583.379
2016/03/17,585.494
2016/03/18,591.904
2016/03/19,589.427
2016/03/20,587.233
2016/03/21,584.419
2016/03/22,581.494
2016/03/23,578.696
2016/03/24,575.569
2016/03/25,573.157
2016/03/26,571.345
2016/03/27,569.129
2016/03/28,566.119
2016/03/29,563.392
2016/03/30,561.09
2016/03/31,558.131
2016/04/01,556.141
2016/04/02,554.215
2016/04/03,552.733
2016/04/04,551.329
2016/04/05,548.265
2016/04/06,545.115
2016/04/07,541.596
2016/04/08,538.854
2016/04/09,534.936
2016/04/10,531.591
2016/04/11,530.502
2016/04/12,526.816
2016/04/13,523.295
2016/04/14,521.752
2016/04/15,520.244
2016/04/16,518.672
2016/04/17,519.299
2016/04/18,518.545
2016/04/19,517.91
2016/04/20,515.914
2016/04/21,515.771
2016/04/22,515.64
2016/04/23,515.959
2016/04/24,518.56
2016/04/25,519.445
2016/04/26,518.25
2016/04/27,517.635
2016/04/28,517.039
2016/04/29,517.86
2016/04/30,517.68
2016/05/01,515.001
2016/05/02,512.572
2016/05/03,509.896
2016/05/04,506.263
2016/05/05,503.542
2016/05/06,498.933
2016/05/07,497.245
2016/05/08,497.165
2016/05/09,497.887
2016/05/10,497.694
2016/05/11,503.176
2016/05/12,504.641
2016/05/13,586.517
2016/05/14,617.401
2016/05/15,616.474
2016/05/16,616.42
2016/05/17,614.187
2016/05/18,613.902
2016/05/19,617.223
2016/05/20,620.085
2016/05/21,617.331
2016/05/22,617.124
2016/05/23,617.032
2016/05/24,616.023
2016/05/25,615.51
2016/05/26,596.802
2016/05/27,594.813
2016/05/28,594.094
2016/05/29,593.591
2016/05/30,594.122
2016/05/31,569.343
2016/06/01,564.397
2016/06/02,565.003
2016/06/03,541.121
2016/06/04,539.974
2016/06/05,538.456
2016/06/06,530.134
2016/06/07,529.647
2016/06/08,536.494
2016/06/09,537.775
2016/06/10,532.858
2016/06/11,515.59
2016/06/12,507.833
2016/06/13,506.012
2016/06/14,505.629
2016/06/15,502.694
2016/06/16,499.705
2016/06/17,523.76
2016/06/18,542.631
2016/06/19,542.719
2016/06/20,545.528
2016/06/21,544.894
2016/06/22,546.893
2016/06/23,546.408
2016/06/24,543.317
2016/06/25,543.727
2016/06/26,544.372
2016/06/27,545.097
2016/06/28,545.329
2016/06/29,545.416
2016/06/30,544.765
2016/07/01,543.166
2016/07/02,541.943
2016/07/03,541.728
2016/07/04,540.314
2016/07/05,552.319
2016/07/06,551.726
2016/07/07,550.444
2016/07/08,552.371
2016/07/09,554.217
2016/07/10,554.071
2016/07/11,554.397
2016/07/12,554.672
2016/07/13,554.161
2016/07/14,552.605
2016/07/15,571.168
2016/07/16,570.435
2016/07/17,569.261
2016/07/18,572.973
2016/07/19,717.975
2016/07/20,940.535
2016/07/21,938.687
2016/07/22,940.769
2016/07/23,940.189
2016/07/24,1069
2016/07/25,1137
2016/07/26,1382
2016/07/27,1466
2016/07/28,1491
2016/07/29,1500
2016/07/30,1502
2016/07/31,1502
2016/08/01,1508
2016/08/02,1535
2016/08/03,1547
2016/08/04,1546
2016/08/05,1547
2016/08/06,1545
2016/08/07,1545
2016/08/08,1545
2016/08/09,1545
2016/08/10,1549
2016/08/11,1533
2016/08/12,1528
2016/08/13,1526
2016/08/14,1526
2016/08/15,1526
2016/08/16,1529
2016/08/17,1530
2016/08/18,1533
2016/08/19,1534
2016/08/20,1532
2016/08/21,1531
2016/08/22,1531
2016/08/23,1531
2016/08/24,1532
2016/08/25,1536
2016/08/26,1535
2016/08/27,1536
2016/08/28,1537
2016/08/29,1537
2016/08/30,1538
2016/08/31,1536
2016/09/01,1533
2016/09/02,1530
2016/09/03,1528
2016/09/04,1526
2016/09/05,1527
2016/09/06,1530
2016/09/07,1530
2016/09/08,1530
2016/09/09,1530
2016/09/10,1533
2016/09/11,1535
2016/09/12,1538
2016/09/13,1539
2016/09/14,1543
2016/09/15,1545
2016/09/16,1544
2016/09/17,1546
2016/09/18,1546
2016/09/19,1548
2016/09/20,1549
2016/09/21,1553
2016/09/22,1552
2016/09/23,1551
2016/09/24,1549
2016/09/25,1546
2016/09/26,1547
2016/09/27,1547
2016/09/28,1542
2016/09/29,1539
2016/09/30,1537
2016/10/01,1536
2016/10/02,1535
2016/10/03,1538
2016/10/04,1540
2016/10/05,1539
2016/10/06,1537
2016/10/07,1535
2016/10/08,1533
2016/10/09,1530
2016/10/10,1526
2016/10/11,1523
2016/10/12,1521
2016/10/13,1521
2016/10/14,1517
2016/10/15,1515
2016/10/16,1516
2016/10/17,1470
2016/10/18,1359
2016/10/19,1360
2016/10/20,1363
2016/10/21,1368
2016/10/22,1284
2016/10/23,1233
2016/10/24,955.812
2016/10/25,810.241
2016/10/26,750.42
2016/10/27,726.855
2016/10/28,714.592
2016/10/29,709.289
2016/10/30,685.231
2016/10/31,592.501
2016/11/01,532.772
2016/11/02,542.627
2016/11/03,688.983
2016/11/04,689.12
2016/11/05,690.435
2016/11/06,693.088
2016/11/07,692.335
2016/11/08,672.802
2016/11/09,664.168
2016/11/10,664.06
2016/11/11,672.38
2016/11/12,672.92
2016/11/13,673.489
2016/11/14,675.082
2016/11/15,676.438
2016/11/16,676.507
2016/11/17,679.534
2016/11/18,680.791
2016/11/19,674.372
2016/11/20,676.295
