Date,transactionvalueUSD
2016/01/01,40.16
2016/01/02,27.327
2016/01/03,39.278
2016/01/04,15.817
2016/01/05,61.511
2016/01/06,14.944
2016/01/07,15.782
2016/01/08,17.812
2016/01/09,18.99
2016/01/10,14.795
2016/01/11,48.841
2016/01/12,107.228
2016/01/13,27.064
2016/01/14,35.58
2016/01/15,118.804
2016/01/16,66.489
2016/01/17,47.022
2016/01/18,249.36
2016/01/19,126.911
2016/01/20,82.891
2016/01/21,70.381
2016/01/22,100.807
2016/01/23,180.722
2016/01/24,321.54
2016/01/25,287.358
2016/01/26,226.071
2016/01/27,155.841
2016/01/28,136.878
2016/01/29,132.076
2016/01/30,170.245
2016/01/31,184.539
2016/02/01,93.903
2016/02/02,96.942
2016/02/03,105.522
2016/02/04,58.201
2016/02/05,95.462
2016/02/06,18.688
2016/02/07,169.208
2016/02/08,310.834
2016/02/09,352.644
2016/02/10,492.947
2016/02/11,413.729
2016/02/12,685.957
2016/02/13,333.618
2016/02/14,270.855
2016/02/15,233.465
2016/02/16,360.373
2016/02/17,154.56
2016/02/18,267.904
2016/02/19,120.701
2016/02/20,316.676
2016/02/21,123.451
2016/02/22,227.437
2016/02/23,476.578
2016/02/24,623.085
2016/02/25,296.873
2016/02/26,1140
2016/02/27,712.221
2016/02/28,263.492
2016/02/29,224.382
2016/03/01,403.954
2016/03/02,1219
2016/03/03,781.207
2016/03/04,576.064
2016/03/05,1177
2016/03/06,647.895
2016/03/07,656.546
2016/03/08,855.044
2016/03/09,484.028
2016/03/10,401.919
2016/03/11,451.38
2016/03/12,706.838
2016/03/13,1010
2016/03/14,770.159
2016/03/15,562.543
2016/03/16,534.581
2016/03/17,603.49
2016/03/18,755.711
2016/03/19,240.714
2016/03/20,175.207
2016/03/21,301.001
2016/03/22,241.853
2016/03/23,213.679
2016/03/24,294.24
2016/03/25,162.578
2016/03/26,98.614
2016/03/27,418.216
2016/03/28,264.113
2016/03/29,440.588
2016/03/30,438.349
2016/03/31,327.259
2016/04/01,133.316
2016/04/02,146.773
2016/04/03,84.828
2016/04/04,141.886
2016/04/05,188.515
2016/04/06,194.372
2016/04/07,235.707
2016/04/08,159.7
2016/04/09,393.4
2016/04/10,315.763
2016/04/11,174.373
2016/04/12,247.555
2016/04/13,245.871
2016/04/14,227.304
2016/04/15,140.877
2016/04/16,117.728
2016/04/17,189.691
2016/04/18,172.662
2016/04/19,113.178
2016/04/20,175.825
2016/04/21,107.72
2016/04/22,190.309
2016/04/23,254.858
2016/04/24,90.142
2016/04/25,156.798
2016/04/26,261.222
2016/04/27,175.541
2016/04/28,168.205
2016/04/29,121.495
2016/04/30,488.655
2016/05/01,388.534
2016/05/02,440.074
2016/05/03,359.053
2016/05/04,279.95
2016/05/05,272.617
2016/05/06,480.248
2016/05/07,395.312
2016/05/08,329.998
2016/05/09,496.278
2016/05/10,474.105
2016/05/11,724.511
2016/05/12,735.097
2016/05/13,1799
2016/05/14,1318
2016/05/15,352.003
2016/05/16,418.368
2016/05/17,384.792
2016/05/18,513.16
2016/05/19,832.337
2016/05/20,718.028
2016/05/21,311.51
2016/05/22,242.831
2016/05/23,401.834
2016/05/24,534.167
2016/05/25,458.412
2016/05/26,311.733
2016/05/27,603.467
2016/05/28,357.71
2016/05/29,264.157
2016/05/30,293.51
2016/05/31,305.152
2016/06/01,259.077
2016/06/02,174.03
2016/06/03,214.473
2016/06/04,167.382
2016/06/05,164.804
2016/06/06,170.601
2016/06/07,304.441
2016/06/08,770.079
2016/06/09,166.695
2016/06/10,313.33
2016/06/11,197.127
2016/06/12,379.116
2016/06/13,424.246
2016/06/14,510.368
2016/06/15,388.891
2016/06/16,664.823
2016/06/17,1095
2016/06/18,1049
2016/06/19,432.904
2016/06/20,650.176
2016/06/21,451.675
2016/06/22,602.1
2016/06/23,551.277
2016/06/24,343.241
2016/06/25,485.591
2016/06/26,208.251
2016/06/27,228.038
2016/06/28,473.57
2016/06/29,308.686
2016/06/30,168.896
2016/07/01,260.143
2016/07/02,141.369
2016/07/03,153.323
2016/07/04,337.963
2016/07/05,958.644
2016/07/06,296.119
2016/07/07,244.879
2016/07/08,169.298
2016/07/09,160.395
2016/07/10,183.196
2016/07/11,220.581
2016/07/12,223.054
2016/07/13,275.024
2016/07/14,240.117
2016/07/15,1130
2016/07/16,241.408
2016/07/17,253.93
2016/07/18,826.461
2016/07/19,2486
2016/07/20,3353
2016/07/21,485.73
2016/07/22,844.79
2016/07/23,842.498
